scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	replicate	sample_type	biosamplemodel	host	colony	pooled_individual	caste	task	tissue_type	sample_name	bioproject_id	dev_stage	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Monomorium pharaonis										no		PRJDB3164	SAMD00026940	DRX029001	DRR032063	DRA003275	DRS021207	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026940					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	12569817	527932314	438222599			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032063/DRR032063.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032063/DRR032063	gs://sra-pub-zq-102/DRR032063/DRR032063.zq.1													head	PHARAO.12QCH_WH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026939	DRX029000	DRR032062	DRA003275	DRS021206	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026939					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	23237614	975979788	678844333			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032062/DRR032062.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032062/DRR032062	gs://sra-pub-zq-103/DRR032062/DRR032062.zq.1													gaster	PHARAO.12QCG_WG	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026938	DRX028999	DRR032061	DRA003275	DRS021205	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026938					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	26126231	1097301702	770458599			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032061/DRR032061.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032061/DRR032061	gs://sra-pub-zq-103/DRR032061/DRR032061.zq.1														PHARAO.12PQ_L	PRJDB3164	3Rd-instar Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026937	DRX028998	DRR032060	DRA003275	DRS021204	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026937					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	11031783	463334886	387042436			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032060/DRR032060.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032060/DRR032060	gs://sra-pub-zq-102/DRR032060/DRR032060.zq.1														PHARAO.12PL_L	PRJDB3164	3Rd-instar Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026936	DRX028997	DRR032059	DRA003275	DRS021203	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026936					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	15451313	648955146	454711624			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032059/DRR032059.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032059/DRR032059	gs://sra-pub-zq-104/DRR032059/DRR032059.zq.1														PHARAO.12LW_L	PRJDB3164	Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026935	DRX028996	DRR032058	DRA003275	DRS021202	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026935					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	19058596	800461032	560623382			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032058/DRR032058.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032058/DRR032058	gs://sra-pub-zq-103/DRR032058/DRR032058.zq.1														PHARAO.12LS_L	PRJDB3164	Larva	2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026934	DRX028995	DRR032057	DRA003275	DRS021201	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026934					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	18315230	769239660	572701881			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032057/DRR032057.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032057/DRR032057	gs://sra-pub-zq-102/DRR032057/DRR032057.zq.1													head	PHARAO.12LCH_WH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026933	DRX028994	DRR032056	DRA003275	DRS021200	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026933					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	14185687	595798854	418895649			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032056/DRR032056.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032056/DRR032056	gs://sra-pub-zq-103/DRR032056/DRR032056.zq.1													head	PHARAO.12FQH_WH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026932	DRX028993	DRR032055	DRA003275	DRS021199	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026932					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	14969108	628702536	442898742			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032055/DRR032055.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032055/DRR032055	gs://sra-pub-zq-104/DRR032055/DRR032055.zq.1													head	PHARAO.12FLH_WH	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
Monomorium pharaonis										no		PRJDB3164	SAMD00026931	DRX028992	DRR032054	DRA003275	DRS021198	DRP002363	Genome and transcriptome of the pharaoh ant (Monomorium pharaonis)	Illumina HiSeq 2000 sequencing of SAMD00026931					single	RNA-Seq	TRANSCRIPTOMIC	RACE	Illumina HiSeq 2000	20105539	844432638	590668523			100	0	Application Read	Forward	1	OIST	DRA003275		307658	2015-10-22 10:54:41	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/032/DRR032054/DRR032054.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR032054/DRR032054	gs://sra-pub-zq-102/DRR032054/DRR032054.zq.1													gaster	PHARAO.12FLG_WG	PRJDB3164		2759	33208	6656	50557	7399	36668	55077	307658	Monomorium pharaonis
