scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393267	SRX10405232	SRR14028634	SRA1208543	SRS8527598	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar36	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	50756211	15226863300	4759842645								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028634/SRR14028634.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028634/SRR14028634	gs://sra-pub-zq-104/SRR14028634/SRR14028634.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393266	SRX10405231	SRR14028635	SRA1208543	SRS8527597	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar35	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	69584086	20875225800	6770645385								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028635/SRR14028635.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028635/SRR14028635	gs://sra-pub-zq-104/SRR14028635/SRR14028635.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393265	SRX10405230	SRR14028636	SRA1208543	SRS8527596	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar34	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	80331956	12912155624	4273426832								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028636/SRR14028636.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028636/SRR14028636	gs://sra-pub-zq-104/SRR14028636/SRR14028636.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393285	SRX10405229	SRR14028637	SRA1208543	SRS8527595	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar54	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	49881803	14964540900	4703839251								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028637/SRR14028637.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028637/SRR14028637	gs://sra-pub-zq-104/SRR14028637/SRR14028637.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393284	SRX10405228	SRR14028638	SRA1208543	SRS8527594	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar53	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	49891660	14967498000	4648110189								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028638/SRR14028638.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028638/SRR14028638	gs://sra-pub-zq-104/SRR14028638/SRR14028638.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393283	SRX10405227	SRR14028639	SRA1208543	SRS8527593	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar52	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	50916344	15274903200	4779166959								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028639/SRR14028639.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028639/SRR14028639	gs://sra-pub-zq-104/SRR14028639/SRR14028639.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393282	SRX10405226	SRR14028640	SRA1208543	SRS8527592	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar51	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	51204168	15361250400	4823023785								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028640/SRR14028640.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028640/SRR14028640	gs://sra-pub-zq-104/SRR14028640/SRR14028640.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393264	SRX10405225	SRR14028641	SRA1208543	SRS8527591	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar33	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	87477189	25812286050	8399036631								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028641/SRR14028641.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028641/SRR14028641	gs://sra-pub-zq-104/SRR14028641/SRR14028641.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393281	SRX10405224	SRR14028642	SRA1208543	SRS8527590	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar50	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	56545263	16963578900	5311893971								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028642/SRR14028642.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028642/SRR14028642	gs://sra-pub-zq-104/SRR14028642/SRR14028642.lite.1
Athalia rosae	whole animal	Whole animal		male				yes	yes	no		PRJNA716060	SAMN18393280	SRX10405223	SRR14028643	SRA1208543	SRS8527589	SRP311608	Inter and intra-generational effects of larval starvation in Athalia rosae	RNA seq of Athalia rosae: whole male L4 larvae	Novogene (Cambridge, UK) carried out library preparation (with a Ribo-Zero for rRNA removal) see below for details from report:After the QC procedures, mRNA from eukaryotic organisms is enriched using oligo(dT) beads, rRNA is removed using the Ribo-Zero kit that leaves the mRNA. The mRNA is then fragmented randomly by adding fragmentation buffer. The cDNA is synthesized by using mRNA template and random hexamers primer, after which a custom second-strand synthesis buffer (Illumina) , dNTPs, RNase H and DNA polymerase I are added to initiate the second-strand synthesis. Second, after a series of terminal repair, A ligation and sequencing adaptor ligation, the double-stranded cDNA library is completed through size selection and PCR enrichment. The quality control of library consists of three steps: 1) Qubit 2.0: tests the library concentration preliminarily, 2) Agilent 2100: tests the insert size, 3) Q-PCR: quantifies the library effective concentration precisely. The qualified libraries are fed into Illumina sequencers after pooling according to its effective concentration and expected data volume.			Ar49	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	64414869	19324460700	6039975957								Univesitat Bielefeld	SUB9246258		37344	2022-04-30 00:01:06	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR014/14028/SRR14028643/SRR14028643.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14028643/SRR14028643	gs://sra-pub-zq-104/SRR14028643/SRR14028643.lite.1
