scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	time	biosamplemodel	breed	replicate	host	altitude	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	specimen_voucher	temp	cell_type	individual_id	strain	cultivar	ecotype	echotype	social_form	sequence_id	caste	colony_organization_type	colony_name	pooled_individuals	colony	developmental_stage	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Solenopsis invicta	whole body	whole body				Control				no		PRJNA1416076	SAMN54956716	SRX31980183	SRR37032839	SRA2324574	SRS27922841	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	12-CK-2	RNA-Seq library			12-CK-2	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	29805874	8941762200	3924540100								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:51							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032839/SRR37032839.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032839/SRR37032839	gs://sra-pub-zq-100/SRR37032839/SRR37032839.lite.1	Wild-type12-CK-2	soil	2025	China: Chongqing	12h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	whole body	whole body				Control				no		PRJNA1416076	SAMN54956715	SRX31980182	SRR37032840	SRA2324574	SRS27922840	SRP670167	Transcriptome analysis of Solenopsis invicta infected by Metarhizium anisopliae at different time points	12-CK-1	RNA-Seq library			12-CK-1	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	22463428	6739028400	2954917817								School of Life Sciences	Chongqing University	SUB15965994		13686	2026-01-29 07:17:52							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37032/SRR37032840/SRR37032840.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR37032840/SRR37032840	gs://sra-pub-zq-100/SRR37032840/SRR37032840.lite.1	Wild-type12-CK-1	soil	2025	China: Chongqing	12h	Invertebrate																												2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	workers antennae	workers antennae								no		PRJNA1130127	SAMN42185256	SRX25163206	SRR29659237	SRA1913493	SRS21853643	SRP517159	Red imported fire ant worker antennal transcriptome sequencing	mRNAseq of Solenopsis invicta workers antennae, replication 3	mRNAseq of Solenopsis invicta workers antennae, replication 3			CKFA-3	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq X Plus	22062937	6663006974	2332626118								College of Plant Science and Technology	Huazhong Agricultural University	SUB14556942		13686	2024-07-01 03:48:29							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29659/SRR29659237/SRR29659237.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29659237/SRR29659237	gs://sra-pub-zq-100/SRR29659237/SRR29659237.lite.1		worker	2022-04-17	China: Haikou		Invertebrate	fire imported fire ant	replicate = biological replicate 3																										2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	workers antennae	workers antennae								no		PRJNA1130127	SAMN42185255	SRX25163205	SRR29659238	SRA1913493	SRS21853642	SRP517159	Red imported fire ant worker antennal transcriptome sequencing	mRNAseq of Solenopsis invicta workers antennae, replication 2	mRNAseq of Solenopsis invicta workers antennae, replication 2			CKFA-2	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq X Plus	21719230	6559207460	2299050089								College of Plant Science and Technology	Huazhong Agricultural University	SUB14556942		13686	2024-07-01 03:49:21							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29659/SRR29659238/SRR29659238.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29659238/SRR29659238	gs://sra-pub-zq-100/SRR29659238/SRR29659238.lite.1		worker	2022-04-16	China: Haikou		Invertebrate	fire imported fire ant	replicate = biological replicate 2																										2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	workers antennae	workers antennae								no		PRJNA1130127	SAMN42185254	SRX25163204	SRR29659239	SRA1913493	SRS21853641	SRP517159	Red imported fire ant worker antennal transcriptome sequencing	mRNAseq of Solenopsis invicta workers antennae, replication 1	mRNAseq of Solenopsis invicta workers antennae, replication 1			CKFA-1	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq X Plus	21330158	6441707716	2246939271								College of Plant Science and Technology	Huazhong Agricultural University	SUB14556942		13686	2024-07-01 03:49:21							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29659/SRR29659239/SRR29659239.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29659239/SRR29659239	gs://sra-pub-zq-100/SRR29659239/SRR29659239.lite.1		worker	2022-04-15	China: Haikou		Invertebrate	fire imported fire ant	replicate = biological replicate 1																										2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	brain	Brain		female	missing					no		PRJNA1062748	SAMN39321096	SRX23160933	SRR27489694	SRA1783715	SRS20111088	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB overwintered fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	OW_SBSB_Ovary	Overwintered monogyne SB/SB gyne ovary	OW_Ov2	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	18349368	1377905015	575081322								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 12:50:51	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489694/SRR27489694.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489694/SRR27489694	gs://sra-pub-zq-104/SRR27489694/SRR27489694.lite.1	missing	top of mound prior to mating flight	2018-03-18	USA:Georgia, Oglethorpe County		Invertebrate	not applicable		not applicable	missing	not collected	not applicable	adult	missing	not applicable	not applicable	not collected	not applicable	not collected															2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	brain	Brain		female	missing					no		PRJNA1062748	SAMN39321095	SRX23160932	SRR27489695	SRA1783715	SRS20111089	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne brain	RNA extracted from brains using RNeasy Micro Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Brain	Spring-reared monogyne SB/SB gyne brain	SR_Br6	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23400561	1755111552	745313489								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 12:50:51	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489695/SRR27489695.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489695/SRR27489695	gs://sra-pub-zq-104/SRR27489695/SRR27489695.lite.1	missing	top of mound prior to mating flight	2018-06-13	USA:Georgia, Oglethorpe County		Invertebrate	not applicable		not applicable	missing	not collected	not applicable	adult	missing	not applicable	not applicable	not collected	not applicable	not collected															2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	brain	Brain		female	missing					no		PRJNA1062748	SAMN39321095	SRX23160931	SRR27489696	SRA1783715	SRS20111089	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne brain	RNA extracted from brains using RNeasy Micro Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Brain	Spring-reared monogyne SB/SB gyne brain	SR_Br7	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	23906008	1796197377	758857648								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 12:50:51	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489696/SRR27489696.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489696/SRR27489696	gs://sra-pub-zq-104/SRR27489696/SRR27489696.lite.1	missing	top of mound prior to mating flight	2018-06-13	USA:Georgia, Oglethorpe County		Invertebrate	not applicable		not applicable	missing	not collected	not applicable	adult	missing	not applicable	not applicable	not collected	not applicable	not collected															2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	brain	Brain		female	missing					no		PRJNA1062748	SAMN39321095	SRX23160930	SRR27489697	SRA1783715	SRS20111089	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne brain	RNA extracted from brains using RNeasy Micro Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Brain	Spring-reared monogyne SB/SB gyne brain	SR_Br8	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	25116744	1886868735	795644419								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 13:04:17	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489697/SRR27489697.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489697/SRR27489697	gs://sra-pub-zq-104/SRR27489697/SRR27489697.lite.1	missing	top of mound prior to mating flight	2018-06-13	USA:Georgia, Oglethorpe County		Invertebrate	not applicable		not applicable	missing	not collected	not applicable	adult	missing	not applicable	not applicable	not collected	not applicable	not collected															2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
Solenopsis invicta	ovary	Ovary		female	missing					no		PRJNA1062748	SAMN39321097	SRX23160929	SRR27489698	SRA1783715	SRS20111090	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Ovary	Overwintered monogyne SB/SB gyne brain	SR_Ov1	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	18046206	1356822623	563507367								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 12:50:51	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489698/SRR27489698.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489698/SRR27489698	gs://sra-pub-zq-104/SRR27489698/SRR27489698.lite.1	missing	top of mound prior to mating flight	2018-06-13	USA:Georgia, Greene County		Invertebrate	not applicable		not applicable	missing	not collected	not applicable	adult	missing	not applicable	not applicable	not collected	not applicable	not collected															2759	33208	6656	50557	7399	36668	13685	13686	Solenopsis invicta
