scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Solenopsis invicta	testis	testes		male				no	no	low_nspots		PRJNA448384	SAMN08832021	SRX3872332	SRR6926148	SRA679534	SRS3113847	SRP136925	Fire ant germline transcriptome	RNA-seq of Solenopsis invicta: 63 pairs of 3rd-4th instar larvae testis (SB)	We purified total RNA from 63 pairs of monogyne testes (SB) with the Illustra RNAspin Mini Kit (GE Healthcare Life Sciences).		Mix 63 pairs of testes from 3rd and 4th instar larvae. Social chromosome genotype was SB.	ST-EG03_ACAGTG_L007	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina Genome Analyzer	3997562	767531904	464971789								Biodiversity Research Center	Academia Sinica	SUB3861712		13686	2019-05-01 00:30:51							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/926/SRR6926148.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6926148/SRR6926148	gs://sra-pub-zq-105/SRR6926148/SRR6926148.zq.1	testes	testes
Solenopsis invicta	brain	brain		female	unknown			yes	yes	no		PRJNA472392	SAMN09244424	SRX4118410	SRR7209550	SRA710028	SRS3333689	SRP148603	Adult ant brain RNA-Seq on reproductive castes	RNA-Seq on Solenopsis invicta: queen brain	cDNA prepared with Clontechs SMART-Seq Ultra Low Input RNA kit; libraries prepared with Illumina Nextera XT DNA kit	Sinv_Q5		Sinv_Q5	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	8165325	824697825	442485458								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB4066357	30049879.0	13686	2018-08-21 00:08:13	Kronauer Lab, Rockefeller University						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209550.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7209550/SRR7209550	gs://sra-pub-zq-103/SRR7209550/SRR7209550.zq.1	brain	brain
Solenopsis invicta	single ovary	ovary	Sb/Sb		reproductively mature		ovaries of unmated reproductive ant departing on her mating flight	yes	yes	no		PRJNA629802	SAMN14791531	SRX8241566	SRR11680706	SRA1071994	SRS6591205	SRP259941	Simple inheritance, complex regulation: supergene-mediated fire ant social polymorphism	GSM4509808: ovaries of unmated reproductive ant departing on her mating flight (30GO); Solenopsis invicta; RNA-Seq		ovaries of unmated reproductive ant departing on her mating flight (30GO)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	13054033	992106508	449400311									GEO	GEO: GSE149726	32749006.0	13686	2020-07-20 09:56:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11680/SRR11680706/SRR11680706.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11680706/SRR11680706	gs://sra-pub-zq-102/SRR11680706/SRR11680706.lite.1	ovary	ovary
Solenopsis invicta	ovary	ovary		female	missing			yes	yes	no		PRJNA1062748	SAMN39321097	SRX23160927	SRR27489700	SRA1783715	SRS20111090	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Ovary	Overwintered monogyne SB/SB gyne brain	SR_Ov3	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	14391453	1082106754	446894801								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 13:45:00	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489700/SRR27489700.lite.1	s3://sra-pub-zq-7/SRR27489700/SRR27489700.lite.1	gs://sra-pub-zq-104/SRR27489700/SRR27489700.lite.1	ovary	ovary
Solenopsis invicta	brain	brain		female	missing			yes	yes	no		PRJNA1062748	SAMN39321096	SRX23160916	SRR27489711	SRA1783715	SRS20111088	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB overwintered fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	OW_SBSB_Ovary	Overwintered monogyne SB/SB gyne ovary	OW_Ov1	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	14520273	1088659320	449128040								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 13:45:00	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489711/SRR27489711.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489711/SRR27489711	gs://sra-pub-zq-104/SRR27489711/SRR27489711.lite.1	brain	brain
Solenopsis invicta	brain	brain		female	unknown			yes	yes	no		PRJNA472392	SAMN09244413	SRX4118424	SRR7209536	SRA710028	SRS3333702	SRP148603	Adult ant brain RNA-Seq on reproductive castes	RNA-Seq on Solenopsis invicta: forager brain	cDNA prepared with Clontechs SMART-Seq Ultra Low Input RNA kit; libraries prepared with Illumina Nextera XT DNA kit	Sinv_F4		Sinv_F4	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	11120508	1123171308	558251093								Laboratory of Social Evolution and Behavior	The Rockefeller University	SUB4066357	30049879.0	13686	2018-08-21 00:08:14	Kronauer Lab, Rockefeller University						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209536.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7209536/SRR7209536	gs://sra-pub-zq-103/SRR7209536/SRR7209536.zq.1	brain	brain
Solenopsis invicta	ovary	ovary		female	missing			yes	yes	no		PRJNA1062748	SAMN39321097	SRX23160921	SRR27489706	SRA1783715	SRS20111090	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Ovary	Overwintered monogyne SB/SB gyne brain	SR_Ov8	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	15365648	1154712412	477394706								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 13:45:00	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489706/SRR27489706.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489706/SRR27489706	gs://sra-pub-zq-104/SRR27489706/SRR27489706.lite.1	ovary	ovary
Solenopsis invicta	single ovary	ovary	SB/SB		reproductively mature		ovaries of unmated reproductive ant departing on her mating flight	yes	yes	no		PRJNA629802	SAMN14791477	SRX8241534	SRR11680674	SRA1071994	SRS6591172	SRP259941	Simple inheritance, complex regulation: supergene-mediated fire ant social polymorphism	GSM4509762: ovaries of unmated reproductive ant departing on her mating flight (19DO); Solenopsis invicta; RNA-Seq		ovaries of unmated reproductive ant departing on her mating flight (19DO)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	15728174	1195341224	543916708									GEO	GEO: GSE149726	32749006.0	13686	2020-07-20 09:56:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11680/SRR11680674/SRR11680674.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11680674/SRR11680674	gs://sra-pub-zq-101/SRR11680674/SRR11680674.lite.1	ovary	ovary
Solenopsis invicta	single ovary	ovary	SB/SB		reproductively mature		ovaries of unmated reproductive ant departing on her mating flight	yes	yes	no		PRJNA629802	SAMN14791471	SRX8241540	SRR11680680	SRA1071994	SRS6591179	SRP259941	Simple inheritance, complex regulation: supergene-mediated fire ant social polymorphism	GSM4509768: ovaries of unmated reproductive ant departing on her mating flight (207AO); Solenopsis invicta; RNA-Seq		ovaries of unmated reproductive ant departing on her mating flight (207AO)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	15811927	1201706452	437496127									GEO	GEO: GSE149726	32749006.0	13686	2020-07-20 09:56:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11680/SRR11680680/SRR11680680.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11680680/SRR11680680	gs://sra-pub-zq-101/SRR11680680/SRR11680680.lite.1	ovary	ovary
Solenopsis invicta	single ovary	ovary	Sb/Sb		reproductively mature		ovaries of unmated reproductive ant departing on her mating flight	yes	yes	no		PRJNA629802	SAMN14791522	SRX8241530	SRR11680670	SRA1071994	SRS6591168	SRP259941	Simple inheritance, complex regulation: supergene-mediated fire ant social polymorphism	GSM4509758: ovaries of unmated reproductive ant departing on her mating flight (16GO); Solenopsis invicta; RNA-Seq		ovaries of unmated reproductive ant departing on her mating flight (16GO)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	15906633	1208904108	542277885									GEO	GEO: GSE149726	32749006.0	13686	2020-07-20 09:56:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11680/SRR11680670/SRR11680670.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11680670/SRR11680670	gs://sra-pub-zq-101/SRR11680670/SRR11680670.lite.1	ovary	ovary
Solenopsis invicta	ovary	ovary		female	missing			yes	yes	no		PRJNA1062748	SAMN39321097	SRX23160924	SRR27489703	SRA1783715	SRS20111090	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Ovary	Overwintered monogyne SB/SB gyne brain	SR_Ov6	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	16192071	1216639431	504076342								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 13:45:00	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489703/SRR27489703.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489703/SRR27489703	gs://sra-pub-zq-104/SRR27489703/SRR27489703.lite.1	ovary	ovary
Solenopsis invicta	brain	brain		female	missing			yes	yes	no		PRJNA1062748	SAMN39321096	SRX23160907	SRR27489720	SRA1783715	SRS20111088	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB overwintered fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	OW_SBSB_Ovary	Overwintered monogyne SB/SB gyne ovary	OW_Ov6	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	16392259	1229129003	509458250								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 13:45:00	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489720/SRR27489720.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489720/SRR27489720	gs://sra-pub-zq-104/SRR27489720/SRR27489720.lite.1	brain	brain
Solenopsis invicta	ovary	ovary		female	missing			yes	yes	no		PRJNA1062748	SAMN39321097	SRX23160928	SRR27489699	SRA1783715	SRS20111090	SRP483111	Solenopsis invicta raw sequence reads	RNAseq of monogyne SB/SB spring-reared fire ant gyne ovary	RNA extracted from ovaries using RNeasy Mini Kit,  enriched for mRNA with polyA selection, and sequenced with	SR_SBSB_Ovary	Overwintered monogyne SB/SB gyne brain	SR_Ov2	single	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 500	16583189	1247389720	516059626								Genetics	University of Georgia	SUB14147279		13686	2024-01-11 12:50:51	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR027/27489/SRR27489699/SRR27489699.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR27489699/SRR27489699	gs://sra-pub-zq-104/SRR27489699/SRR27489699.lite.1	ovary	ovary
Solenopsis invicta	single ovary	ovary	Sb/Sb		reproductively mature		ovaries of unmated reproductive ant departing on her mating flight	yes	yes	no		PRJNA629802	SAMN14791527	SRX8241570	SRR11680710	SRA1071994	SRS6591209	SRP259941	Simple inheritance, complex regulation: supergene-mediated fire ant social polymorphism	GSM4509812: ovaries of unmated reproductive ant departing on her mating flight (5GO); Solenopsis invicta; RNA-Seq		ovaries of unmated reproductive ant departing on her mating flight (5GO)			single	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	16532622	1256479272	570954887									GEO	GEO: GSE149726	32749006.0	13686	2020-07-20 09:56:28							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11680/SRR11680710/SRR11680710.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11680710/SRR11680710	gs://sra-pub-zq-102/SRR11680710/SRR11680710.lite.1	ovary	ovary
