scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	ena-first-public	ena-last-update	external_id	insdc_center_name	insdc_first_public	insdc_last_update	insdc_status	collection_date	common_name	environment	geographic_location	host-associated_environmental_package	investigation_type	project_name	sample_name	sequencing_method	colony_id	caste	isolate	host	isolation_source	geo_loc_name	colony	pooled_individual	biosamplemodel	alias	description	habitat	sra_accession	sample_extracted_from	sample_type	time_of_sample_collection	title	insdc_center_alias	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Acromyrmex echinatior	heads	heads					small worker heads			no		PRJNA223531	SAMN02380867	SRX366965	SRR1015523	SRA107955	SRS493092	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248678: RNA_Ae322_small_worker_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae322_small_worker_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24347157	4382488260	3040433128									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015523/SRR1015523.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1015523/SRR1015523	gs://sra-pub-zq-102/SRR1015523/SRR1015523.zq.1																	Ae322	small worker																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	heads	heads					large worker heads			no		PRJNA223531	SAMN02380859	SRX366964	SRR1015519	SRA107955	SRS493091	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248676: RNA_Ae363_large_worker_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae363_large_worker_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	20958591	3772546380	2626128833									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015519/SRR1015519.sralite.1	s3://sra-pub-zq-4/SRR1015519/SRR1015519.sralite.1	gs://sra-pub-zq-102/SRR1015519/SRR1015519.zq.1																	Ae363	large worker																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	heads	heads					large worker heads			no		PRJNA223531	SAMN02380868	SRX366962	SRR1015515	SRA107955	SRS493089	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248674: RNA_Ae356_large_worker_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae356_large_worker_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	20717749	3729194820	2595912067									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015515/SRR1015515.sralite.1	s3://sra-pub-zq-8/SRR1015515/SRR1015515.sralite.1	gs://sra-pub-zq-102/SRR1015515/SRR1015515.zq.1																	Ae356	large worker																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	heads	heads					large worker heads			no		PRJNA223531	SAMN02380869	SRX366960	SRR1015511	SRA107955	SRS493087	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248672: RNA_Ae322_large_worker_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae322_large_worker_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	25000921	4500165780	3139060081									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015511/SRR1015511.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1015511/SRR1015511	gs://sra-pub-zq-104/SRR1015511/SRR1015511.zq.1																	Ae322	large worker																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	heads	heads					gyne heads			no		PRJNA223531	SAMN02380858	SRX366958	SRR1015507	SRA107955	SRS493084	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248670: RNA_Ae363_gyne_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae363_gyne_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	19696265	3545327700	2483476923									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015507/SRR1015507.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1015507/SRR1015507	gs://sra-pub-zq-104/SRR1015507/SRR1015507.zq.1																	Ae363	gyne																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	heads	heads					gyne heads			no		PRJNA223531	SAMN02380857	SRX366956	SRR1015503	SRA107955	SRS493083	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248668: RNA_Ae356_gyne_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae356_gyne_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	22099047	3977828460	2749604435									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015503/SRR1015503.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1015503/SRR1015503	gs://sra-pub-zq-103/SRR1015503/SRR1015503.zq.1																	Ae356	gyne																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	heads	heads					gyne heads			no		PRJNA223531	SAMN02380854	SRX366954	SRR1015499	SRA107955	SRS493081	SRP031846	Caste-specific RNA editomes in the leaf-cutting ant Acromyrmex echinatior	GSM1248666: RNA_Ae322_gyne_heads; Acromyrmex echinatior; RNA-Seq		RNA_Ae322_gyne_heads			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	35140821	6325347780	4367831605									GEO	GEO: GSE51576	25266559	103372	2015-07-22 17:04:13							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/015/SRR1015499/SRR1015499.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1015499/SRR1015499	gs://sra-pub-zq-104/SRR1015499/SRR1015499.zq.1																	Ae322	gyne																	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939837	SRX4627953	SRR7772543	SRA764974	SRS3729247	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult minor worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	91878589	27116693230	10246752107								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772543/SRR7772543.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772543/SRR7772543	gs://sra-pub-zq-101/SRR7772543/SRR7772543.noqual.1								2016										minor worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae263	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939838	SRX4627952	SRR7772544	SRA764974	SRS3729246	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult gyne brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_4	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	42080569	12496502487	5030497985								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772544/SRR7772544.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772544/SRR7772544	gs://sra-pub-zq-101/SRR7772544/SRR7772544.noqual.1								2016										gyne	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae704	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939835	SRX4627951	SRR7772545	SRA764974	SRS3729245	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult gyne brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_1	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	65442173	19355037356	6374507765								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772545/SRR7772545.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772545/SRR7772545	gs://sra-pub-zq-101/SRR7772545/SRR7772545.noqual.1								2016										gyne	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae263	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
