scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	ena-first-public	ena-last-update	external_id	insdc_center_name	insdc_first_public	insdc_last_update	insdc_status	collection_date	common_name	environment	geographic_location	host-associated_environmental_package	investigation_type	project_name	sample_name	sequencing_method	colony_id	caste	isolate	host	isolation_source	geo_loc_name	colony	pooled_individual	biosamplemodel	alias	description	habitat	sra_accession	sample_extracted_from	sample_type	time_of_sample_collection	title	insdc_center_alias	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939836	SRX4627950	SRR7772546	SRA764974	SRS3729244	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult major worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_2	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	49059369	14529776591	5327350759								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772546/SRR7772546.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772546/SRR7772546	gs://sra-pub-zq-101/SRR7772546/SRR7772546.noqual.1								2016										major worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae263	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939841	SRX4627949	SRR7772547	SRA764974	SRS3729243	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult gyne brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_7	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	42102757	12423318602	5409190500								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772547/SRR7772547.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772547/SRR7772547	gs://sra-pub-zq-101/SRR7772547/SRR7772547.noqual.1								2016										gyne	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae747	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939842	SRX4627948	SRR7772548	SRA764974	SRS3729242	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult major worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_8	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	43987958	13002881141	5380857428								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772548/SRR7772548.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772548/SRR7772548	gs://sra-pub-zq-101/SRR7772548/SRR7772548.noqual.1								2016										major worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae747	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939839	SRX4627947	SRR7772549	SRA764974	SRS3729263	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult major worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_5	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	64117753	18972711947	6365945669								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772549/SRR7772549.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772549/SRR7772549	gs://sra-pub-zq-101/SRR7772549/SRR7772549.noqual.1								2016										major worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae704	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939840	SRX4627946	SRR7772550	SRA764974	SRS3729241	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult minor worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_6	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	42499135	12494841686	5145079795								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772550/SRR7772550.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772550/SRR7772550	gs://sra-pub-zq-101/SRR7772550/SRR7772550.zq.1								2016										minor worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae704	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939843	SRX4627945	SRR7772551	SRA764974	SRS3729240	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult minor worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_9	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	47839890	14174313512	5716022452								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772551/SRR7772551.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772551/SRR7772551	gs://sra-pub-zq-101/SRR7772551/SRR7772551.noqual.1								2016										minor worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae747	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939844	SRX4627944	SRR7772552	SRA764974	SRS3729239	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult gyne brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_10	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	121630378	36052363698	14649309912								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772552/SRR7772552.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772552/SRR7772552	gs://sra-pub-zq-101/SRR7772552/SRR7772552.zq.1								2016										gyne	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae764	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939847	SRX4627943	SRR7772553	SRA764974	SRS3729238	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult gyne brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_13	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	138108542	40904924745	15019545588								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772553/SRR7772553.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772553/SRR7772553	gs://sra-pub-zq-101/SRR7772553/SRR7772553.noqual.1								2016										gyne	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae767	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939848	SRX4627942	SRR7772554	SRA764974	SRS3729237	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult major worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_14	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	58900562	17362737093	6776881534								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772554/SRR7772554.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772554/SRR7772554	gs://sra-pub-zq-101/SRR7772554/SRR7772554.noqual.1								2016										major worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae767	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939845	SRX4627941	SRR7772555	SRA764974	SRS3729236	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult major worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_11	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	43865727	12948129562	5028755405								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:07							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772555/SRR7772555.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772555/SRR7772555	gs://sra-pub-zq-101/SRR7772555/SRR7772555.noqual.1								2016										major worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae764	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939846	SRX4627940	SRR7772556	SRA764974	SRS3729235	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult minor worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_12	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	97715713	28932809443	10781715434								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:06							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772556/SRR7772556.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772556/SRR7772556	gs://sra-pub-zq-101/SRR7772556/SRR7772556.noqual.1								2016										minor worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae764	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior	brain	brain		female						no		PRJNA427677	SAMN09939849	SRX4627937	SRR7772559	SRA764974	SRS3729232	SRP127971	Comparing gyne (future queens) and worker brain among five ant species. Raw sequence reads	RNA-seq of Acromyrmex echinatior: adult minor worker brain	Samples were pooled from 10-12 brains, extracted with RNeasy plus microkit and syntezied cDNA with SMARTer cDNA kit.			Aech_15	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 4000	40029844	11813922957	5140486922								Biology	Centre for Social Evolution, University of Copenhagen	SUB4476737		103372	2019-01-01 00:20:06							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR007/772/SRR7772559/SRR7772559.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7772559/SRR7772559	gs://sra-pub-zq-101/SRR7772559/SRR7772559.noqual.1								2016										minor worker	not applicable	not applicable	Lab in Centre for social evolution, Copenhagen, Denmark	Panama: Gamboa	Ae767	10	Invertebrate										2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB2532	SAMEA762111	ERX012717	ERR034191	ERA030423	ERS032731	ERP000666	The genome of the leaf-cutting ant Acromyrmex echinatior	200bp insert size Illumina pair-end transcriptome sequencing	Illumina pair-end sequencing for 200bp insert size transcriptome library. Designed lane number: 1, cycle number: 99	sample_Ae372-RNA1		ANTghpTARAAPEI-1	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 2000	50746939	9134449020	6411915848	200	0.0E0	99	0	Application Read	Forward	1	Social Evolution Group	BGI	Acromyrmex_echinatior_genome	21719571	103372	2011-04-27 19:48:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/034/ERR034191/ERR034191.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR034191/ERR034191	gs://sra-pub-zq-102/ERR034191/ERR034191.zq.1				BGI	2011-04-27T10:45:04Z	2013-11-04T20:04:55Z	public								ERS032731											sample_Ae372-RNA1	Transcriptome RNA sample	Gamboa, Panama	ERS032731	eggs, larvae, pupae, workers, males,gynes	RNA	2008	Acromyrmex echinatior		2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695860	ERX177597	ERR202912	ERA176748	ERS195833	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Control		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6469037	1164426660	721279426	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202912/ERR202912.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202912/ERR202912	gs://sra-pub-zq-106/ERR202912/ERR202912.zq.1	2013-01-28	2012-11-29	SAMEA1695860	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:04Z	public		Panamanian leafcutter ant						15																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695859	ERX177596	ERR202911	ERA176748	ERS195832	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Escovopsis on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6453199	1161575820	716191325	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202911/ERR202911.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202911/ERR202911	gs://sra-pub-zq-106/ERR202911/ERR202911.zq.1	2013-01-28	2012-11-29	SAMEA1695859	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:04Z	public		Panamanian leafcutter ant						14																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695856	ERX177595	ERR202910	ERA176748	ERS195831	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Escovopsis on ants		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6534376	1176187680	726917677	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202910/ERR202910.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202910/ERR202910	gs://sra-pub-zq-106/ERR202910/ERR202910.zq.1	2013-01-28	2012-11-29	SAMEA1695856	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:04Z	public		Panamanian leafcutter ant						13																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695848	ERX177594	ERR202909	ERA176748	ERS195830	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Metarhizium on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6466057	1163890260	720325939	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:12:18							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202909/ERR202909.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202909/ERR202909	gs://sra-pub-zq-106/ERR202909/ERR202909.zq.1	2013-01-28	2012-11-29	SAMEA1695848	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						12																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695846	ERX177593	ERR202908	ERA176748	ERS195829	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Metarhizium on ants		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6565187	1181733660	752365647	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202908/ERR202908.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202908/ERR202908	gs://sra-pub-zq-106/ERR202908/ERR202908.zq.1	2013-01-28	2012-11-29	SAMEA1695846	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						11																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695857	ERX177592	ERR202907	ERA176748	ERS195828	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae376 Control		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6542828	1177709040	749177330	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202907/ERR202907.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202907/ERR202907	gs://sra-pub-zq-106/ERR202907/ERR202907.zq.1	2013-01-28	2012-11-29	SAMEA1695857	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						10																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695851	ERX177591	ERR202906	ERA176748	ERS195827	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae376 Escovopsis on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6713384	1208409120	743874531	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:10:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202906/ERR202906.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202906/ERR202906	gs://sra-pub-zq-106/ERR202906/ERR202906.zq.1	2013-01-28	2012-11-29	SAMEA1695851	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						9																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695850	ERX177590	ERR202905	ERA176748	ERS195826	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae376 Escovopsis on ants		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6584109	1185139620	731002474	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:10:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202905/ERR202905.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202905/ERR202905	gs://sra-pub-zq-106/ERR202905/ERR202905.zq.1	2013-01-28	2012-11-29	SAMEA1695850	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						8																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695855	ERX177589	ERR202904	ERA176748	ERS195825	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae376 Metarhizium on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6890460	1240282800	811677508	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:10:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202904/ERR202904.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202904/ERR202904	gs://sra-pub-zq-106/ERR202904/ERR202904.zq.1	2013-01-28	2012-11-29	SAMEA1695855	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						7																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695858	ERX177588	ERR202903	ERA176748	ERS195824	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae376 Metarhizium on ants		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6496726	1169410680	761965870	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:09:14							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202903/ERR202903.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202903/ERR202903	gs://sra-pub-zq-106/ERR202903/ERR202903.zq.1	2013-01-28	2012-11-29	SAMEA1695858	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						6																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695854	ERX177587	ERR202902	ERA176748	ERS195823	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae323 Control		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6839992	1231198560	807134495	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:09:14							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202902/ERR202902.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202902/ERR202902	gs://sra-pub-zq-106/ERR202902/ERR202902.zq.1	2013-01-28	2012-11-29	SAMEA1695854	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						5																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
Acromyrmex echinatior										no		PRJEB3394	SAMEA1695852	ERX177586	ERR202901	ERA176748	ERS195822	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae323 Metarhizium on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6539804	1177164720	769212047	200			0	Application Read	Forward	1	Centre for Social Evolution	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:09:14							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202901/ERR202901.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202901/ERR202901	gs://sra-pub-zq-106/ERR202901/ERR202901.zq.1	2013-01-28	2012-11-29	SAMEA1695852	University of Copenhagen, Denmark	2013-01-28T17:02:05Z	2012-11-29T19:55:03Z	public		Panamanian leafcutter ant						4																			KU	2759	33208	6656	50557	7399	36668	64782	103372	Acromyrmex echinatior
