scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	host	collection_date	geo_loc_name	id	biosamplemodel	ena_first_public	insdc_center_name	insdc_status	geographic_location	lat_lon	sample_name	tissue_type	ena-first-public	ena-last-update	external_id	insdc_first_public	insdc_last_update	breed	isolation_source	collected_by	dev_stage	identified_by	replicate_host_origin	replicate_slavemaker_origin	strain	behavior	insdc_center_alias	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287213	SRX27382442	SRR32032567	SRA2053657	SRS23815984	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6019			G5	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	32554149	9766244700	3057253315								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032567/SRR32032567.lite.1	s3://sra-pub-zq-8/SRR32032567/SRR32032567.lite.1	gs://sra-pub-zq-100/SRR32032567/SRR32032567.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18J334_G5	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287212	SRX27382441	SRR32032568	SRA2053657	SRS23815983	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6018			F7	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	38130666	11439199800	3759197903								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032568/SRR32032568.lite.1	s3://sra-pub-zq-8/SRR32032568/SRR32032568.lite.1	gs://sra-pub-zq-100/SRR32032568/SRR32032568.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18J457_F7	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287211	SRX27382440	SRR32032569	SRA2053657	SRS23815982	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6017			F6	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	31954540	9586362000	3128257112								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032569/SRR32032569.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032569/SRR32032569	gs://sra-pub-zq-100/SRR32032569/SRR32032569.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18J457_F6	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287210	SRX27382439	SRR32032570	SRA2053657	SRS23815981	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6016			F4	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	33631018	10089305400	3331206089								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:28	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032570/SRR32032570.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032570/SRR32032570	gs://sra-pub-zq-100/SRR32032570/SRR32032570.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18J457_F4	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287209	SRX27382438	SRR32032571	SRA2053657	SRS23815980	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6015			E6	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	32190235	9657070500	3062131605								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032571/SRR32032571.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032571/SRR32032571	gs://sra-pub-zq-100/SRR32032571/SRR32032571.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18E393_E6	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287208	SRX27382437	SRR32032572	SRA2053657	SRS23815979	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6014			E5	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	40705529	12211658700	3945323456								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032572/SRR32032572.lite.1	s3://sra-pub-zq-8/SRR32032572/SRR32032572.lite.1	gs://sra-pub-zq-100/SRR32032572/SRR32032572.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18E393_E5	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287207	SRX27382436	SRR32032573	SRA2053657	SRS23815978	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6013			E3	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	35369767	10610930100	3347487910								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:28	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032573/SRR32032573.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032573/SRR32032573	gs://sra-pub-zq-100/SRR32032573/SRR32032573.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18E393_E3	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287206	SRX27382435	SRR32032574	SRA2053657	SRS23815977	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6012			D7	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	32468871	9740661300	3057623581								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032574/SRR32032574.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032574/SRR32032574	gs://sra-pub-zq-100/SRR32032574/SRR32032574.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18H168_D7	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287205	SRX27382434	SRR32032575	SRA2053657	SRS23815976	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6011			D5	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	35757131	10727139300	3394895233								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032575/SRR32032575.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032575/SRR32032575	gs://sra-pub-zq-100/SRR32032575/SRR32032575.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18H168_D5	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
Temnothorax longispinosus	antennae	antennae								no		PRJNA1211860	SAMN46287204	SRX27382433	SRR32032576	SRA2053657	SRS23815975	SRP558000	Transcriptomic analysis of antennae from the ant Temnothorax longispinosus	Temnothorax longispinosus antennae RNA-seq	RNA extraction of worker antennae with RNAeasy mini extraction kit, sequenced on an Illumina NovaSeq 6010			D1	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	40921426	12276427800	3879567523								Johannes Gutenberg University Mainz	SUB14879909		300112	2025-01-17 05:52:29	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32032/SRR32032576/SRR32032576.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR32032576/SRR32032576	gs://sra-pub-zq-100/SRR32032576/SRR32032576.lite.1	not applicable	not applicable	2018	USA: New York, Rensselaerville, E.N. Huyck Preserve	NY18H168_D1	Invertebrate																							2759	33208	6656	50557	7399	36668	300110	300112	Temnothorax longispinosus
