scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	host	isolation_source	collection_date	geo_loc_name	biosamplemodel	breed	replicate	lat_lon	ecotype	dev_stage	nest_#	sample_month	colony	pooled_individual	caste	altitude	collected_by	depth	env_biome	host_tissue_sampled	identified_by	specimen_voucher	temp	biological_replicate	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA1038699	SAMN40966772	SRX24860882	SRR29345109	SRA1845553	SRS21570905	SRP471209	Complementary sex determination locus of Argentine ants	Developmental RNA-seq time series	KAPA Stranded RNA-Seq Kits	lhum_24h_dip_11		lhum_24h_dip_11	paired	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina NovaSeq 6000	9286878	2804637156	1097533638								Ecology and Evolution	University of Lausanne	SUB14353536	38820161.0	83485	2024-06-25 10:49:42							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29345/SRR29345109/SRR29345109.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29345109/SRR29345109	gs://sra-pub-zq-100/SRR29345109/SRR29345109.lite.1	lhum_24h_dip_11	not applicable	not applicable	2021-05	France	Invertebrate																				2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	head	head				Control		yes	yes	no		PRJNA553098	SAMN12229015	SRX6412361	SRR9650819	SRA918173	SRS5069559	SRP213566	Native and introduced Argentine ant populations are characterised by distinct transcriptomic signatures associated with behaviour and immunity	RNA-Seq Linepithema humile	150 base paired-end barcoded mRNA TruSeq libraries			ARVLO-1	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina HiSeq 4000	14072823	2814564600	1180325829								School of Biological Sciences	Victoria University of Wellington	SUB5916428		83485	2019-09-03 00:27:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/650/SRR9650819.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9650819/SRR9650819	gs://sra-pub-zq-109/SRR9650819/SRR9650819.zq.1	30 individuals		Native range	2015-01	Argentina: Buenos Aires	Invertebrate		VLO_C_1	34.5441 S 58.4932 W																	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA279338	SAMN03446186	SRX974561	SRR1948185	SRA248600	SRS889778	SRP056614	Linepithema humile queen gene expression	CS4			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14103164	2820632800	2028772700		0.0	200.0	0.0	Application Read	Forward	1.0		University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948185.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1948185/SRR1948185	gs://sra-pub-zq-104/SRR1948185/SRR1948185.zq.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		1.0	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA279338	SAMN03446177	SRX974702	SRR1948348	SRA248600	SRS889904	SRP056614	Linepithema humile queen gene expression	CA2			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14121341	2824268200	2058780220		0.0	200.0	0.0	Application Read	Forward	1.0		University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948348.sralite.1	s3://sra-pub-zq-8/SRR1948348/SRR1948348.sralite.1	gs://sra-pub-zq-106/SRR1948348/SRR1948348.noqual.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		3.0	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body						yes	yes	no		PRJNA279338	SAMN03446169	SRX974660	SRR1948294	SRA248600	SRS889863	SRP056614	Linepithema humile queen gene expression	CA2			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14581378	2916275600	2165398943		0.0	200.0	0.0	Application Read	Forward	1.0		University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948294.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1948294/SRR1948294	gs://sra-pub-zq-107/SRR1948294/SRR1948294.noqual.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		2.0	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	head	head				Control		yes	yes	no		PRJNA553098	SAMN12229040	SRX6412355	SRR9650825	SRA918173	SRS5069554	SRP213566	Native and introduced Argentine ant populations are characterised by distinct transcriptomic signatures associated with behaviour and immunity	RNA-Seq Linepithema humile	150 base paired-end barcoded mRNA TruSeq libraries			NZHAS-2	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina HiSeq 4000	14697683	2939536600	1158773686								School of Biological Sciences	Victoria University of Wellington	SUB5916428		83485	2019-09-03 00:27:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/650/SRR9650825.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9650825/SRR9650825	gs://sra-pub-zq-109/SRR9650825/SRR9650825.zq.1	30 individuals		Introduced range	2016-02	New Zealand: Hastings	Invertebrate		HAS_C_2	39.6009 S 176.7506 E																	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing			yes	yes	no		PRJNA279338	SAMN09273455	SRX4138950	SRR7232542	SRA712330	SRS3352798	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B26	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14827735	2965547000	2257468091								Ecology and Genetics Research Unit	University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232542.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232542/SRR7232542	gs://sra-pub-zq-103/SRR7232542/SRR7232542.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BI8 replicate 1	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing			yes	yes	no		PRJNA279338	SAMN09273461	SRX4138948	SRR7232544	SRA712330	SRS3352796	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B41	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14904249	2980849800	2326368205								Ecology and Genetics Research Unit	University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232544.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232544/SRR7232544	gs://sra-pub-zq-104/SRR7232544/SRR7232544.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BS8 replicate 2	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing			yes	yes	no		PRJNA279338	SAMN09273448	SRX4138961	SRR7232531	SRA712330	SRS3352809	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B6	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14913008	2982601600	2334338133								Ecology and Genetics Research Unit	University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	not applicable						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232531.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232531/SRR7232531	gs://sra-pub-zq-102/SRR7232531/SRR7232531.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BI4 replicate 1	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	head	head				Control		yes	yes	no		PRJNA553098	SAMN12229038	SRX6412353	SRR9650827	SRA918173	SRS5069551	SRP213566	Native and introduced Argentine ant populations are characterised by distinct transcriptomic signatures associated with behaviour and immunity	RNA-Seq Linepithema humile	150 base paired-end barcoded mRNA TruSeq libraries			NZTAR-1	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina HiSeq 4000	15203589	3040717800	1276657536								School of Biological Sciences	Victoria University of Wellington	SUB5916428		83485	2019-09-03 00:27:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR009/650/SRR9650827.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9650827/SRR9650827	gs://sra-pub-zq-109/SRR9650827/SRR9650827.zq.1	30 individuals		Introduced range	2016-02	New Zealand: Oakura	Invertebrate		TAR_C_1	39.1195 S 173.9397 E																	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
