scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Atta cephalotes	whole brains	whole brains						yes	yes	no		PRJNA747612	SAMN20286387	SRX11485823	SRR15178724	SRA1260580	SRS9525740	SRP328723	Transcriptomic evidence of mosaic brain evolution underlying complex division of labor in a social insect	RNAseq of Atta cephalotes: adult worker brains	Individual brains were dissected from workers that were snap-frozen only during 1100-1300 hr to minimize potential influences of circadian rhythms on gene expression. Individual samples belonging to different worker size groups and colonies were distributed across extraction batches, library batches, and sequence lanes to mitigate confounding batch effects. Total RNA was extracted from worker brains using a ThermoFisher PicoPure kit and a modified protocol for homogenization; three to 10 brains were pooled into a single microcentrifuge tube for each sample during the dissection process. Libraries were sequenced by Harvard BioPolymers using a combination of Illumina NextSeq and MiSeq with SE 75 reads. RNAseq unstranded libraries with mRNA poly-A selection were prepared by Harvard BioPolymers using a KAPA mRNA HyperPrep kit. mRNA sequence libraries were individually barcoded and multiplexed in equal proportions and all libraries were sequenced across four lanes.			LIB042574_TRA00159658	single	RNA-Seq	TRANSCRIPTOMIC	DNase	NextSeq 500	23760471	1782035325	693074138								Biology	Boston University	SUB10028534		12957	2024-01-01 00:00:35							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15178/SRR15178724/SRR15178724.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15178724/SRR15178724	gs://sra-pub-zq-104/SRR15178724/SRR15178724.lite.1
Atta cephalotes	whole brains	whole brains						yes	yes	no		PRJNA747612	SAMN20286386	SRX11485822	SRR15178725	SRA1260580	SRS9525739	SRP328723	Transcriptomic evidence of mosaic brain evolution underlying complex division of labor in a social insect	RNAseq of Atta cephalotes: adult worker brains	Individual brains were dissected from workers that were snap-frozen only during 1100-1300 hr to minimize potential influences of circadian rhythms on gene expression. Individual samples belonging to different worker size groups and colonies were distributed across extraction batches, library batches, and sequence lanes to mitigate confounding batch effects. Total RNA was extracted from worker brains using a ThermoFisher PicoPure kit and a modified protocol for homogenization; three to 10 brains were pooled into a single microcentrifuge tube for each sample during the dissection process. Libraries were sequenced by Harvard BioPolymers using a combination of Illumina NextSeq and MiSeq with SE 75 reads. RNAseq unstranded libraries with mRNA poly-A selection were prepared by Harvard BioPolymers using a KAPA mRNA HyperPrep kit. mRNA sequence libraries were individually barcoded and multiplexed in equal proportions and all libraries were sequenced across four lanes.			LIB042574_TRA00159657	single	RNA-Seq	TRANSCRIPTOMIC	DNase	NextSeq 500	24396018	1829701350	715473088								Biology	Boston University	SUB10028534		12957	2024-01-01 00:00:35							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15178/SRR15178725/SRR15178725.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15178725/SRR15178725	gs://sra-pub-zq-104/SRR15178725/SRR15178725.lite.1
Atta cephalotes	whole brains	whole brains						yes	yes	no		PRJNA747612	SAMN20286385	SRX11485821	SRR15178726	SRA1260580	SRS9525738	SRP328723	Transcriptomic evidence of mosaic brain evolution underlying complex division of labor in a social insect	RNAseq of Atta cephalotes: adult worker brains	Individual brains were dissected from workers that were snap-frozen only during 1100-1300 hr to minimize potential influences of circadian rhythms on gene expression. Individual samples belonging to different worker size groups and colonies were distributed across extraction batches, library batches, and sequence lanes to mitigate confounding batch effects. Total RNA was extracted from worker brains using a ThermoFisher PicoPure kit and a modified protocol for homogenization; three to 10 brains were pooled into a single microcentrifuge tube for each sample during the dissection process. Libraries were sequenced by Harvard BioPolymers using a combination of Illumina NextSeq and MiSeq with SE 75 reads. RNAseq unstranded libraries with mRNA poly-A selection were prepared by Harvard BioPolymers using a KAPA mRNA HyperPrep kit. mRNA sequence libraries were individually barcoded and multiplexed in equal proportions and all libraries were sequenced across four lanes.			LIB042574_TRA00159656	single	RNA-Seq	TRANSCRIPTOMIC	DNase	NextSeq 500	21577984	1618348800	628181579								Biology	Boston University	SUB10028534		12957	2024-01-01 00:00:35							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15178/SRR15178726/SRR15178726.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15178726/SRR15178726	gs://sra-pub-zq-104/SRR15178726/SRR15178726.lite.1
Atta cephalotes	whole brains	whole brains						yes	yes	no		PRJNA747612	SAMN20286384	SRX11485820	SRR15178727	SRA1260580	SRS9525737	SRP328723	Transcriptomic evidence of mosaic brain evolution underlying complex division of labor in a social insect	RNAseq of Atta cephalotes: adult worker brains	Individual brains were dissected from workers that were snap-frozen only during 1100-1300 hr to minimize potential influences of circadian rhythms on gene expression. Individual samples belonging to different worker size groups and colonies were distributed across extraction batches, library batches, and sequence lanes to mitigate confounding batch effects. Total RNA was extracted from worker brains using a ThermoFisher PicoPure kit and a modified protocol for homogenization; three to 10 brains were pooled into a single microcentrifuge tube for each sample during the dissection process. Libraries were sequenced by Harvard BioPolymers using a combination of Illumina NextSeq and MiSeq with SE 75 reads. RNAseq unstranded libraries with mRNA poly-A selection were prepared by Harvard BioPolymers using a KAPA mRNA HyperPrep kit. mRNA sequence libraries were individually barcoded and multiplexed in equal proportions and all libraries were sequenced across four lanes.			LIB042574_TRA00159655	single	RNA-Seq	TRANSCRIPTOMIC	DNase	NextSeq 500	22304934	1672870050	648148241								Biology	Boston University	SUB10028534		12957	2024-01-01 00:00:35							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15178/SRR15178727/SRR15178727.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15178727/SRR15178727	gs://sra-pub-zq-104/SRR15178727/SRR15178727.lite.1
Atta cephalotes	whole brains	whole brains						yes	yes	no		PRJNA747612	SAMN20286366	SRX11485819	SRR15178728	SRA1260580	SRS9525736	SRP328723	Transcriptomic evidence of mosaic brain evolution underlying complex division of labor in a social insect	RNAseq of Atta cephalotes: adult worker brains	Individual brains were dissected from workers that were snap-frozen only during 1100-1300 hr to minimize potential influences of circadian rhythms on gene expression. Individual samples belonging to different worker size groups and colonies were distributed across extraction batches, library batches, and sequence lanes to mitigate confounding batch effects. Total RNA was extracted from worker brains using a ThermoFisher PicoPure kit and a modified protocol for homogenization; three to 10 brains were pooled into a single microcentrifuge tube for each sample during the dissection process. Libraries were sequenced by Harvard BioPolymers using a combination of Illumina NextSeq and MiSeq with SE 75 reads. RNAseq unstranded libraries with mRNA poly-A selection were prepared by Harvard BioPolymers using a KAPA mRNA HyperPrep kit. mRNA sequence libraries were individually barcoded and multiplexed in equal proportions and all libraries were sequenced across four lanes.			LIB042574_TRA00159637	single	RNA-Seq	TRANSCRIPTOMIC	DNase	NextSeq 500	24552234	1841417550	710667926								Biology	Boston University	SUB10028534		12957	2024-01-01 00:00:35							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15178/SRR15178728/SRR15178728.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15178728/SRR15178728	gs://sra-pub-zq-104/SRR15178728/SRR15178728.lite.1
