scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594878	SRX21998914	SRR26290304	SRA1726486	SRS19073474	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes NPA/VKR KD in MAJ, NPAi treatment,  12h, r2	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes NPA/VKR KD in MAJ, NPAi treatment,  12h, r2		SM_CB_NPAi_12h_b2_MGKDv3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	18974004	1573454426	695737045								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:22							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290304/SRR26290304.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290304/SRR26290304	gs://sra-pub-zq-108/SRR26290304/SRR26290304.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594864	SRX21998878	SRR26290339	SRA1726486	SRS19073438	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes NPA/VKR KD in MAJ, GFPi treatment,  12h, r3	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes NPA/VKR KD in MAJ, GFPi treatment,  12h, r3		SM_CB_GFPi_12h_b4_MGKDv3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19023943	1578464278	701986012								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:25							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290339/SRR26290339.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290339/SRR26290339	gs://sra-pub-zq-108/SRR26290339/SRR26290339.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594762	SRX21998892	SRR26290325	SRA1726486	SRS19073452	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes CCAP inj sample 7	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes CCAP inj sample 7		Gd_CB_CCAPinj_6h_b1_MGINv6	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19211786	1592214754	755253473								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:24							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290325/SRR26290325.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290325/SRR26290325	gs://sra-pub-zq-108/SRR26290325/SRR26290325.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594926	SRX21999017	SRR26290202	SRA1726486	SRS19073577	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes baseline caste MNR, subcaste Tr replicate r6	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes baseline caste MNR, subcaste Tr replicate r6		Tr_CB_wt_b3_AcR03	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19222723	1593413254	701935872								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290202/SRR26290202.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290202/SRR26290202	gs://sra-pub-zq-108/SRR26290202/SRR26290202.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594896	SRX21998934	SRR26290284	SRA1726486	SRS19073494	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes NPA/VKR KD in MAJ, VKRi treatment,  12h, r3	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes NPA/VKR KD in MAJ, VKRi treatment,  12h, r3		SM_CB_VKRi_12h_b4_MGKDv3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19214836	1593730664	714737284								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:20							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290284/SRR26290284.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290284/SRR26290284	gs://sra-pub-zq-108/SRR26290284/SRR26290284.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594771	SRX21998944	SRR26290274	SRA1726486	SRS19073504	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes CCAP inj sample 16	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes CCAP inj sample 16		SM_CB_CTRLinj_6h_b4_MGINv6	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19294860	1599225341	755675111								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:19							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290274/SRR26290274.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290274/SRR26290274	gs://sra-pub-zq-108/SRR26290274/SRR26290274.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594898	SRX21998936	SRR26290282	SRA1726486	SRS19073496	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes NPA/VKR KD in MAJ, VKRi treatment,  12h, r5	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes NPA/VKR KD in MAJ, VKRi treatment,  12h, r5		SM_CB_VKRi_12h_b6_MGKDv3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19340241	1604000440	722909631								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:20							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290282/SRR26290282.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290282/SRR26290282	gs://sra-pub-zq-108/SRR26290282/SRR26290282.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594867	SRX21998882	SRR26290335	SRA1726486	SRS19073442	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes NPA/VKR KD in MAJ, GFPi treatment,  24h, r1	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes NPA/VKR KD in MAJ, GFPi treatment,  24h, r1		SM_CB_GFPi_24h_b1_MGKDv3	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19402658	1606007443	716589408								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:26							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290335/SRR26290335.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290335/SRR26290335	gs://sra-pub-zq-108/SRR26290335/SRR26290335.lite.1	brain	brain
Atta cephalotes	whole brains	brain						yes	yes	no		PRJNA747612	SAMN20286385	SRX11485821	SRR15178726	SRA1260580	SRS9525738	SRP328723	Transcriptomic evidence of mosaic brain evolution underlying complex division of labor in a social insect	RNAseq of Atta cephalotes: adult worker brains	Individual brains were dissected from workers that were snap-frozen only during 1100-1300 hr to minimize potential influences of circadian rhythms on gene expression. Individual samples belonging to different worker size groups and colonies were distributed across extraction batches, library batches, and sequence lanes to mitigate confounding batch effects. Total RNA was extracted from worker brains using a ThermoFisher PicoPure kit and a modified protocol for homogenization; three to 10 brains were pooled into a single microcentrifuge tube for each sample during the dissection process. Libraries were sequenced by Harvard BioPolymers using a combination of Illumina NextSeq and MiSeq with SE 75 reads. RNAseq unstranded libraries with mRNA poly-A selection were prepared by Harvard BioPolymers using a KAPA mRNA HyperPrep kit. mRNA sequence libraries were individually barcoded and multiplexed in equal proportions and all libraries were sequenced across four lanes.			LIB042574_TRA00159656	single	RNA-Seq	TRANSCRIPTOMIC	DNase	NextSeq 500	21577984	1618348800	628181579								Biology	Boston University	SUB10028534		12957	2024-01-01 00:00:35							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15178/SRR15178726/SRR15178726.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15178726/SRR15178726	gs://sra-pub-zq-104/SRR15178726/SRR15178726.lite.1	brain	brain
Atta cephalotes	central brain	brain		female	d30			yes	yes	no		PRJNA1022160	SAMN37594800	SRX21999005	SRR26290214	SRA1726486	SRS19073566	SRP464705	molecular characterization of Atta cephalotes worker behavior and a link to mammalian eusociality	A. cephalotes baseline caste MED, subcaste Cr replicate r7	total RNA was isolated via Trizol extraction from dissected tissues or cultures, followed by DNase treatment and re-purification using RNA clean XP beads with a ratio of 2:1.  Poly-A selection was performed using NEB next kit, followed by directional library preprartion.  libraries were PCR cycled for 6-10 cycles depending on prior qPCR quantification of adapter-ligated cDNA.  all comparisons were cycled from the same number of PCR cycles to ensure comparability.	A. cephalotes baseline caste MED, subcaste Cr replicate r7		Cr_CB_wt_b4_AcR03	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	NextSeq 550	19621421	1626237788	724053932								Cell & Developmental Biology	University of Pennsylvania	SUB13871066		12957	2024-10-17 00:11:14							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR026/26290/SRR26290214/SRR26290214.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26290214/SRR26290214	gs://sra-pub-zq-108/SRR26290214/SRR26290214.lite.1	brain	brain
