target_id	SRR1015531	SRR1015527	SRR1015523	SRR1015519	SRR1015515	SRR1015511	SRR1015507	SRR1015503	SRR1015499	SRR7772543	SRR7772544	SRR7772545	SRR7772546	SRR7772547	SRR7772548	SRR7772549	SRR7772550	SRR7772551	SRR7772554	SRR7772555	SRR7772559
lcl|NW_011623728.1_mrna_XM_011054566.1_1	0.951004	1.97151	0.0	2.0	1.0	3.94173	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.97847	0.0
lcl|NW_011624586.1_ncrna_XR_846910.1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16815	0.0	0.549783	0.0	0.0
lcl|NW_011624727.1_mrna_XM_011069933.1_3	4.94156	1.74796	4.12528	5.06112	1.20563	7.03618	3.5836	0.0	2.25192	0.141138	3.77772	0.12263	0.411231	0.576003	3.38268	2.63401	6.10205	1.62916	0.0	3.85638	0.608092
lcl|NW_011624860.1_mrna_XM_011050785.1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.15739	0.0	0.0	9.20049	5.49879	0.0	13.5834	0.0	2.87681	0.0	0.0
lcl|NW_011624872.1_mrna_XM_011051941.1_5	0.0	0.0	1.12864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lcl|NW_011625353.1_mrna_XM_011053060.1_6	0.0	0.762294	0.32268	1.00087	0.0	0.903303	1.63516	0.0	3.9133	18.2944	1.75182	4.91953	6.02826	0.0	0.950004	0.0174166	2.09415	2.44604	0.0	1.58252	1.52765
lcl|NW_011625419.1_mrna_XM_011054215.1_7	1.11988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.469522	0.0	0.0	0.0	0.261736	0.0	0.0	0.505681	0.0	0.0	0.0	0.0
lcl|NW_011625430.1_mrna_XM_011055343.1_8	0.0	0.0	1.90602	0.0	1.95947	0.0	0.0	0.0	1.82258	0.0	0.0	0.0	0.0	0.0	0.931741	0.0	0.0	0.0	0.0	0.0	0.0
lcl|NW_011625696.1_mrna_XM_011057713.1_9	1.5755	4.38851	4.44572	1.45692	8.31757	7.98755	0.0	6.50022	14.0913	2.34472	0.0	0.0	0.0604348	0.0	3.96679	3.06332	0.351769	0.0	10.0	10.1053	0.83153
lcl|NW_011625781.1_mrna_XM_011058873.1_10	0.0	3.59546	1.18586	1.22679	0.0	0.0	0.0	2.36204	0.0	9.55162	3.6716	15.6727	11.6323	9.79725	14.1249	6.1149	3.82701	4.65754	14.7204	3.80388	12.69
lcl|NW_011625949.1_mrna_XM_011062367.1_11	9206.91	6467.56	10808.4	23533.6	25111.8	18389.6	35595.6	23984.8	40085.4	12.5959	73.617	503.313	3.48366	83.0423	4.46715	9.72252	7.6572	6.32932	11.0	13.4802	6.0
lcl|NW_011625970.1_mrna_XM_011063536.1_12	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	4.0	3.0	2.0	0.0	0.0	2.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0
lcl|NW_011626003.1_mrna_XM_011064707.1_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.26385	0.0	0.0	3.01108	0.0	1.14827	0.0	0.0	0.0	3.1442	0.0
lcl|NW_011626056.1_mrna_XM_011065862.1_14	0.0	0.0	2.0	0.0	0.0	3.0	0.276179	2.0	0.104812	0.0	0.0	0.0	0.0	0.0	0.0	1.26858	0.0	0.0	2.0	0.0	0.0
lcl|NW_011626079.1_ncrna_XR_846969.1_15	1.591	3.26314	2.0	0.0	0.0	3.24896	3.5286	1.0	8.35731	1.98129	14.1244	0.0	1.0	4.95786	4.31806	20.3417	7.27261	0.0	2.0	3.28569	0.0
lcl|NW_011626117.1_ncrna_XR_847052.1_16	36.9442	37.7819	14.2975	23.5381	24.1934	32.8005	4.22413	16.3123	32.5082	165.026	85.4264	162.728	66.3346	79.1436	63.6843	138.517	111.061	86.2961	57.9265	138.036	97.4009
lcl|NW_011626120.1_mrna_XM_011068524.1_17	0.0	0.0	4.0	0.0	0.0	2.0	1.44295	0.0	1.0	1.23355e-06	0.0	0.0	0.0	2.85715	0.0	0.0	0.0	0.0	1.0	0.0	0.0
lcl|NW_011626159.1_mrna_XM_011069491.1_18	49.1923	73.001	64.6601	71.8658	35.6919	62.1384	74.4642	54.3688	63.7956	42.5723	18.5174	15.9125	16.3256	12.9438	26.388	55.8895	22.0337	13.6378	11.5544	30.436	14.2324
lcl|NW_011626164.1_mrna_XM_011069602.1_19	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
lcl|NW_011626168.1_ncrna_XR_847172.1_20	42.3665	88.3098	41.3172	15.3346	28.7268	6.42961	24.5348	24.8628	16.9828	264.436	62.7177	0.0210904	2.5428	167.675	168.082	41.4451	317.821	46.0511	17.8351	97.9812	151.225
lcl|NW_011626187.1_mrna_XM_011069818.1_21	10.0	11.0	25.0	26.0	9.0	16.0	15.0	7.0	10.0	27.0	1.0	14.0	0.0	6.0	6.0	21.0	10.0	2.0	3.0	6.0	1.0
lcl|NW_011626194.1_mrna_XM_011069934.1_22	7.56691	28.1133	16.1662	0.0	9.33511	0.0	2.32788	0.0	7.21568	0.0	4.21231	0.0	0.0	0.0	0.0	25.8698	0.0	0.0	7.7766	5.1767	0.0
lcl|NW_011626205.1_mrna_XM_011070057.1_23	69.0	76.0	78.0	47.0	27.0	57.0	32.0	19.0	27.0	8.0	12.0	0.0	0.0	3.0	1.0	7.0	3.0	0.0	1.0	5.0	4.0
lcl|NW_011626208.1_mrna_XM_011070177.1_24	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.25042	9.02756	0.0	0.0	5.4094	0.0	0.0	11.6202	1.52149	1.0	3.81396	3.13923
lcl|NW_011626220.1_mrna_XM_011070389.1_25	6.07826	0.0	0.00904217	10.4618	0.0	21.5692	0.600519	8.28112	7.17221	1.43207	28.5674	0.0	0.0	0.0	0.0	21.3316	4.79112	3.15944	6.58227	3.78569	0.0
lcl|NW_011626221.1_mrna_XM_011070500.1_26	0.0	16.4913	0.0	0.0	0.0	3.20549	8.79071	60.964	33.2348	31.1025	136.73	0.0	1.56486	53.516	84.6174	63.2687	15.9061	23.9569	94.7981	37.6553	32.5954
lcl|NW_011626222.1_mrna_XM_011070601.1_27	0.0	6.1592	7.23625	7.60995	0.0	4.3746	0.0	8.79423	0.0	374.994	641.009	332.821	243.488	99.5425	275.308	356.42	61.1677	227.682	81.333	212.263	52.0365
lcl|NW_011626239.1_mrna_XM_011070709.1_28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4451	35.9289	4.33338	0.0	10.8582	9.13373	5.35765	1.7109	11.5752	6.75638	23.7594	6.88557
lcl|NW_011626243.1_mrna_XM_011070824.1_29	19.3864	14.9672	15.0343	19.3836	13.9845	20.5253	12.4354	13.7185	39.6694	122.189	60.4327	139.685	79.3783	59.3414	42.1158	146.781	46.8563	68.2605	71.4137	99.2046	63.499
lcl|NW_011626245.1_mrna_XM_011070931.1_30	79.1021	119.0	118.322	30.5603	80.4771	43.8339	45.5166	76.178	134.176	125.38	51.5855	203.883	138.298	31.4001	32.9491	111.696	40.461	114.501	92.5524	53.0984	54.7113
lcl|NW_011626261.1_mrna_XM_011050786.1_31	1.0	2.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	3.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	1.0	2.0	1.0
lcl|NW_011626283.1_ncrna_XR_845642.1_32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.7066	0.0	0.0
lcl|NW_011626283.1_ncrna_XR_845635.1_33	1.62809	3.48877	3.41961	0.0	0.0	3.04555	1.50525	0.0	5.05098	418.7	171.381	588.445	208.347	160.993	116.629	443.998	184.699	210.507	196.408	249.39	114.602
lcl|NW_011626283.1_ncrna_XR_845637.1_34	1.76436	4.28805	0.0	0.0	0.0	0.0	0.0	3.03455	0.0	50.0103	12.7233	59.8086	19.758	2.33881	15.0849	70.2049	38.5526	29.0503	149.396	8.84355	20.1104
lcl|NW_011626283.1_ncrna_XR_845649.1_35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3051	5.68285	0.0	16.4013	2.4357	2.61755	4.56008	5.40704	12.9914	34.4454	11.6659	2.35521
lcl|NW_011626283.1_ncrna_XR_845664.1_36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.8609	0.0	0.0
lcl|NW_011626290.1_mrna_XM_011051118.1_37	115.0	84.3016	148.0	223.426	97.9106	223.0	144.915	157.0	258.533	6.0	8.0	0.0	3.0	6.0	2.0	4.0	2.0	0.0	0.0	1.0	2.0
