Surrogate variable	Sample group	BioProject	Library layout	Library selection	Instrument	Mapping rate	Log10 total reads	Log10 total bases
SV1	-0.0106097177907152	-0.00570213808890374	-0.00570213808890374	-0.00570213808890374	-0.00570213808890374	-0.00507918201363866	0.00358257401054618	0.00340757394770264
SV2	-0.0108587289440825	-0.0050063098602986	-0.0050063098602986	-0.0050063098602986	-0.0050063098602986	-0.00171983140667353	-0.00533585972080886	-0.00522627589196056
SV3	-0.01010787435279	-0.00481173591664752	-0.00481173591664752	-0.00481173591664752	-0.00481173591664752	-0.00352562924063871	0.000625455817881426	0.00140024913674763
SV4	-0.0113426414370157	-0.00529226029840912	-0.00529226029840912	-0.00529226029840912	-0.00529226029840912	-0.000827578182338806	-0.000540934699960083	-0.000784234710388354
SV5	-0.0117286156948604	-0.00571463306604425	-0.00571463306604425	-0.00571463306604425	-0.00571463306604425	0.014021992008116	-0.00586916713617125	-0.0058616116703134
SV6	-0.0109789989666715	-0.00562955173300828	-0.00562955173300828	-0.00562955173300828	-0.00562955173300828	0.0367597023446632	-0.00595422955496994	-0.0059532657450021
SV7	-0.0109244822081842	-0.00560526850831078	-0.00560526850831078	-0.00560526850831078	-0.00560526850831078	0.0135545827554309	0.0362283084562144	0.0384739845882208
SV8	-0.00609580475176474	-0.0058585007300056	-0.0058585007300056	-0.0058585007300056	-0.0058585007300056	0.0996828973824512	0.0522095776892062	0.0545304471495738
SV9	-0.00997035390361356	-0.00459214764085125	-0.00459214764085125	-0.00459214764085125	-0.00459214764085125	0.00885419851614744	0.0253066560460985	0.0253129357844034
SV10	-0.00975545260701338	-0.0053449204059246	-0.0053449204059246	-0.0053449204059246	-0.0053449204059246	0.0865134053578057	0.00202394831447827	0.00230223158787479
SV11	-0.00884731653962256	-0.00526571121637431	-0.00526571121637431	-0.00526571121637431	-0.00526571121637431	-0.00151255817871698	-0.00579041916634448	-0.0057371115990954
SV12	-0.00697805595041467	-0.00585886149469461	-0.00585886149469461	-0.00585886149469461	-0.00585886149469461	-0.0012088309436753	-0.00549621638800146	-0.00559004590666223
SV13	-0.00556304814717579	-0.00309914142132683	-0.00309914142132683	-0.00309914142132661	-0.00309914142132661	0.0124337701285001	0.0261970077012764	0.0292443104915683
SV14	-0.00272230829018349	0.00207370558949038	0.00207370558949038	0.00207370558949005	0.00207370558949005	0.0151515113732051	0.0497040840454712	0.0559458763247389
SV15	0.0310210245350118	0.0131827051334246	0.0131827051334246	0.0131827051334243	0.0131827051334243	0.0213182769992329	0.00350084157953179	0.00620672085982932
SV16	0.061990257861482	0.0323562423915366	0.0323562423915366	0.0323562423915369	0.0323562423915369	0.0619961517256968	-0.00371360957001499	-0.00146820215973165
