bwbw_n	bwbw_mean	bwbw_median	bwbw_variance	wibw_n	wibw_mean	wibw_median	wibw_variance	bwwi_n	bwwi_mean	bwwi_median	bwwi_variance	wiwi_n	wiwi_mean	wiwi_median	wiwi_variance
round_0	2916	0.432241244428667	0.390700675184709	0.0211092277694912	632	0.405330070060213	0.365191353747562	0.0206765237435258	0	NA	NA	NA	12562	0.437521356489177	0.406626749813207	0.0202812540144206
round_1	2718	0.913392428160969	0.919199877238822	0.000616007491847906	588	0.840193261282054	0.846375486170552	0.00109767390072708	0	NA	NA	NA	10890	0.940136681092398	0.944382998901695	0.000425306565123868
round_8	940	0.694960229064833	0.685505972575111	0.016465092597908	360	0.835304596624798	0.842958908808444	0.0014201256741078	0	NA	NA	NA	4056	0.939995118255223	0.947499026897301	0.00140850311820361
