scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	host	isolation_source	collection_date	geo_loc_name	biosamplemodel	breed	replicate	lat_lon	ecotype	dev_stage	nest_#	sample_month	colony	pooled_individual	caste	altitude	collected_by	depth	env_biome	host_tissue_sampled	identified_by	specimen_voucher	temp	biological_replicate	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Linepithema humile	whole body	whole body		female	missing					no		PRJNA279338	SAMN09273464	SRX4138943	SRR7232549	SRA712330	SRS3352791	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B46	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	17798373	3559674600	2780638052								University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232549.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232549/SRR7232549	gs://sra-pub-zq-102/SRR7232549/SRR7232549.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BI4 replicate 3	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing					no		PRJNA279338	SAMN09273468	SRX4138942	SRR7232550	SRA712330	SRS3352792	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B55	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	17823823	3564764600	2705827656								University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232550.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232550/SRR7232550	gs://sra-pub-zq-103/SRR7232550/SRR7232550.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BI12 replicate 3	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing					no		PRJNA279338	SAMN09273467	SRX4138941	SRR7232551	SRA712330	SRS3352790	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B53	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	20336825	4067365000	3178311486								University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232551.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232551/SRR7232551	gs://sra-pub-zq-104/SRR7232551/SRR7232551.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BS8 replicate 3	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing					no		PRJNA279338	SAMN09273466	SRX4138940	SRR7232552	SRA712330	SRS3352788	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B50	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	13958963	2791792600	2181340121								University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232552.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232552/SRR7232552	gs://sra-pub-zq-102/SRR7232552/SRR7232552.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BS2 replicate 3	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body		female	missing					no		PRJNA279338	SAMN09273465	SRX4138939	SRR7232553	SRA712330	SRS3352789	SRP056614	Linepithema humile queen gene expression	RNA-seq of Linepithema humile queens	Random sequencing of whole transcriptome		Adult queen	B49	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	16188142	3237628400	2467440891								University of Oulu	SUB4096160		83485	2019-01-01 00:19:14	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/232/SRR7232553.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7232553/SRR7232553	gs://sra-pub-zq-103/SRR7232553/SRR7232553.zq.1	not applicable	not applicable	not applicable	2011	Spain: Castell d'Aro	Invertebrate	not applicable	BI8 replicate 3	missing		Adult queen						not applicable	Lumi Viljakainen	not applicable	missing	not applicable	missing	missing	missing		2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA279338	SAMN03446168	SRX973893	SRR1947299	SRA248600	SRS889135	SRP056614	Linepithema humile queen gene expression	CA12			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	13467341	2693468200	2054561346		0.0E0	200	0	Application Read	Forward	1	University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/947/SRR1947299.sralite.1	s3://sra-pub-zq-2/SRR1947299/SRR1947299.sralite.1	gs://sra-pub-zq-103/SRR1947299/SRR1947299.zq.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		2	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA279338	SAMN03446164	SRX970769	SRR1948104	SRA248600	SRS885890	SRP056614	Linepithema humile queen gene expression	CS8			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiScanSQ	13828997	2765799400	1988297581		0.0E0	200	0	Application Read	Forward	1	University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/948/SRR1948104/SRR1948104.sralite.1	s3://sra-pub-zq-2/SRR1948104/SRR1948104.sralite.1	gs://sra-pub-zq-103/SRR1948104/SRR1948104.zq.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		1	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA279338	SAMN03446177	SRX974702	SRR1948348	SRA248600	SRS889904	SRP056614	Linepithema humile queen gene expression	CA2			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14121341	2824268200	2058780220		0.0E0	200	0	Application Read	Forward	1	University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948348.sralite.1	s3://sra-pub-zq-8/SRR1948348/SRR1948348.sralite.1	gs://sra-pub-zq-106/SRR1948348/SRR1948348.noqual.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		3	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA279338	SAMN03446169	SRX974660	SRR1948294	SRA248600	SRS889863	SRP056614	Linepithema humile queen gene expression	CA2			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	14581378	2916275600	2165398943		0.0E0	200	0	Application Read	Forward	1	University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948294.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1948294/SRR1948294	gs://sra-pub-zq-107/SRR1948294/SRR1948294.noqual.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		2	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
Linepithema humile	whole body	whole body								no		PRJNA279338	SAMN03446167	SRX974659	SRR1948288	SRA248600	SRS889862	SRP056614	Linepithema humile queen gene expression	CA2			Adult queen		paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	11199753	2239950600	1630556323		0.0E0	200	0	Application Read	Forward	1	University of Oulu	L. humile queen RNA-seq controls		83485	2015-04-02 13:32:49	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948288.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1948288/SRR1948288	gs://sra-pub-zq-105/SRR1948288/SRR1948288.noqual.1	not applicable	not applicable	not applicable	missing	Spain: Castell d'Aro	Invertebrate	not applicable																		1	2759	33208	6656	50557	7399	36668	83484	83485	Linepithema humile
