target_id	tau	highest	order
lcl|NW_011626826.1_mrna_XM_011069984.1_2716	0.863466571591149	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069985.1_2718	0.777123382642127	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011069986.1_2722	0.638105297436155	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069987.1_2726	0.629345645812578	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069988.1_2727	0.906153678672842	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069989.1_2723	0.977662260505423	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069991.1_2724	0.707114866151675	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011069992.1_2725	0.800517577225554	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011069993.1_2730	0.885684613644666	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069994.1_2729	0.5437013572159	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069995.1_2731	0.418311763229816	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011069996.1_2732	0.684786567234843	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011069997.1_2733	0.853882542303404	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011069998.1_2734	0.80578060839477	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070000.1_2735	0.224483956752895	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070001.1_2736	0.807713993162875	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070002.1_2738	0.938738587429421	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070003.1_2739	0.985288682347306	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070004.1_2740	0.624043678285568	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070005.1_2742	0.837186849596842	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070006.1_2744	0.961512236110877	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070008.1_2743	0.676318505564873	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070009.1_2746	0.830872064747941	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070010.1_2747	0.91548228963242	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070011.1_2745	0.817473269165822	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070012.1_2749	0.555423636165787	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070013.1_2748	0.774202741121408	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070014.1_2750	0.917576702627337	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070016.1_2751	0.399211892621103	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070017.1_2752	0.494151331075619	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070018.1_2753	0.0071919624402933	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070019.1_2754	0.563012748774921	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070020.1_2755	0.547041036086031	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070021.1_2756	0.790163790137243	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070022.1_2757	0.540643464009987	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070023.1_2760	0.888447032727919	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070024.1_2762	0.475762401797978	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070025.1_2763	0.857468632973939	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070026.1_2758	0.944178086708112	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070027.1_2761	0.287063210092678	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070029.1_2759	0.518521176129729	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070030.1_2764	0.555404079722887	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070031.1_2765	0.841123758657545	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070032.1_2766	0.42723014167769	heads	heads|brain
lcl|NW_011626826.1_mrna_XM_011070033.1_2768	0.168291648896042	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070034.1_2767	0.959418788833493	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070035.1_2769	0.702526112597609	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070036.1_2770	0.901961992973191	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070037.1_2772	0.179319133414003	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070038.1_2771	0.757396965195079	brain	brain|heads
lcl|NW_011626826.1_mrna_XM_011070040.1_2773	0.0630856571526357	brain	brain|heads
