target_id	tau	highest	order
lcl|NC_091874.1_mrna_XM_070663554.1_13175	0.702228196005534	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663555.1_13180	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663556.1_13176	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663557.1_13173	0.568606780227146	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663558.1_13172	0.0101965738882384	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663559.1_13171	0.0473950206090271	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663560.1_13174	0.231926529856189	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663561.1_13169	0.0654826586956512	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663562.1_13170	0.982564843036212	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663563.1_13187	0.870132645467749	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663564.1_13167	0.178132369361978	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663565.1_13168	0.177774203476684	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663567.1_13084	0.253763125520327	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663568.1_13083	0.549423880326627	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663569.1_13085	0.23575882151826	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663570.1_13086	0.800826855484408	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663571.1_12849	0.0165620103490338	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663572.1_12850	0.155137707458444	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663573.1_12844	0.330268232340297	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663574.1_12840	0.776963425193221	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663575.1_12841	0.68022928335884	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663576.1_12842	0.244052929588962	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663577.1_12848	0.250647572330825	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663578.1_12847	0.545009361214807	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663580.1_12846	0.858381375974009	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663581.1_12845	0.39653762600527	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663582.1_12835	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663583.1_12836	0.904348781481439	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663584.1_12838	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663585.1_12839	0.0771857797950158	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663586.1_12837	0.101159179642973	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663587.1_13331	0.728718125778053	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663590.1_13330	0.400026836686354	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663591.1_13329	0.0231606894708307	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663592.1_13336	0.5701690672734	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663593.1_13334	0.205491962424184	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663594.1_13335	0.173063382330289	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663595.1_13333	0.683096731794415	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663596.1_13332	0.733102574698167	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663597.1_13344	0.326454922871765	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663599.1_12895	0.185069490876208	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663600.1_12937	0.565206919369992	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663601.1_13348	0.0491714135527493	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663602.1_13382	0.42828419161522	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663603.1_13416	0.335370541118902	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663604.1_13465	0.40689855306577	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663605.1_13466	0.695421673442824	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663606.1_13470	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663608.1_13471	0.471862848224263	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663609.1_13479	0.485232316809466	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663610.1_13481	0.534760179821086	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663612.1_13482	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663613.1_13484	0.94689138103067	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663614.1_13485	0.117076847771287	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663615.1_13486	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663616.1_13487	0.52233696109921	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663618.1_13489	0.68627936538201	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663619.1_13491	0.374048353214466	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663620.1_13492	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663621.1_13495	0.102829533716993	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663623.1_13496	0.675748886114387	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663624.1_13497	0.907721504702603	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663625.1_13498	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663626.1_13499	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663627.1_13500	0.295348747270665	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663628.1_13501	0.985329426871982	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663630.1_13502	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663631.1_13503	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663632.1_13504	0.0607725014667891	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663633.1_13505	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663634.1_13506	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663637.1_13507	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663638.1_13508	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663639.1_13509	0.00770116475862292	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663640.1_13510	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663641.1_13511	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663642.1_13512	0.537337745954905	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663644.1_13514	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663645.1_13515	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663647.1_13517	0.350463793552182	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663648.1_13518	0.682179249981512	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663649.1_13519	0.172250802856648	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663650.1_13520	0.298391759300336	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663652.1_13521	0.924686699560565	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663653.1_13522	0.640164786840342	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663654.1_13523	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663656.1_13524	0.922117362980484	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663657.1_13525	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663658.1_13108	0.099978828246181	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663659.1_13104	0.289015360218106	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663660.1_13106	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663661.1_13107	0.534294793098562	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663662.1_13109	0.112489647052829	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663663.1_13115	0.0748472450175488	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663664.1_13111	0.423714239506947	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663665.1_13110	0.554580319499484	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663667.1_13114	0.24152514586878	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663668.1_13105	0.401877499183235	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663669.1_13113	0.32140774622743	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663670.1_13112	0.143829179988877	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663671.1_12907	0.0851980892517102	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663672.1_12911	0.125118263104537	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663673.1_12910	0.318300994439667	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663674.1_12912	0.704699528491248	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663675.1_12904	0.494199608478432	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663676.1_12901	0.191252578515995	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663677.1_12914	0.170603649092413	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663679.1_12909	0.321680697420281	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663680.1_12908	0.809927733257401	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663681.1_12906	0.299312797130395	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663682.1_12913	0.692036855714623	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663683.1_12821	0.300706276087583	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663684.1_12822	0.294929510277046	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663685.1_12823	0.719771638591874	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663686.1_12824	0.751800766905606	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663687.1_12816	0.771621890530859	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663689.1_12815	0.260129203205429	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663690.1_12814	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663691.1_12820	0.0871852526801875	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663692.1_12818	0.832854095961019	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663693.1_12817	0.738584498243781	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663694.1_12819	0.134877484647675	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663695.1_12826	0.725794421753911	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663696.1_12825	0.860784777095986	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663697.1_12827	0.660706899774331	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663698.1_13092	0.0270018288824443	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663699.1_13093	0.371301116912547	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663700.1_13091	0.4785875361837	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663702.1_13095	0.254919038497339	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663703.1_13094	0.779755713381424	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663704.1_13096	0.409476481300185	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663705.1_13099	0.375193666951142	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663706.1_13098	0.327817831568758	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663707.1_13097	0.372501855240268	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663708.1_13101	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663709.1_13100	0.0466339809708637	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663710.1_13103	0.345285119587425	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663711.1_13102	0.467819472828389	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663712.1_13089	0.882302529855458	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663713.1_13087	0.523945012238336	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663714.1_13088	0.93385908141975	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663716.1_13090	0.7650970403344	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663717.1_13417	0.135891436520321	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663718.1_13422	0.270378614647219	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663719.1_13420	0.931328216969814	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663720.1_13421	0.429217365754747	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663721.1_13423	0.708033079379619	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663722.1_13426	0.777835862105703	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663723.1_13425	0.299870406454764	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663724.1_13424	0.635968320472693	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663725.1_13418	0.334480433647267	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663726.1_12832	0.923888334157881	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663727.1_12831	0.829868311648436	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663728.1_12834	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663729.1_12833	1	whole body	whole body
lcl|NC_091874.1_mrna_XM_070663730.1_12829	0.441289662332972	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663732.1_12830	0.244818060354096	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663733.1_13049	0.988384869497903	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663734.1_13051	0.674332315075544	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663735.1_13050	0.830724581960668	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663736.1_13428	0.490662144353198	whole body sample	whole body sample|whole body
lcl|NC_091874.1_mrna_XM_070663737.1_13430	0.126883952902484	whole body	whole body|whole body sample
lcl|NC_091874.1_mrna_XM_070663738.1_13429	0.666857133751697	whole body sample	whole body sample|whole body
