"Group"	"BioProject"	"Library layout"	"Library selection"	"Instrument"	"Mapping rate"	"Log10 total reads"	"Log10 total bases"
-0.0192977416309135	-0.00954932382816187	-0.00954932382816187	-0.00954932382816187	-0.00954932382816187	-0.00431794968314358	-0.00548934543078539	-0.00519277205257085
-0.014378511226447	-0.0048142564271354	-0.0048142564271354	-0.0048142564271354	-0.0048142564271354	0.0246243933639002	-0.000566526542141066	-0.00152261194967851
-0.00257131337543193	0.00692937790787462	0.00692937790787462	0.00692937790787462	0.00692937790787462	-0.00404541365200761	0.0587813302604714	0.054077849392459
0.139459228302265	0.1220319456682	0.1220319456682	0.1220319456682	0.1220319456682	0.203838315726956	0.0143162284948524	0.0310902998732726
-0.015137885446145	-0.00640119070380019	-0.00640119070380019	-0.00640119070379996	-0.00640119070379996	0.0486502366385705	-0.00685137282399428	-0.00732151006950121
-0.0182102029113786	-0.00951133633411061	-0.00951133633411061	-0.00951133633411061	-0.00951133633411061	0.0213350339812161	0.00387202480275672	0.00422594232101436
-0.010772346426684	-0.00268224098944514	-0.00268224098944514	-0.00268224098944514	-0.00268224098944514	-0.0095616711310833	-0.000974159315390022	-0.00248552451416084
0.0108372460580312	0.019735997160094	0.019735997160094	0.0197359971600941	0.0197359971600941	0.00150711829339412	-0.009613582886568	-0.0091254885604084
-0.011626435381205	-0.00203181572961508	-0.00203181572961508	-0.00203181572961508	-0.00203181572961508	0.0312336526797329	0.00262018372188677	0.00573892115041985
-0.0190024451122812	-0.00958889983532818	-0.00958889983532818	-0.00958889983532818	-0.00958889983532818	-0.00957060562497136	-0.00467045956138867	-0.00466569855891619
0.0275966745615583	-0.00174171631927211	-0.00174171631927211	-0.00174171631927211	-0.00174171631927211	-0.0044420675949759	-0.00721112658772971	-0.00800513699333427
0.0107782572840728	0.0136863282292378	0.0136863282292378	0.0136863282292378	0.0136863282292378	0.0628796621397846	-0.000803791435663337	0.00329938027005328
-0.0167933915355418	-0.00831001003545362	-0.00831001003545362	-0.00831001003545362	-0.00831001003545362	-0.00760859712213535	-0.0015131355662843	-0.00190697155155584
-0.0176772477071094	-0.00822605287361733	-0.00822605287361733	-0.00822605287361733	-0.00822605287361733	0.0126118664120819	-0.00268786317295544	-0.00179609473669218
-0.000416932891722066	-0.00959010150942463	-0.00959010150942463	-0.00959010150942463	-0.00959010150942463	0.0151655841186655	0.00268760994393669	0.00302370271265207
-0.0192547371352725	-0.00945647853499643	-0.00945647853499643	-0.00945647853499665	-0.00945647853499665	0.0103953259041449	-0.0094242754110021	-0.0094396947436064
-0.0186338637177581	-0.00902266784397754	-0.00902266784397754	-0.00902266784397754	-0.00902266784397754	-0.00919961604648756	-0.0068335311718406	-0.00720424683398102
0.0190040837820751	-0.00474127221280463	-0.00474127221280463	-0.00474127221280463	-0.00474127221280463	0.00182446716984908	0.0126877612787174	0.0110419238381062
-0.00931696038310781	-0.00873186918028779	-0.00873186918028779	-0.00873186918028779	-0.00873186918028779	-0.00954015838444611	-0.00312654240023091	-0.00363700804595224
0.00472602072613171	-0.00324204621398372	-0.00324204621398372	-0.00324204621398372	-0.00324204621398372	0.0319736133434351	0.00294984824306399	0.00603344630525304
-0.016854080387013	-0.00904157184780585	-0.00904157184780585	-0.00904157184780585	-0.00904157184780585	-0.00939140011873718	0.000157933456827131	0.000926127229482598
-0.0134086391661996	-0.00389839457761498	-0.00389839457761498	-0.00389839457761498	-0.00389839457761498	-0.00553437786647426	-0.00823304571029615	-0.00745376613407012
-0.0103698036008559	-0.00841418580739339	-0.00841418580739339	-0.00841418580739339	-0.00841418580739339	-0.000151284269713114	0.0764770286799642	0.0772439196377208
