"Group"	"BioProject"	"Library layout"	"Library selection"	"Instrument"	"Mapping rate"	"Log10 total reads"	"Log10 total bases"
-0.00949245949446498	-0.00568179262690927	-0.00568179262690927	-0.00568179262690927	-0.00568179262690927	0.38128879615432	0.0667356713246727	0.0698465390275222
0.0223948049852569	0.0275391968108581	0.0275391968108581	0.027539196810858	0.027539196810858	0.0386029629745097	-0.00406078263940346	-0.00519192603268914
-0.0108152667952985	-0.00527208011178715	-0.00527208011178715	-0.00527208011178715	-0.00527208011178715	-0.00563555254594172	-0.00465235571590772	-0.00437432589374609
0.0830443308204901	0.0872465162853018	0.0872465162853018	0.0872465162853019	0.0872465162853019	-0.00256713817890786	0.040598109873437	0.0291613551033908
-0.00172420475157042	-0.00536663080013988	-0.00536663080013988	-0.00536663080013988	-0.00536663080013988	-0.00556530199955008	0.00847706114090907	0.00872808700270788
0.00445563753401346	-0.00549314796307776	-0.00549314796307776	-0.00549314796307776	-0.00549314796307776	0.00492677777271489	0.00130819284227679	0.00152116311281714
0.0753619066317627	0.0100297705922657	0.0100297705922657	0.0100297705922657	0.0100297705922657	0.0761240408002175	-0.00482597320321587	-0.00390385168548568
-0.0109125522731819	-0.00516884226716186	-0.00516884226716186	-0.00516884226716186	-0.00516884226716186	-0.000510898904694912	-0.00531244024286126	-0.00541986872260014
0.0143135628786835	0.0127933042169686	0.0127933042169686	0.0127933042169686	0.0127933042169686	-0.00172279110461715	0.00499907505554209	0.00246700678425416
-0.00732657697127514	-0.00319803812842689	-0.00319803812842689	-0.00319803812842689	-0.00319803812842689	-0.00549719178031194	-0.0050430154232608	-0.00473177571386341
-0.00433253440852499	-0.00119192194422579	-0.00119192194422579	-0.00119192194422579	-0.00119192194422579	-0.00538132240571576	-0.00509260699697522	-0.00534233469319845
0.00109384110761457	-0.00508092904414537	-0.00508092904414537	-0.00508092904414537	-0.00508092904414537	-0.00409515210645539	-0.00537876314922658	-0.00542079123723549
0.00119377496086781	-0.00561451239042943	-0.00561451239042943	-0.00561451239042943	-0.00561451239042943	-0.00290506478405317	0.00294315232935283	0.00352736479989124
0.0168887177186022	-0.000676999201254525	-0.000676999201254525	-0.000676999201254525	-0.000676999201254525	-0.00523509590184901	-0.00564423138252113	-0.00550313015713266
-0.000753338602685671	-0.00434998336654391	-0.00434998336654391	-0.00434998336654391	-0.00434998336654391	0.00170157729286413	-0.00554201914705876	-0.00556491550250482
-0.00554842082201512	-0.00477761449876923	-0.00477761449876923	-0.00477761449876923	-0.00477761449876923	-0.00353424825216897	-0.00152592235689553	-0.00119159995941787
-0.0102625472065248	-0.00512552113212328	-0.00512552113212328	-0.00512552113212328	-0.00512552113212328	0.0171221298928903	-0.00556725009829329	-0.00549451963493319
0.0131164082555029	0.0106114212390828	0.0106114212390828	0.0106114212390828	0.0106114212390828	-9.7601391075397e-05	0.0172796415125481	0.0214539036051689
0.000658930652002954	0.00412917540185376	0.00412917540185376	0.00412917540185376	0.00412917540185376	-0.00562252697318133	-0.0051106086149515	-0.00444962819060923
-0.000678437535519771	0.00466728033603903	0.00466728033603903	0.00466728033603903	0.00466728033603903	-0.00482628033070998	0.000752260623658629	0.00269760140049502
-0.0110520186028509	-0.00535303244223906	-0.00535303244223906	-0.00535303244223906	-0.00535303244223906	-0.00048144868228639	-0.00517528881136031	-0.00532147393782201
0.0572174367920188	0.0101044240992048	0.0101044240992048	0.0101044240992048	0.0101044240992048	-5.41172210763996e-05	0.0686490762594375	0.0772570617698882
-0.00744710915680535	-0.00229209952964315	-0.00229209952964315	-0.00229209952964315	-0.00229209952964315	-0.00538225362501255	-0.00106449607895365	-0.00191085778686251
-0.00752280592831034	-0.00529062205280417	-0.00529062205280417	-0.00529062205280417	-0.00529062205280417	0.00708727882447513	7.44285886067342e-06	-0.00010667396119235
-0.00839597644331258	-0.0044096812085912	-0.0044096812085912	-0.0044096812085912	-0.0044096812085912	-0.0045739353000005	-0.00446381970887955	-0.00402178829058841
-0.0113228850208325	-0.00561689215010164	-0.00561689215010164	-0.00561689215010164	-0.00561689215010164	-0.00501919482695379	-0.00567805989438908	-0.00567611204725815
-0.0109930936950917	-0.00533895576044818	-0.00533895576044818	-0.00533895576044818	-0.00533895576044818	-0.00449497696721579	-0.0056816332474634	-0.00567778961494048
-0.00120283930392295	0.00160684074949857	0.00160684074949857	0.00160684074949857	0.00160684074949857	-0.00454489336397579	-0.00558853334280274	-0.00529395901804608
-0.00649783354806188	-0.00529027819593697	-0.00529027819593697	-0.00529027819593697	-0.00529027819593697	-0.00515002826268973	-0.00540728552264724	-0.00542828205394641
-0.0063747449663154	-0.00431316903164825	-0.00431316903164825	-0.00431316903164825	-0.00431316903164825	-0.000484041757211617	-0.0051901797133056	-0.0053960964082056
-0.00820838204963614	-0.00565203410211956	-0.00565203410211956	-0.00565203410211956	-0.00565203410211956	-0.00374467820584057	-0.00552476866924989	-0.00546926487587185
-0.00818839398364424	-0.00284716547777908	-0.00284716547777908	-0.00284716547777908	-0.00284716547777908	-0.00405824738390992	-0.00550429191797641	-0.00559587108143522
-0.0109495186125996	-0.00541501240162456	-0.00541501240162456	-0.00541501240162456	-0.00541501240162456	-0.00151208238496148	-0.00223230890977955	-0.00240004719805009
-0.00885960587324175	-0.00393219982019333	-0.00393219982019333	-0.00393219982019333	-0.00393219982019333	-0.00398368582713071	-0.0052288721593956	-0.0050031637901371
