"Group"	"BioProject"	"Library layout"	"Library selection"	"Instrument"	"Mapping rate"	"Log10 total reads"	"Log10 total bases"
0.0287868406224814	0.0344562668429836	0.0344562668429836	0.0344562668429835	0.0344562668429835	-0.00558456737929003	0.0253781008764618	0.0194042320860103
-0.0121698787030871	-0.00603745950874424	-0.00603745950874424	-0.00603745950874424	-0.00603745950874424	-0.00601868998134947	-0.00536751998086982	-0.00517610644505595
0.0787901811020921	0.0843019337421657	0.0843019337421657	0.0843019337421655	0.0843019337421655	0.0685847389404932	-0.00395710374402047	-0.00583901885685023
-0.00953969096511975	-0.00472313335965491	-0.00472313335965491	-0.00472313335965491	-0.00472313335965491	0.153731175397577	0.071050803022401	0.071989141671645
0.0229413612748344	-0.00597700915394683	-0.00597700915394683	-0.00597700915394683	-0.00597700915394683	0.0106313782601779	-0.00471180003882798	-0.00477623484149303
-0.00875610092316759	-0.00376825885963195	-0.00376825885963195	-0.00376825885963195	-0.00376825885963195	-0.00604533515590866	0.0433847162141804	0.0474730346771318
0.0563887120185547	0.000163602195054735	0.000163602195054735	0.000163602195054735	0.000163602195054735	0.147680850906574	0.0045671095676183	0.00333587251096457
-0.00874219518676589	-0.00288406984227119	-0.00288406984227119	-0.00288406984227119	-0.00288406984227119	-0.0046571563157034	-0.005225395824493	-0.00546062392190683
0.0112295931681999	0.012441294389292	0.012441294389292	0.012441294389292	0.012441294389292	0.00587079526533085	0.0148749205835375	0.0114169264869086
-0.00930858837456006	-0.00559210379628294	-0.00559210379628294	-0.00559210379628294	-0.00559210379628294	0.00103273612615584	-0.00339691598807179	-0.00350717272671153
-0.00953652514408532	-0.00380946496975998	-0.00380946496975998	-0.00380946496975998	-0.00380946496975998	-0.00596461569569318	-0.00580866945638592	-0.00590042781118871
-0.00524268432246022	-0.00238769582141418	-0.00238769582141418	-0.00238769582141418	-0.00238769582141418	-0.0014178171631356	0.00125498180225558	0.000507508231922471
0.00276201059259762	-0.00581744968276876	-0.00581744968276876	-0.00581744968276876	-0.00581744968276876	0.00259771741276305	0.000268235162703134	0.000840037363909474
0.0198040422099033	-0.00384071114055562	-0.00384071114055562	-0.00384071114055562	-0.00384071114055562	-0.00563288029646603	-0.00579002460924039	-0.00559972545970133
0.0159056715097332	-0.0031045285673954	-0.0031045285673954	-0.0031045285673954	-0.0031045285673954	0.00584761904422848	-0.00167923015114768	-0.00204719290807964
-0.0102210871786921	-0.00601041781415224	-0.00601041781415224	-0.00601041781415224	-0.00601041781415224	-0.00492387833002872	-0.00489257789181985	-0.00500008317337874
-0.0082784852178257	-0.00549136243046466	-0.00549136243046466	-0.00549136243046466	-0.00549136243046466	0.0194597683687572	-0.00344800293121317	-0.00304005249662143
0.0153453105413491	0.0180624830607772	0.0180624830607772	0.0180624830607772	0.0180624830607772	0.00278291278471565	0.00528893910891748	0.00876884860009564
0.0014650451864896	0.00279962992213745	0.00279962992213745	0.00279962992213745	0.00279962992213745	-0.00463292339627186	-0.00598036124669576	-0.00562441516538326
-0.00779841222133748	-0.00489787500742289	-0.00489787500742289	-0.00489787500742289	-0.00489787500742289	0.00323842459890045	-0.00450932203482424	-0.00421039414759483
-0.00509920155001331	-0.00162159292488417	-0.00162159292488417	-0.00162159292488417	-0.00162159292488417	-0.00604159595854603	-0.00454101674160978	-0.00381225840139998
0.0603291382649714	0.016960297821615	0.016960297821615	0.0169602978216151	0.0169602978216151	-0.00255553409458953	0.090494079684625	0.102681808105135
-0.0063040303674291	-0.00395702795761155	-0.00395702795761155	-0.00395702795761155	-0.00395702795761155	-0.00158608572897667	-0.00438170968372265	-0.00472939635190062
-0.0111781202832126	-0.00604884969499375	-0.00604884969499375	-0.00604884969499375	-0.00604884969499375	-0.000324322065348159	0.00503678855073642	0.00568755885150818
-0.0106831414739177	-0.00511918799883748	-0.00511918799883748	-0.00511918799883748	-0.00511918799883748	-0.0060492410428139	-0.00480442839058126	-0.00453144318105236
-0.0066369833936184	-0.00280988918781233	-0.00280988918781233	-0.00280988918781211	-0.00280988918781211	-0.0005122632073431	-0.00574208265794396	-0.00545951038258941
-0.0100621706594715	-0.00594147350424934	-0.00594147350424934	-0.00594147350424934	-0.00594147350424934	-0.00604302531233469	-0.00562216719833986	-0.00554306048464914
-0.00688710182504781	-0.000884501550589389	-0.000884501550589389	-0.000884501550589389	-0.000884501550589389	-0.0016200001995863	-0.00561168950693336	-0.00587721129644403
-0.000216292981536359	-0.00178017060740254	-0.00178017060740254	-0.00178017060740254	-0.00178017060740254	-0.00401485210396868	-0.00295225801019883	-0.00372692334019109
-0.0114575676701554	-0.00583699233566004	-0.00583699233566004	-0.00583699233566004	-0.00583699233566004	-0.00599544907126792	-0.00385708676616536	-0.00367157807237195
-0.0119537461773096	-0.00590573621569623	-0.00590573621569623	-0.00590573621569623	-0.00590573621569623	-0.00186743794223054	-0.00529316490292264	-0.00537770192068798
-0.0114493961523088	-0.00547789036610191	-0.00547789036610191	-0.00547789036610191	-0.00547789036610191	-0.000648912591696194	-0.000109385669005535	-0.000332459639417193
-0.00944449637940203	-0.00349027155440584	-0.00349027155440584	-0.00349027155440584	-0.00349027155440584	-0.00221272608694689	-0.00581731690524934	-0.00561091677148351
