scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	isolate	isolation_source	collection_date	geo_loc_name	biosamplemodel	sequencing_batch	time_apf	biological_replicate	breed	replicate	collected_by	dev_stage	caste	knockdown	time_point	culture_medium	timepoint	technology	colony_type	internal_name	developmental_stage	colony	genotype/variation	time	host	sample_type	gender	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Harpegnathos saltator	antenna	antenna	orco_heterozygote				antenna	yes	yes	no		PRJNA992437	SAMN36357296	SRX20951279	SRR25204315	SRA1669654	SRS18227838	SRP448124	Bulk gene expression profiles of adult antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577116: het_rep3; Harpegnathos saltator; RNA-Seq		het_rep3		GSM7577116	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	15538822	1569421022	709554869									New York University	SUB13647470	38848359.0	610380	2024-05-02 18:53:33							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25204/SRR25204315/SRR25204315.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25204315/SRR25204315	gs://sra-pub-zq-100/SRR25204315/SRR25204315.lite.1			missing	missing		2.0																						2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	orco_heterozygote				antenna	yes	yes	no		PRJNA992437	SAMN36357297	SRX20951278	SRR25204316	SRA1669654	SRS18227840	SRP448124	Bulk gene expression profiles of adult antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577115: het_rep2; Harpegnathos saltator; RNA-Seq		het_rep2		GSM7577115	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	15689637	1584653337	723451579									New York University	SUB13647470	38848359.0	610380	2024-05-02 18:53:33							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25204/SRR25204316/SRR25204316.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25204316/SRR25204316	gs://sra-pub-zq-100/SRR25204316/SRR25204316.lite.1			missing	missing		2.0																						2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	orco_heterozygote				antenna	yes	yes	no		PRJNA992437	SAMN36357298	SRX20951277	SRR25204317	SRA1669654	SRS18227839	SRP448124	Bulk gene expression profiles of adult antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577114: het_rep1; Harpegnathos saltator; RNA-Seq		het_rep1		GSM7577114	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	8888200	897708200	362264635									New York University	SUB13647470	38848359.0	610380	2024-05-02 18:53:32							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25204/SRR25204317/SRR25204317.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25204317/SRR25204317	gs://sra-pub-zq-100/SRR25204317/SRR25204317.lite.1			missing	missing		1.0																						2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	wt				antenna	yes	yes	no		PRJNA992437	SAMN36357299	SRX20951276	SRR25204318	SRA1669654	SRS18227837	SRP448124	Bulk gene expression profiles of adult antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577113: wt_rep2; Harpegnathos saltator; RNA-Seq		wt_rep2		GSM7577113	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	5625078	568132878	227597145									New York University	SUB13647470	38848359.0	610380	2024-05-02 18:53:32							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25204/SRR25204318/SRR25204318.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25204318/SRR25204318	gs://sra-pub-zq-100/SRR25204318/SRR25204318.lite.1			missing	missing		1.0																						2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	wt				antenna	yes	yes	no		PRJNA992437	SAMN36357300	SRX20951275	SRR25204319	SRA1669654	SRS18227836	SRP448124	Bulk gene expression profiles of adult antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577111: wt_rep1; Harpegnathos saltator; RNA-Seq		wt_rep1		GSM7577111	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	19825385	2002363885	904580273									New York University	SUB13647470	38848359.0	610380	2024-05-02 18:53:32							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25204/SRR25204319/SRR25204319.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25204319/SRR25204319	gs://sra-pub-zq-100/SRR25204319/SRR25204319.lite.1			missing	missing		2.0																						2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	wt				antenna	yes	yes	no		PRJNA992439	SAMN36363880	SRX20942372	SRR25195252	SRA1669453	SRS18219686	SRP448049	Bulk gene expression profiles of pupal antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577169: wt_D25_rep4; Harpegnathos saltator; RNA-Seq		wt_D25_rep4		GSM7577169	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	71517432	10799132232	3663666992									New York University	SUB13646890	38848359.0	610380	2024-05-02 18:53:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25195/SRR25195252/SRR25195252.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25195252/SRR25195252	gs://sra-pub-zq-100/SRR25195252/SRR25195252.lite.1			missing	missing		3.0	D25																					2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	wt				antenna	yes	yes	no		PRJNA992439	SAMN36363881	SRX20942371	SRR25195253	SRA1669453	SRS18219685	SRP448049	Bulk gene expression profiles of pupal antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577168: wt_D20_rep4; Harpegnathos saltator; RNA-Seq		wt_D20_rep4		GSM7577168	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	46612061	7038421211	2389587620									New York University	SUB13646890	38848359.0	610380	2024-05-02 18:53:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25195/SRR25195253/SRR25195253.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25195253/SRR25195253	gs://sra-pub-zq-100/SRR25195253/SRR25195253.lite.1			missing	missing		3.0	D20																					2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	orco_mutant				antenna	yes	yes	no		PRJNA992439	SAMN36363882	SRX20942370	SRR25195254	SRA1669453	SRS18219684	SRP448049	Bulk gene expression profiles of pupal antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577167: mut_D15_rep3; Harpegnathos saltator; RNA-Seq		mut_D15_rep3		GSM7577167	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	46512924	7023451524	2400824506									New York University	SUB13646890	38848359.0	610380	2024-05-02 18:53:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25195/SRR25195254/SRR25195254.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25195254/SRR25195254	gs://sra-pub-zq-100/SRR25195254/SRR25195254.lite.1			missing	missing		3.0	D15																					2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	orco_mutant				antenna	yes	yes	no		PRJNA992439	SAMN36363883	SRX20942369	SRR25195255	SRA1669453	SRS18219683	SRP448049	Bulk gene expression profiles of pupal antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577166: mut_D15_rep2; Harpegnathos saltator; RNA-Seq		mut_D15_rep2		GSM7577166	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	62209338	9393610038	3188201401									New York University	SUB13646890	38848359.0	610380	2024-05-02 18:53:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25195/SRR25195255/SRR25195255.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25195255/SRR25195255	gs://sra-pub-zq-100/SRR25195255/SRR25195255.lite.1			missing	missing		3.0	D15																					2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
Harpegnathos saltator	antenna	antenna	wt				antenna	yes	yes	no		PRJNA992439	SAMN36363884	SRX20942368	SRR25195256	SRA1669453	SRS18219682	SRP448049	Bulk gene expression profiles of pupal antennae in wild-type and orco mutant Harpegnathos saltator	GSM7577165: wt_D15_rep4; Harpegnathos saltator; RNA-Seq		wt_D15_rep4		GSM7577165	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina NovaSeq 6000	52423536	7915953936	2707213770									New York University	SUB13646890	38848359.0	610380	2024-05-02 18:53:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR025/25195/SRR25195256/SRR25195256.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25195256/SRR25195256	gs://sra-pub-zq-100/SRR25195256/SRR25195256.lite.1			missing	missing		3.0	D15																					2759	33208	6656	50557	7399	36668	604375	610380	Harpegnathos saltator
