scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera	brain	Brain						yes	yes	no		PRJNA562696	SAMN12647713	SRX6766424	SRR10030270	SRA951016	SRS5314351	SRP219501	Molecular evidence implicating low aggression as a sickness behavior in honey bees	RNAseq of Apis mellifera individual49: High aggresion, Brain	RNAseq of honey bees from high and low aggression colonies.			CR.S145_S32	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 4000	32426322	1651220848.0	276177614.0								Lewis-Sigler Institute for Integrative Genomics	Princeton University	SUB6223455		7460	2019-12-16 12:54:54							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/030/SRR10030270.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10030270/SRR10030270	gs://sra-pub-zq-108/SRR10030270/SRR10030270.zq.1
Apis mellifera	brain	Brain						yes	yes	no		PRJNA562696	SAMN12647710	SRX6766421	SRR10030273	SRA951016	SRS5314348	SRP219501	Molecular evidence implicating low aggression as a sickness behavior in honey bees	RNAseq of Apis mellifera individual48: High aggresion, Brain	RNAseq of honey bees from high and low aggression colonies.			CR.S142_S50	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 4000	30250505	1540528640.0	268943144.0								Lewis-Sigler Institute for Integrative Genomics	Princeton University	SUB6223455		7460	2019-12-16 12:54:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/030/SRR10030273.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10030273/SRR10030273	gs://sra-pub-zq-108/SRR10030273/SRR10030273.zq.1
Apis mellifera	brain	Brain						yes	yes	no		PRJNA562696	SAMN12647707	SRX6766418	SRR10030276	SRA951016	SRS5314345	SRP219501	Molecular evidence implicating low aggression as a sickness behavior in honey bees	RNAseq of Apis mellifera individual42: Low aggresion, Brain	RNAseq of honey bees from high and low aggression colonies.			CR.S124_S69	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 4000	30342981	1545176204.0	273452147.0								Lewis-Sigler Institute for Integrative Genomics	Princeton University	SUB6223455		7460	2019-12-16 12:54:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/030/SRR10030276.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10030276/SRR10030276	gs://sra-pub-zq-108/SRR10030276/SRR10030276.zq.1
Apis mellifera	brain	Brain						yes	yes	no		PRJNA562696	SAMN12647705	SRX6766416	SRR10030278	SRA951016	SRS5314343	SRP219501	Molecular evidence implicating low aggression as a sickness behavior in honey bees	RNAseq of Apis mellifera individual41: Low aggresion, Brain	RNAseq of honey bees from high and low aggression colonies.			CR.S121_S22	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 4000	28218754	1437012542.0	243489085.0								Lewis-Sigler Institute for Integrative Genomics	Princeton University	SUB6223455		7460	2019-12-16 12:54:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/030/SRR10030278.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10030278/SRR10030278	gs://sra-pub-zq-108/SRR10030278/SRR10030278.zq.1
Apis mellifera	brain	Brain						yes	yes	no		PRJNA562696	SAMN12647695	SRX6766414	SRR10030280	SRA951016	SRS5314341	SRP219501	Molecular evidence implicating low aggression as a sickness behavior in honey bees	RNAseq of Apis mellifera individual35: High aggresion, Brain	RNAseq of honey bees from high and low aggression colonies.			CR.103_S30	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 4000	31111929	1584485950.0	266712525.0								Lewis-Sigler Institute for Integrative Genomics	Princeton University	SUB6223455		7460	2019-12-16 12:54:53							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/030/SRR10030280.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10030280/SRR10030280	gs://sra-pub-zq-108/SRR10030280/SRR10030280.zq.1
