scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera	brain	Brain		female	missing	Chlorothalonil + Chlorphyrifos - 53,700:890 PPB		yes	yes	no		PRJNA575879	SAMN12913109	SRX6951093	SRR10231841	SRA973234	SRS5478734	SRP224376	Transcriptomic analysis of the honey bee (Apis mellifera) queen brain in response to pesticide exposure during development	Apis mellifera Queen Brain	1. CONTAMINATED QUEEN CUPS WITH PESTICIDES: Plastic queen cups were coated with 200 mg of molten bees wax that was clean or mixed with pesticides in treatment groups. The pesticides used were: C (Control-No Pesticide), A (Amitraz-~46,820 PPB), CC (Chlorothalonil + Chlorphyrifos - 53,700:890 PPB), FC (Fluvalinate + Coumophos - 20,400:93,200 PPB). 2. GRAFTED LARVAE TO RAISE QUEENS: One-day-old worker larvae were carefully transferred to the wax-coated queen cups. Developing queen cells were then placed into queenless cell builders with nurse workers that reared the future queens. 3. TRANSFERED NEW QUEENS TO NEW COLONIES: Emerged queens were individually transferred to mating nucleus colonies to allow them to mate naturally and lay fertilized eggs. 4. CAPTUREED QUEENS AND ISOLATE BRAIN: Mated queens were sacrificed and brains were dissected into Direct-zol(TM). 5. RNA EXTRACTION: RNA isolated using Direct-zol(TM) and glycogen as a coprecipitator. Quantified via HS RNA Qubit 2.0.			31_CC_03B_mRNAs	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	NextSeq 500	9475549	1421332350.0	554808191.0								Biology	Texas A&M University	SUB1747519		7460	2019-10-17 13:14:43	Brain_mRNA						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/231/SRR10231841.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10231841/SRR10231841	gs://sra-pub-zq-108/SRR10231841/SRR10231841.zq.1
Apis mellifera	brain	Brain		female	missing	Control-No Pesticide		yes	yes	no		PRJNA575879	SAMN12913107	SRX6951092	SRR10231842	SRA973234	SRS5478732	SRP224376	Transcriptomic analysis of the honey bee (Apis mellifera) queen brain in response to pesticide exposure during development	Apis mellifera Queen Brain	1. CONTAMINATED QUEEN CUPS WITH PESTICIDES: Plastic queen cups were coated with 200 mg of molten bees wax that was clean or mixed with pesticides in treatment groups. The pesticides used were: C (Control-No Pesticide), A (Amitraz-~46,820 PPB), CC (Chlorothalonil + Chlorphyrifos - 53,700:890 PPB), FC (Fluvalinate + Coumophos - 20,400:93,200 PPB). 2. GRAFTED LARVAE TO RAISE QUEENS: One-day-old worker larvae were carefully transferred to the wax-coated queen cups. Developing queen cells were then placed into queenless cell builders with nurse workers that reared the future queens. 3. TRANSFERED NEW QUEENS TO NEW COLONIES: Emerged queens were individually transferred to mating nucleus colonies to allow them to mate naturally and lay fertilized eggs. 4. CAPTUREED QUEENS AND ISOLATE BRAIN: Mated queens were sacrificed and brains were dissected into Direct-zol(TM). 5. RNA EXTRACTION: RNA isolated using Direct-zol(TM) and glycogen as a coprecipitator. Quantified via HS RNA Qubit 2.0.			04_C_01A_mRNAs	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	NextSeq 500	7761432	1164214800.0	453027483.0								Biology	Texas A&M University	SUB1747519		7460	2019-10-17 13:14:43	Brain_mRNA						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/231/SRR10231842.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10231842/SRR10231842	gs://sra-pub-zq-108/SRR10231842/SRR10231842.zq.1
Apis mellifera	brain	Brain		female	missing	Chlorothalonil + Chlorphyrifos - 53,700:890 PPB		yes	yes	no		PRJNA575879	SAMN12913109	SRX6951091	SRR10231843	SRA973234	SRS5478734	SRP224376	Transcriptomic analysis of the honey bee (Apis mellifera) queen brain in response to pesticide exposure during development	Apis mellifera Queen Brain	1. CONTAMINATED QUEEN CUPS WITH PESTICIDES: Plastic queen cups were coated with 200 mg of molten bees wax that was clean or mixed with pesticides in treatment groups. The pesticides used were: C (Control-No Pesticide), A (Amitraz-~46,820 PPB), CC (Chlorothalonil + Chlorphyrifos - 53,700:890 PPB), FC (Fluvalinate + Coumophos - 20,400:93,200 PPB). 2. GRAFTED LARVAE TO RAISE QUEENS: One-day-old worker larvae were carefully transferred to the wax-coated queen cups. Developing queen cells were then placed into queenless cell builders with nurse workers that reared the future queens. 3. TRANSFERED NEW QUEENS TO NEW COLONIES: Emerged queens were individually transferred to mating nucleus colonies to allow them to mate naturally and lay fertilized eggs. 4. CAPTUREED QUEENS AND ISOLATE BRAIN: Mated queens were sacrificed and brains were dissected into Direct-zol(TM). 5. RNA EXTRACTION: RNA isolated using Direct-zol(TM) and glycogen as a coprecipitator. Quantified via HS RNA Qubit 2.0.			30_CC_03B_mRNAs	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	NextSeq 500	8826200	1323930000.0	510280059.0								Biology	Texas A&M University	SUB1747519		7460	2019-10-17 13:14:43	Brain_mRNA						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/231/SRR10231843.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10231843/SRR10231843	gs://sra-pub-zq-108/SRR10231843/SRR10231843.zq.1
Apis mellifera	brain	Brain		female	missing	Chlorothalonil + Chlorphyrifos - 53,700:890 PPB		yes	yes	no		PRJNA575879	SAMN12913109	SRX6951090	SRR10231844	SRA973234	SRS5478734	SRP224376	Transcriptomic analysis of the honey bee (Apis mellifera) queen brain in response to pesticide exposure during development	Apis mellifera Queen Brain	1. CONTAMINATED QUEEN CUPS WITH PESTICIDES: Plastic queen cups were coated with 200 mg of molten bees wax that was clean or mixed with pesticides in treatment groups. The pesticides used were: C (Control-No Pesticide), A (Amitraz-~46,820 PPB), CC (Chlorothalonil + Chlorphyrifos - 53,700:890 PPB), FC (Fluvalinate + Coumophos - 20,400:93,200 PPB). 2. GRAFTED LARVAE TO RAISE QUEENS: One-day-old worker larvae were carefully transferred to the wax-coated queen cups. Developing queen cells were then placed into queenless cell builders with nurse workers that reared the future queens. 3. TRANSFERED NEW QUEENS TO NEW COLONIES: Emerged queens were individually transferred to mating nucleus colonies to allow them to mate naturally and lay fertilized eggs. 4. CAPTUREED QUEENS AND ISOLATE BRAIN: Mated queens were sacrificed and brains were dissected into Direct-zol(TM). 5. RNA EXTRACTION: RNA isolated using Direct-zol(TM) and glycogen as a coprecipitator. Quantified via HS RNA Qubit 2.0.			29_CC_03B_mRNAs	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	NextSeq 500	9340197	1401029550.0	541655812.0								Biology	Texas A&M University	SUB1747519		7460	2019-10-17 13:14:43	Brain_mRNA						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/231/SRR10231844.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10231844/SRR10231844	gs://sra-pub-zq-108/SRR10231844/SRR10231844.zq.1
Apis mellifera	brain	Brain		female	missing	Chlorothalonil + Chlorphyrifos - 53,700:890 PPB		yes	yes	no		PRJNA575879	SAMN12913109	SRX6951089	SRR10231845	SRA973234	SRS5478734	SRP224376	Transcriptomic analysis of the honey bee (Apis mellifera) queen brain in response to pesticide exposure during development	Apis mellifera Queen Brain	1. CONTAMINATED QUEEN CUPS WITH PESTICIDES: Plastic queen cups were coated with 200 mg of molten bees wax that was clean or mixed with pesticides in treatment groups. The pesticides used were: C (Control-No Pesticide), A (Amitraz-~46,820 PPB), CC (Chlorothalonil + Chlorphyrifos - 53,700:890 PPB), FC (Fluvalinate + Coumophos - 20,400:93,200 PPB). 2. GRAFTED LARVAE TO RAISE QUEENS: One-day-old worker larvae were carefully transferred to the wax-coated queen cups. Developing queen cells were then placed into queenless cell builders with nurse workers that reared the future queens. 3. TRANSFERED NEW QUEENS TO NEW COLONIES: Emerged queens were individually transferred to mating nucleus colonies to allow them to mate naturally and lay fertilized eggs. 4. CAPTUREED QUEENS AND ISOLATE BRAIN: Mated queens were sacrificed and brains were dissected into Direct-zol(TM). 5. RNA EXTRACTION: RNA isolated using Direct-zol(TM) and glycogen as a coprecipitator. Quantified via HS RNA Qubit 2.0.			28_CC_03A_mRNAs	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	NextSeq 500	8374137	1256120550.0	486764038.0								Biology	Texas A&M University	SUB1747519		7460	2019-10-17 13:14:43	Brain_mRNA						https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/231/SRR10231845.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10231845/SRR10231845	gs://sra-pub-zq-108/SRR10231845/SRR10231845.zq.1
