scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera	hypopharyngeal gland	hypopharyngeal gland		female				yes	yes	no		PRJNA779754	SAMN23075633	SRX13117264	SRR16925070	SRA1327958	SRS11052274	SRP345699	Apis_mellefera_hypopharyngeal_gland_RNA-seq	Am_HG_High_2	hypopharyngeal glands from worker bee of high temperature		High temperature	AMHGH002	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina HiSeq 2500	9168864	1852110528.0	934404248.0								Department of Life Science	Incheon National University	SUB10641408		7460	2021-11-19 00:00:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR016/16925/SRR16925070/SRR16925070.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16925070/SRR16925070	gs://sra-pub-zq-101/SRR16925070/SRR16925070.lite.1
Apis mellifera	hypopharyngeal gland	hypopharyngeal gland		female				yes	yes	no		PRJNA779754	SAMN23075633	SRX13117263	SRR16925071	SRA1327958	SRS11052274	SRP345699	Apis_mellefera_hypopharyngeal_gland_RNA-seq	Am_HG_High_1	hypopharyngeal glands from worker bee of high temperature		High temperature	AMHGH001	paired	RNA-Seq	TRANSCRIPTOMIC	unspecified	Illumina HiSeq 2500	7986845	1613342690.0	815282313.0								Department of Life Science	Incheon National University	SUB10641408		7460	2021-11-19 00:00:27							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16925/SRR16925071/SRR16925071.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16925071/SRR16925071	gs://sra-pub-zq-106/SRR16925071/SRR16925071.lite.1
Apis mellifera	hypopharyngeal gland	hypopharyngeal gland		not collected				yes	yes	no		PRJNA369540	SAMN06289195	SRX2532761	SRR5223581	SRA535079	SRS1953451	SRP098716	Brain and HPG total RNA-Seq Libraries from Forager and NEB Apis mellifera	Total RNA-Seq of Apis mellifera forager hpg	Ribo-depleted Total RNA-seq			forager_hpg	paired	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	79593099	19898274750.0	11175128446.0								Biology	University of Nevada, Reno	SUB2357490		7460	2019-01-01 00:14:36							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223581.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5223581/SRR5223581	gs://sra-pub-zq-103/SRR5223581/SRR5223581.zq.1
Apis mellifera	hypopharyngeal gland	hypopharyngeal gland		not collected				yes	yes	no		PRJNA369540	SAMN06289197	SRX2532759	SRR5223579	SRA535079	SRS1953449	SRP098716	Brain and HPG total RNA-Seq Libraries from Forager and NEB Apis mellifera	Total RNA-Seq of Apis mellifera NEB hpg	Ribo-depleted Total RNA-seq			NEB_hpg	paired	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	Illumina HiSeq 2500	83910961	20977740250.0	11772337020.0								Biology	University of Nevada, Reno	SUB2357490		7460	2019-01-01 00:14:36							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223579.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5223579/SRR5223579	gs://sra-pub-zq-102/SRR5223579/SRR5223579.noqual.1
Apis mellifera	hypopharyngeal gland	hypopharyngeal gland						yes	yes	no		PRJNA235974	SAMN05199468	SRX747560	SRR1407793	SRA169770	SRS1480105	SRP043101	Apis cerana Genome sequencing and assembly	Tissue transcriptome data- Apis mellifera hypopharyngeal gland				Apis mellifera hypopharyngeal gland	paired	RNA-Seq	TRANSCRIPTOMIC	PolyA	Illumina HiSeq 2000	13961032	2820128464.0	1905040618.0	101.0	0.0	202.0	0.0	Application Read	Forward	1.0	Molecular Neurobiology and Biomodeling Laboratory	Seoul National University	PRJNA235974	25553907.0	7460	2014-06-20 00:00:00							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/407/SRR1407793/SRR1407793.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1407793/SRR1407793	gs://sra-pub-zq-106/SRR1407793/SRR1407793.zq.1
