scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera	abdomen	abdomen			14 days			yes	yes	no		PRJNA445764	SAMN08798467	SRX3850813	SRR6901841	SRA674942	SRS3095286	SRP136506	Transcriptional response of honey bee to differential nutritional status and Nosema infection	RNA-seq_honeybee	Illumina protocols	B 2		B 2	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	Illumina HiSeq 4000	11259456	1022161163.0	797050727.0								CAFSSS	Kentucky State University	SUB3841514		7460	2018-03-27 01:35:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/901/SRR6901841.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6901841/SRR6901841	gs://sra-pub-zq-107/SRR6901841/SRR6901841.zq.1
Apis mellifera	abdomen	abdomen			14 days			yes	yes	no		PRJNA445764	SAMN08798468	SRX3850812	SRR6901842	SRA674942	SRS3095285	SRP136506	Transcriptional response of honey bee to differential nutritional status and Nosema infection	RNA-seq_honeybee	Illumina protocols	B 3		B 3	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	Illumina HiSeq 4000	15676301	1519510638.0	1160975853.0								CAFSSS	Kentucky State University	SUB3841514		7460	2018-03-27 01:36:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/901/SRR6901842.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6901842/SRR6901842	gs://sra-pub-zq-107/SRR6901842/SRR6901842.zq.1
Apis mellifera	abdomen	abdomen			14 days			yes	yes	no		PRJNA445764	SAMN08798469	SRX3850811	SRR6901843	SRA674942	SRS3095284	SRP136506	Transcriptional response of honey bee to differential nutritional status and Nosema infection	RNA-seq_honeybee	Illumina protocols	P 1		P 1	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	Illumina HiSeq 4000	8688053	829032065.0	634945309.0								CAFSSS	Kentucky State University	SUB3841514		7460	2018-03-27 01:35:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/901/SRR6901843.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6901843/SRR6901843	gs://sra-pub-zq-106/SRR6901843/SRR6901843.zq.1
Apis mellifera	abdomen	abdomen			14 days			yes	yes	no		PRJNA445764	SAMN08798463	SRX3850809	SRR6901845	SRA674942	SRS3095282	SRP136506	Transcriptional response of honey bee to differential nutritional status and Nosema infection	RNA-seq_honeybee	Illumina protocols	M1		M1	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	Illumina HiSeq 4000	11925180	1141098200.0	883813002.0								CAFSSS	Kentucky State University	SUB3841514		7460	2018-03-27 01:36:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/901/SRR6901845.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6901845/SRR6901845	gs://sra-pub-zq-107/SRR6901845/SRR6901845.zq.1
Apis mellifera	abdomen	abdomen			14 days			yes	yes	no		PRJNA445764	SAMN08798464	SRX3850808	SRR6901846	SRA674942	SRS3095281	SRP136506	Transcriptional response of honey bee to differential nutritional status and Nosema infection	RNA-seq_honeybee	Illumina protocols	M 2		M 2	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM PCR	Illumina HiSeq 4000	15159677	1427738349.0	1087679375.0								CAFSSS	Kentucky State University	SUB3841514		7460	2018-03-27 01:37:19							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/901/SRR6901846.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6901846/SRR6901846	gs://sra-pub-zq-105/SRR6901846/SRR6901846.zq.1
