scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera	mushroom bodies (mb) region of the brain	mushroom bodies (MB) region of the brain				Colonized with a gut homogenate (CL)	H4B6_2-MB-CL	yes	yes	no		PRJNA793823	SAMN24585782	SRX13580888	SRR17409007	SRA1351648	SRS11472668	SRP353286	The gut microbiota affects the social network of honeybees	GSM5768906: H4B6_2-MB-CL; Apis mellifera; RNA-Seq		H4B6_2-MB-CL		GSM5768906	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	12110270	1828650770.0	866996615.0									University of Lausanne	SUB10897564	39072646.0	7460	2022-01-05 03:12:02							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR017/17409/SRR17409007/SRR17409007.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17409007/SRR17409007	gs://sra-pub-zq-101/SRR17409007/SRR17409007.lite.1
Apis mellifera	mushroom bodies (mb) region of the brain	mushroom bodies (MB) region of the brain				Colonized with two strains of Bifidobacterium asteroides (CL_Bifi)	H4B5_2-MB-CL_Bifi	yes	yes	no		PRJNA793823	SAMN24585785	SRX13580885	SRR17409013	SRA1351648	SRS11472665	SRP353286	The gut microbiota affects the social network of honeybees	GSM5768903: H4B5_2-MB-CL_Bifi; Apis mellifera; RNA-Seq		H4B5_2-MB-CL_Bifi		GSM5768903	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	12477530	1884107030.0	903287708.0									University of Lausanne	SUB10897564	39072646.0	7460	2022-01-05 03:12:02							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR017/17409/SRR17409013/SRR17409013.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17409013/SRR17409013	gs://sra-pub-zq-101/SRR17409013/SRR17409013.lite.1
Apis mellifera	mushroom bodies (mb) region of the brain	mushroom bodies (MB) region of the brain				Microbiota-depleted (MD)	H4B4_7-MB-MD	yes	yes	no		PRJNA793823	SAMN24585788	SRX13580882	SRR17409019	SRA1351648	SRS11472662	SRP353286	The gut microbiota affects the social network of honeybees	GSM5768900: H4B4_7-MB-MD; Apis mellifera; RNA-Seq		H4B4_7-MB-MD		GSM5768900	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	10724053	1619332003.0	758561369.0									University of Lausanne	SUB10897564	39072646.0	7460	2022-01-05 03:12:02							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17409/SRR17409019/SRR17409019.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17409019/SRR17409019	gs://sra-pub-zq-106/SRR17409019/SRR17409019.lite.1
Apis mellifera	mushroom bodies (mb) region of the brain	mushroom bodies (MB) region of the brain				Colonized with a community of 13 different gut microbiota strains (CL_13)	H4B3_4-MB-CL_13	yes	yes	no		PRJNA793823	SAMN24585791	SRX13580879	SRR17409025	SRA1351648	SRS11472659	SRP353286	The gut microbiota affects the social network of honeybees	GSM5768897: H4B3_4-MB-CL_13; Apis mellifera; RNA-Seq		H4B3_4-MB-CL_13		GSM5768897	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	11553227	1744537277.0	817535578.0									University of Lausanne	SUB10897564	39072646.0	7460	2022-01-05 03:12:02							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR017/17409/SRR17409025/SRR17409025.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17409025/SRR17409025	gs://sra-pub-zq-104/SRR17409025/SRR17409025.lite.1
Apis mellifera	mushroom bodies (mb) region of the brain	mushroom bodies (MB) region of the brain				Microbiota-depleted (MD)	H3B6_2-MB-MD	yes	yes	no		PRJNA793823	SAMN24585794	SRX13580876	SRR17409031	SRA1351648	SRS11472656	SRP353286	The gut microbiota affects the social network of honeybees	GSM5768894: H3B6_2-MB-MD; Apis mellifera; RNA-Seq		H3B6_2-MB-MD		GSM5768894	single	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 4000	9284090	1401897590.0	657269295.0									University of Lausanne	SUB10897564	39072646.0	7460	2022-01-05 03:12:02							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17409/SRR17409031/SRR17409031.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17409031/SRR17409031	gs://sra-pub-zq-106/SRR17409031/SRR17409031.lite.1
