scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Apis mellifera	fat body	fat body		female	nurse			yes	yes	no		PRJNA442330	SAMN08767436	SRX3832837	SRR6880265	SRA671072	SRS3080536	SRP136261	Apis mellifera pollen type and Nosema infection transcriptome	RNA-seq of Apis mellifera: nurse worker fat body	Total RNA was extracted using an RNeasy column (Qiagen). Total RNA integrity was confirmed with an Agilent 2100 Bioanalyzer. RNA-seq libraries were prepared for the six samples using Illumina s TruSeq RNA Sample Preparation Kit as described in Corby-Harris et al. (2014). The resulting fragments of RNA were sequenced using an Illumina HiSeq 2500 and yielded 100 base pair paired-end sequences. The RNA was checked, the libraries were constructed, and the sequencing was performed at the University of Arizona UAGC (http://uagc.arl.arizona.edu/).	fall bees pollen=fall infection=control cage 3		FC5F	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 2500	12947684	2578590731.0	1290117993.0								Carl Hayden Bee Research Center	USDA-ARS	SUB3817038		7460	2019-04-01 00:28:34							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/880/SRR6880265.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6880265/SRR6880265	gs://sra-pub-zq-107/SRR6880265/SRR6880265.zq.1
Apis mellifera	fat body	fat body		female	nurse			yes	yes	no		PRJNA442330	SAMN08767457	SRX3832836	SRR6880266	SRA671072	SRS3080535	SRP136261	Apis mellifera pollen type and Nosema infection transcriptome	RNA-seq of Apis mellifera: nurse worker fat body	Total RNA was extracted using an RNeasy column (Qiagen). Total RNA integrity was confirmed with an Agilent 2100 Bioanalyzer. RNA-seq libraries were prepared for the six samples using Illumina s TruSeq RNA Sample Preparation Kit as described in Corby-Harris et al. (2014). The resulting fragments of RNA were sequenced using an Illumina HiSeq 2500 and yielded 100 base pair paired-end sequences. The RNA was checked, the libraries were constructed, and the sequencing was performed at the University of Arizona UAGC (http://uagc.arl.arizona.edu/).	fall bees pollen=spring infection=Nosema cage 4		SN4F	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 2500	12709862	2525307598.0	1241524459.0								Carl Hayden Bee Research Center	USDA-ARS	SUB3817038		7460	2019-04-01 00:28:34							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/880/SRR6880266.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6880266/SRR6880266	gs://sra-pub-zq-106/SRR6880266/SRR6880266.zq.1
Apis mellifera	fat body	fat body		female	nurse			yes	yes	no		PRJNA442330	SAMN08767456	SRX3832835	SRR6880267	SRA671072	SRS3080534	SRP136261	Apis mellifera pollen type and Nosema infection transcriptome	RNA-seq of Apis mellifera: nurse worker fat body	Total RNA was extracted using an RNeasy column (Qiagen). Total RNA integrity was confirmed with an Agilent 2100 Bioanalyzer. RNA-seq libraries were prepared for the six samples using Illumina s TruSeq RNA Sample Preparation Kit as described in Corby-Harris et al. (2014). The resulting fragments of RNA were sequenced using an Illumina HiSeq 2500 and yielded 100 base pair paired-end sequences. The RNA was checked, the libraries were constructed, and the sequencing was performed at the University of Arizona UAGC (http://uagc.arl.arizona.edu/).	fall bees pollen=spring infection=Nosema cage 3		SN3F	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 2500	12545341	2491806437.0	1216268979.0								Carl Hayden Bee Research Center	USDA-ARS	SUB3817038		7460	2019-04-01 00:28:34							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/880/SRR6880267.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6880267/SRR6880267	gs://sra-pub-zq-105/SRR6880267/SRR6880267.zq.1
Apis mellifera	fat body	fat body		female	nurse			yes	yes	no		PRJNA442330	SAMN08767455	SRX3832834	SRR6880268	SRA671072	SRS3080533	SRP136261	Apis mellifera pollen type and Nosema infection transcriptome	RNA-seq of Apis mellifera: nurse worker fat body	Total RNA was extracted using an RNeasy column (Qiagen). Total RNA integrity was confirmed with an Agilent 2100 Bioanalyzer. RNA-seq libraries were prepared for the six samples using Illumina s TruSeq RNA Sample Preparation Kit as described in Corby-Harris et al. (2014). The resulting fragments of RNA were sequenced using an Illumina HiSeq 2500 and yielded 100 base pair paired-end sequences. The RNA was checked, the libraries were constructed, and the sequencing was performed at the University of Arizona UAGC (http://uagc.arl.arizona.edu/).	fall bees pollen=spring infection=Nosema cage 2		SN2F	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 2500	10791076	2136617552.0	1058027506.0								Carl Hayden Bee Research Center	USDA-ARS	SUB3817038		7460	2019-04-01 00:28:34							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/880/SRR6880268.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6880268/SRR6880268	gs://sra-pub-zq-107/SRR6880268/SRR6880268.zq.1
Apis mellifera	fat body	fat body		female	nurse			yes	yes	no		PRJNA442330	SAMN08767454	SRX3832833	SRR6880269	SRA671072	SRS3080532	SRP136261	Apis mellifera pollen type and Nosema infection transcriptome	RNA-seq of Apis mellifera: nurse worker fat body	Total RNA was extracted using an RNeasy column (Qiagen). Total RNA integrity was confirmed with an Agilent 2100 Bioanalyzer. RNA-seq libraries were prepared for the six samples using Illumina s TruSeq RNA Sample Preparation Kit as described in Corby-Harris et al. (2014). The resulting fragments of RNA were sequenced using an Illumina HiSeq 2500 and yielded 100 base pair paired-end sequences. The RNA was checked, the libraries were constructed, and the sequencing was performed at the University of Arizona UAGC (http://uagc.arl.arizona.edu/).	fall bees pollen=spring infection=Nosema cage 1		SN1F	paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina HiSeq 2500	13768436	2704868877.0	1377551342.0								Carl Hayden Bee Research Center	USDA-ARS	SUB3817038		7460	2019-04-01 00:28:34							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/880/SRR6880269.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR6880269/SRR6880269	gs://sra-pub-zq-105/SRR6880269/SRR6880269.zq.1
