scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link
Camponotus floridanus	brain	brain		female				yes	yes	no		PRJNA704762	SAMN18055021	SRX10182967	SRR13799205	SRA1200822	SRS8331822	SRP308439	Time-course RNASeq of Camponotus floridanus forager and nurse brains	RNA-SeqofCamponotusfloridanusbrains: nursesatZT18	Three foragers and three nurses from a Camponotus floridanus colony were sampled and flash frozen in liquid nitrogen, every 2h over a 24h period; for each timepoint, brains were dissected from the frozen samples and pooled for RNA extraction and further library prep;	Time-course RNASeq of Camponotus floridanus forager and nurse brains		Cflo_Nurses_ZT18	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 1500	25249379	1262468950	601832998								Department of Biology	University of Central Florida	SUB9143720		104421	2021-11-30 11:57:48							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13799/SRR13799205/SRR13799205.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13799205/SRR13799205	gs://sra-pub-zq-103/SRR13799205/SRR13799205.lite.1
Camponotus floridanus	brain	brain		female				yes	yes	no		PRJNA704762	SAMN18055002	SRX10182966	SRR13799206	SRA1200822	SRS8331821	SRP308439	Time-course RNASeq of Camponotus floridanus forager and nurse brains	RNA-SeqofCamponotusfloridanusbrains: foragersatZT6	Three foragers and three nurses from a Camponotus floridanus colony were sampled and flash frozen in liquid nitrogen, every 2h over a 24h period; for each timepoint, brains were dissected from the frozen samples and pooled for RNA extraction and further library prep;	Time-course RNASeq of Camponotus floridanus forager and nurse brains		Cflo_Foragers_ZT6	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 1500	22028931	1101446550	525401117								Department of Biology	University of Central Florida	SUB9143720		104421	2021-11-30 11:57:48							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13799/SRR13799206/SRR13799206.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13799206/SRR13799206	gs://sra-pub-zq-105/SRR13799206/SRR13799206.lite.1
Camponotus floridanus	brain	brain		female				yes	yes	no		PRJNA704762	SAMN18055020	SRX10182965	SRR13799207	SRA1200822	SRS8331820	SRP308439	Time-course RNASeq of Camponotus floridanus forager and nurse brains	RNA-SeqofCamponotusfloridanusbrains: nursesatZT16	Three foragers and three nurses from a Camponotus floridanus colony were sampled and flash frozen in liquid nitrogen, every 2h over a 24h period; for each timepoint, brains were dissected from the frozen samples and pooled for RNA extraction and further library prep;	Time-course RNASeq of Camponotus floridanus forager and nurse brains		Cflo_Nurses_ZT16	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 1500	20788143	1039407150	504668276								Department of Biology	University of Central Florida	SUB9143720		104421	2021-11-30 11:57:48							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13799/SRR13799207/SRR13799207.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13799207/SRR13799207	gs://sra-pub-zq-106/SRR13799207/SRR13799207.lite.1
Camponotus floridanus	brain	brain		female				yes	yes	no		PRJNA704762	SAMN18055019	SRX10182964	SRR13799208	SRA1200822	SRS8331819	SRP308439	Time-course RNASeq of Camponotus floridanus forager and nurse brains	RNA-SeqofCamponotusfloridanusbrains: nursesatZT14	Three foragers and three nurses from a Camponotus floridanus colony were sampled and flash frozen in liquid nitrogen, every 2h over a 24h period; for each timepoint, brains were dissected from the frozen samples and pooled for RNA extraction and further library prep;	Time-course RNASeq of Camponotus floridanus forager and nurse brains		Cflo_Nurses_ZT14	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 1500	23536017	1176800850	571717953								Department of Biology	University of Central Florida	SUB9143720		104421	2021-11-30 11:57:48							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13799/SRR13799208/SRR13799208.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13799208/SRR13799208	gs://sra-pub-zq-103/SRR13799208/SRR13799208.lite.1
Camponotus floridanus	brain	brain		female				yes	yes	no		PRJNA704762	SAMN18055018	SRX10182963	SRR13799209	SRA1200822	SRS8331818	SRP308439	Time-course RNASeq of Camponotus floridanus forager and nurse brains	RNA-SeqofCamponotusfloridanusbrains: nursesatZT12	Three foragers and three nurses from a Camponotus floridanus colony were sampled and flash frozen in liquid nitrogen, every 2h over a 24h period; for each timepoint, brains were dissected from the frozen samples and pooled for RNA extraction and further library prep;	Time-course RNASeq of Camponotus floridanus forager and nurse brains		Cflo_Nurses_ZT12	single	RNA-Seq	TRANSCRIPTOMIC	Oligo-dT	Illumina HiSeq 1500	20434014	1021700700	484397446								Department of Biology	University of Central Florida	SUB9143720		104421	2021-11-30 11:57:48							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13799/SRR13799209/SRR13799209.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13799209/SRR13799209	gs://sra-pub-zq-103/SRR13799209/SRR13799209.lite.1
