scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	lab	center	submitter_id	pubmed_id	taxid	published_date	biomaterial_provider	cell	location	antibody	batch	misc	NCBI_Link	AWS_Link	GCP_Link	ena_first_public	insdc_center_name	insdc_status	collection_date	geographic_location	lat_lon	sample_name	tissue_type	isolate	isolation_source	geo_loc_name	biosamplemodel	collected_by	host	behavior	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Temnothorax americanus										no		PRJEB76961	SAMEA115778644	ERX12701689	ERR13330724	ERA30649849	ERS20385242	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_PA_4_B_H	unspecified	SM_PA_4_B_H	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	11221832	3366549600	1160013888								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-03:22:08:937		1964332	2024-08-02 00:25:58							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330724/ERR13330724.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330724/ERR13330724	gs://sra-pub-zq-100/ERR13330724/ERR13330724.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	41.124 N 78.523 W	SM_PA_4_B_H	head+antennae								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778576	ERX12701707	ERR13330742	ERA30649867	ERS20385174	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_NYH_10_H	unspecified	SM_NYH_10_H	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	16677574	5003272200	1655129559								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-03:46:25:915		1964332	2024-08-02 01:28:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330742/ERR13330742.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330742/ERR13330742	gs://sra-pub-zq-100/ERR13330742/ERR13330742.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	42.525 N 74.160 W	SM_NYH_10_H	head+antennae								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778303	ERX12701765	ERR13330800	ERA30649927	ERS20384901	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_NYH_7_F	unspecified	SM_NYH_7_F	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	23402663	7020798900	2315617259								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-06:34:39:944		1964332	2024-08-02 01:10:40							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330800/ERR13330800.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330800/ERR13330800	gs://sra-pub-zq-100/ERR13330800/ERR13330800.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	42.525 N 74.160 W	SM_NYH_7_F	fatbody								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778596	ERX12701774	ERR13330809	ERA30649936	ERS20385194	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_NYS_10_H	unspecified	SM_NYS_10_H	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	18563132	5568939600	1816992978								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-06:56:25:761		1964332	2024-08-02 01:28:38							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330809/ERR13330809.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330809/ERR13330809	gs://sra-pub-zq-100/ERR13330809/ERR13330809.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	41.455 N 73.868 W	SM_NYS_10_H	head+antennae								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778299	ERX12701739	ERR13330774	ERA30649899	ERS20384897	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_NYH_22_F	unspecified	SM_NYH_22_F	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	12769320	3830796000	1291880657								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-05:16:23:176		1964332	2024-08-02 01:21:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330774/ERR13330774.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330774/ERR13330774	gs://sra-pub-zq-100/ERR13330774/ERR13330774.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	42.525 N 74.160 W	SM_NYH_22_F	fatbody								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778322	ERX12703210	ERR13332193	ERA30652343	ERS20384920	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_OH_10_F	unspecified	SM_OH_10_F	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	18335789	5500736700	1792606450								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-16:55:46:980		1964332	2024-08-02 01:21:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13332/ERR13332193/ERR13332193.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13332193/ERR13332193	gs://sra-pub-zq-100/ERR13332193/ERR13332193.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	41.753 N 80.967 W	SM_OH_10_F	fatbody								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778607	ERX12701804	ERR13330839	ERA30649966	ERS20385205	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_NYS_6_H	unspecified	SM_NYS_6_H	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	17028725	5108617500	1670909974								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-07:50:37:672		1964332	2024-08-02 01:21:12							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330839/ERR13330839.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330839/ERR13330839	gs://sra-pub-zq-100/ERR13330839/ERR13330839.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	41.455 N 73.868 W	SM_NYS_6_H	head+antennae								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778629	ERX12701635	ERR13330670	ERA30649794	ERS20385227	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_PA_10_H	unspecified	SM_PA_10_H	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	17767421	5330226300	1788362411								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-02:27:12:344		1964332	2024-08-02 01:28:37							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330670/ERR13330670.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330670/ERR13330670	gs://sra-pub-zq-100/ERR13330670/ERR13330670.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	41.124 N 78.523 W	SM_PA_10_H	head+antennae								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778352	ERX12701671	ERR13330706	ERA30649831	ERS20384950	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_PA_21_F	unspecified	SM_PA_21_F	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	10155037	3046511100	1056958874								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-03:04:21:131		1964332	2024-08-02 01:21:11							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13330/ERR13330706/ERR13330706.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13330706/ERR13330706	gs://sra-pub-zq-100/ERR13330706/ERR13330706.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	41.124 N 78.523 W	SM_PA_21_F	fatbody								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
Temnothorax americanus										no		PRJEB76961	SAMEA115778264	ERX12703148	ERR13332131	ERA30652333	ERS20384862	ERP161448	The Genomic Basis of Social Parasitism: A Geographical Mosaic of Behavioural, Chemical, and Environmental Adaptations in a Widespread Host-Parasite System	Raw reads: SM_MA_24_F	unspecified	SM_MA_24_F	RNASeq		paired	RNA-Seq	TRANSCRIPTOMIC	RANDOM	Illumina NovaSeq 6000	18419753	5525925900	1932880742								European Nucleotide Archive	Senckenber Biodiversity and Climate Research Centre Frankfurt	SUBMISSION-27-06-2024-15:35:44:108		1964332	2024-08-02 01:10:40							https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/ERR013/13332/ERR13332131/ERR13332131.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR13332131/ERR13332131	gs://sra-pub-zq-100/ERR13332131/ERR13332131.lite.1	2024-08-01	Senckenber Biodiversity and Climate Research Centre Frankfurt	public	2021-07	USA	42.407 N 71.204 W	SM_MA_24_F	fatbody								2759	33208	6656	50557	7399	36668	300110	1964332	Temnothorax americanus
