scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	tissue_normalized	tissue_original
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693650	ERX3382814	ERR3358307	ERA1986513	ERS3497612	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leafcutter ants	RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leaf cutter ants. Pseudonocardia symbionts were grown on agar plates.	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	9293679	697025925	277646507								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:10:57:605-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/358/ERR3358307.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3358307/ERR3358307	gs://sra-pub-zq-105/ERR3358307/ERR3358307.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693655	ERX3382819	ERR3358312	ERA1986513	ERS3497617	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leafcutter ants	RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leaf cutter ants. Pseudonocardia symbionts were grown on agar plates.	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	9468588	710144100	285643525								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:10:57:605-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/358/ERR3358312.sralite.1	s3://sra-pub-zq-7/ERR3358312/ERR3358312.sralite.1	gs://sra-pub-zq-105/ERR3358312/ERR3358312.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693623	ERX3382812	ERR3358305	ERA1986485	ERS3497585	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		Dual RNA sequencing of the leafcutter ant cuticle	Dual RNA sequencing reads from the laterocervical plates of A. echinatior leaf cutter ants to investigate gene expression by the ant host and the Pseudonocardia (bacterial) symbiont. Colonies were associated with Pseudonocardia echinatior (088) or Pseudonocardia octospinosus (1083).	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	10031397	752354775	296019713								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:03:20:070-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/358/ERR3358305.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3358305/ERR3358305	gs://sra-pub-zq-105/ERR3358305/ERR3358305.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693654	ERX3382818	ERR3358311	ERA1986513	ERS3497616	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leafcutter ants	RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leaf cutter ants. Pseudonocardia symbionts were grown on agar plates.	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	10330652	774798900	311471342								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:10:57:605-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/358/ERR3358311.sralite.1	s3://sra-pub-zq-9/ERR3358311/ERR3358311.sralite.1	gs://sra-pub-zq-105/ERR3358311/ERR3358311.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693651	ERX3382815	ERR3358308	ERA1986513	ERS3497613	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leafcutter ants	RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leaf cutter ants. Pseudonocardia symbionts were grown on agar plates.	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	10340244	775518300	310911303								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:10:57:605-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/358/ERR3358308.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3358308/ERR3358308	gs://sra-pub-zq-105/ERR3358308/ERR3358308.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693653	ERX3382817	ERR3358310	ERA1986513	ERS3497615	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leafcutter ants	RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leaf cutter ants. Pseudonocardia symbionts were grown on agar plates.	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	10389501	779212575	316161994								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:10:57:605-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/358/ERR3358310.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3358310/ERR3358310	gs://sra-pub-zq-105/ERR3358310/ERR3358310.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693624	ERX3382813	ERR3358306	ERA1986485	ERS3497586	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		Dual RNA sequencing of the leafcutter ant cuticle	Dual RNA sequencing reads from the laterocervical plates of A. echinatior leaf cutter ants to investigate gene expression by the ant host and the Pseudonocardia (bacterial) symbiont. Colonies were associated with Pseudonocardia echinatior (088) or Pseudonocardia octospinosus (1083).	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	11002381	825178575	323071875								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:03:20:070-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/358/ERR3358306.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3358306/ERR3358306	gs://sra-pub-zq-105/ERR3358306/ERR3358306.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB32903	SAMEA5693652	ERX3382816	ERR3358309	ERA1986513	ERS3497614	ERP115638	Dual RNA sequencing of A. echinatior leafcutter ant laterocervical plates to establish secondary metabolite production by Pseudonocardia symbionts in vivo.	NextSeq 500 sequencing		RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leafcutter ants	RNA sequencing of Pseudonocardia symbionts isolated from A. echinatior leaf cutter ants. Pseudonocardia symbionts were grown on agar plates.	unspecified	single	RNA-Seq	METATRANSCRIPTOMIC	DNase	NextSeq 500	11066755	830006625	330078902								UNIVERSITY OF EAST ANGLIA, UK	ena-SUBMISSION-UNIVERSITY OF EAST ANGLIA, UK-05-06-2019-14:10:57:605-1		103372	2019-06-10 15:53:24	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/ERR003/358/ERR3358309.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR3358309/ERR3358309	gs://sra-pub-zq-105/ERR3358309/ERR3358309.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB3394	SAMEA1695859	ERX177596	ERR202911	ERA176748	ERS195832	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Escovopsis on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6453199	1161575820	716191325	200.0			0.0	Application Read	Forward	1.0	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202911/ERR202911.sralite.1	s3://sra-pub-zq-2/ERR202911/ERR202911.sralite.1	gs://sra-pub-zq-106/ERR202911/ERR202911.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB3394	SAMEA1695848	ERX177594	ERR202909	ERA176748	ERS195830	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Metarhizium on fungus		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6466057	1163890260	720325939	200.0			0.0	Application Read	Forward	1.0	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:12:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202909/ERR202909.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202909/ERR202909	gs://sra-pub-zq-106/ERR202909/ERR202909.zq.1	whole_body	whole_body
Acromyrmex echinatior		whole_body						yes	no	no_tissue_label		PRJEB3394	SAMEA1695860	ERX177597	ERR202912	ERA176748	ERS195833	ERP002002	Differential gene expression in leaf-cutting ants after challenges with the pathogenic fungi Metarhizium and Escovopsis			Ae226B Control		unspecified	paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	6469037	1164426660	721279426	200.0			0.0	Application Read	Forward	1.0	KU	ena-SUBMISSION-KU-29-11-2012-19:38:25:063-1		103372	2013-01-28 22:11:11	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/202/ERR202912/ERR202912.sralite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR202912/ERR202912	gs://sra-pub-zq-106/ERR202912/ERR202912.zq.1	whole_body	whole_body
