GeneID	larvae	whole.adult.body	unknown	brain	royal.jelly	abdomen	antennae	pupae	fat.body	hypopharyngeal.glands	head	midgut	X2nd.thoracic.ganglia	malpighian.tubules	mandibular.glands	nasonov.gland	embryo	oocyte	ovaries	eviscerated.abdomen.and.fat.body	eviscerated.abdomen.with.attached.fat.bodies.and.inactive.ovaries	eviscerated.abdomen.with.attached.fat.bodies.and.ovaries	head.chest	mushroom.body	gut	pylori	thorax	thorax.and.abdomen	whole.adult.body.with.viral.enrichment	germline	queen.thorax	hemolymph	abdominal.integument	rectum	head.and.thorax	egg	semen	spermetheca	flight.muscle.and.thoracic.exoskeleton	venom.gland	testis	male.gonad	antennal.lobes	wing.disc	wings.and.thoracic.dorsum	hindgut	antennal.lobes.and.subaesophageal.ganglion..al..region.of.the.brain	optic.lobes	ventriculus	thoracic.muscle
CM009931.2	0.000604845963372207	0.000183650803769858	0.00132362955993052	0.00107285747287604	0.001016047917377	0.000627512439356922	0.00100967689325939	0.000828095109028332	0.00089858746550039	0.000535622419397978	0.0022389548830498	0.00274054979771841	0.00189561215729206	0.00705611856635565	0.00106993450146574	0.00148239162876455	0.000260585906723479	0.00352993419575618	0.00249733678161275	0.000837356578021966	0.000270958769023024	0.000679801189674208	0.000884610880419235	0.00144705301745053	0.00190631063657329	0.00186508963577971	0.000443633733155589	0.00118783490120922	0.000763441982117403	0.00144370534849084	0.00164006939587417	0.00159713980598697	0.00153539615380181	0.000782292117887612	0.000418643184867949	0.00108688512729968	0.000188247814540708	0.000158247275067565	0.00118744758991782	0.000614276434230532	0.00377822400368553	0.00417177896650906	0.00116499226294871	0.00035559160230717	0.00112511526235916	0.000764280048094178	0.000659368756550997	0.000533161660880439	0.01618263864745	0.000961709642850049
CM009932.2	0.000512560175817808	0.000159534449132769	0.00177371397844944	0.00145472982272799	0.000873971679139182	0.000532338877030618	0.00131318365099992	0.000845008032679227	0.000990344783677304	0.000294574805081362	0.0040775191481038	0.00180369083141942	0.00306576692670088	0.00611290152847715	0.00137451849826889	0.00153962321012983	0.000231809416295109	0.0021515461355732	0.00253196984443368	0.000965381840265225	0.00035196298752965	0.000846797738356304	0.00100456378963706	0.00196534071059446	0.00122592062968627	0.00140976338612055	0.000390004564183905	0.000903987503717449	0.000619024053937868	0.00137954344414994	0.00205650415208555	0.00134067284397759	0.00194286519853267	0.00096205077685647	0.000442469888455081	0.00104110756760879	0.000188051804574946	0.000141586822081229	0.000924053612648472	0.000883586056583631	0.0032023092084966	0.00504681747484885	0.00181237667705614	0.000311777456748051	0.00154133755829546	0.000865405854160039	0.00111593843373906	0.000719622747686724	0.00891945008030182	0.000787040774189501
QIUM02000220.1	6.01997593841028e-07	6.06580369151374e-08	0	3.34989184046343e-08	0	0	2.40512915335095e-06	1.11321373403301e-05	0	0	0	1.15113687471561e-06	2.19405070309345e-17	0	0	0	4.76658241788918e-07	0	0.00895125173603277	0	0	0	0	1.75916426157475e-07	0	0	1.16834584408055e-06	9.70176389128836e-07	0	8.37449391282671e-05	0	0	0	0	0	0	8.73483415081415e-05	8.41716110515119e-05	0	0	0	0	0	0	0	3.2635832725513e-05	0	3.35240312225543e-07	0	0
CM009933.2	0.000679791330398069	0.000134486617716663	0.00158009747933733	0.00123209079011739	0.000631708283901993	0.000410459184679945	0.00114618541853258	0.000751038000748064	0.000732098033973473	0.000386815685168204	0.00248088992344258	0.0011986285046227	0.00226315148551052	0.00669692062828281	0.00102773791160529	0.00116644056525468	0.000151231884917574	0.00223919489919124	0.00235566651800521	0.000749341516182289	0.000225670446419311	0.000606061686201887	0.000724083871064475	0.00164399963508729	0.000927034924646081	0.00154596630642809	0.000593159308752454	0.000691769653352088	0.000473769077788161	0.00139209944661159	0.00145897604996045	0.00159984011806523	0.0012568042911169	0.000714862520540526	0.00024737733699875	0.00131226222937427	0.000253812758853742	0.000211343950621227	0.000608847430569807	0.000619849229363086	0.00330900426538383	0.00286948126254052	0.00136169650939387	0.000355290212563807	0.00127674246234535	0.000686939697760366	0.000771437708285836	0.000594862744387022	0.00447994676218174	0.000990278978838335
CM009934.2	0.000893826104566281	0.000251835707676791	0.00306251572600855	0.00132952012676154	0.00144154885259711	0.000859633425141739	0.00138190023958585	0.000964450477295696	0.00196827439591403	0.000373663862378231	0.00259274160269095	0.00192123926288406	0.00204687577858678	0.00729355429330688	0.00135619534595769	0.00231312566104013	0.000261251957565342	0.00496055315114307	0.00356620398332962	0.00257699983922794	0.000848143973249164	0.00154428129968458	0.00183309690594983	0.001719509284026	0.00164059264604521	0.00202909850927088	0.000677936933142369	0.00256665534411801	0.00119073450797414	0.00137558910054061	0.00547007554580028	0.00171251390030178	0.00389765522597785	0.00110818890485055	0.00158744683556282	0.00109497517526747	0.000168041574768424	0.000193443101733171	0.00094957183327496	0.01158396346538	0.00387176412512768	0.00429532709311896	0.00131151399672035	0.000531293958778749	0.00434235935107849	0.000722297592038802	0.000750875347631084	0.000538849162130816	0.00921398829903002	0.000773388503832887
CM009935.2	0.000825927758527443	0.00019480730602133	0.00188592396696647	0.00133891152881657	0.0010744049130308	0.000550973277061028	0.00184998639195269	0.0010087986874448	0.00128175182749581	0.00165314664902012	0.00391867717773366	0.0017752436998113	0.0024019447346501	0.00790105715204012	0.00241605109868083	0.00184690861591692	0.000282616290979091	0.00456163885502959	0.00858785315428749	0.00165614739698214	0.000393783629966867	0.00101308753675259	0.0019060795956783	0.00195808862893135	0.00131948441575142	0.0070059016873055	0.00048011759291097	0.00381045676882331	0.000802885653626393	0.00402410504053351	0.00701935485714151	0.00218665115440642	0.00259980217217531	0.000966776835696197	0.000753029182755684	0.00207313483726264	0.000399281209652436	0.00023055683614416	0.00108213111396652	0.000900264455100674	0.00473423980370952	0.00839896206248068	0.00157568249001771	0.000614406516324688	0.00167150900220938	0.0021878823256239	0.00098068771767337	0.000812574582037389	0.00757050831260089	0.00112771749701729
QIUM02000120.1	2.59002423063494e-05	6.2135420049195e-06	0	2.08296719940367e-08	0	1.26994874636021e-05	1.91661346495063e-06	0	0	0	1.86512227359082e-06	0.000228036534322815	1.1639507045251e-18	1.23913061354705e-05	0	0	2.31407808616728e-07	0	0.000108869369928176	2.47325297146159e-07	0	4.11481699041396e-07	0	1.11711865344182e-08	2.26301984099741e-06	6.16879620139727e-08	9.14360106990437e-08	7.7280060451327e-07	0	1.31407326498783e-05	2.4745868667015e-06	0	1.03128994372033e-07	2.06701531783917e-07	0	3.70260472997342e-06	4.08060636764731e-05	0.000147283268756201	0	0	9.31738302987536e-07	0	0	0	0	1.10035217893272e-05	0	5.1514057682319e-08	1.21863475925278e-05	0
CM009936.2	0.0005270307374207	0.000120009022046177	0.000993092140933895	0.000743701694534124	0.00080311416563965	0.000332875935005603	0.000644202018283526	0.000549142188185451	0.000813250687204169	0.00486210777147939	0.00565911129412929	0.00145675055247598	0.00125839606714332	0.00691964046578662	0.00162092174065653	0.00107416832014386	9.18477578630034e-05	0.00923507210417908	0.00206453894218794	0.000586996564771136	0.000171945374702877	0.000471373773568315	0.000810218373559623	0.000940695739484161	0.00108685508465753	0.00129496821411141	0.000313384340221625	0.000765990494702331	0.000465517435214694	0.00108670863330763	0.00123550599232346	0.00107716497192772	0.00131514928096529	0.000518089746254099	0.00032736969015681	0.000780921726892902	0.000125919898753452	0.000124882273193407	0.000574917754945017	0.000448282886762006	0.00254724965214463	0.00367566171248348	0.00079783229581672	0.000393472656516509	0.00104558365595421	0.000563898173990547	0.000408596014235884	0.000320967919275813	0.00780611513820247	0.000948795409077563
QIUM02000122.1	0.000357151908968835	1.09835560178809e-06	0	4.20337461001107e-08	0	0	6.53335113949553e-07	0	0	0	6.62324478081038e-07	3.71646646689609e-08	2.71706325507478e-19	3.1267997776809e-06	0	0	0	0	8.17501754840428e-06	1.26416018415153e-07	0	0	0	2.81324289491423e-09	4.46790316685209e-08	6.21546589942794e-08	0	3.48502080187562e-07	0	1.12945992526328e-06	7.16029336761106e-07	0	0	0	0	0	4.1698323484569e-05	0.000152268786144856	3.18720564850703e-07	0	3.12733995362791e-07	0	0	0	0	0.00015215691031688	0	0	8.33104520230043e-07	1.96287237731006e-06
CM009937.2	0.000403952462542955	0.000138857161337647	0.00117308729884226	0.00114841465005233	0.000665095263960136	0.000566681900714483	0.00116259040026368	0.000543409528216077	0.000829087831631505	0.000277407647613455	0.00314286293507704	0.00208243060626156	0.00202496859385598	0.00577629887130854	0.00135814992503548	0.00106011556503135	7.90069642661124e-05	0.00282343466650267	0.00183333659783462	0.000930372687355098	0.000334651748841195	0.00069470407890269	0.00109140317255257	0.00149401758529683	0.00144071036835963	0.00191812705001559	0.000251072324161043	0.000976622637741212	0.000622727326961528	0.00117638745121746	0.00155866036676996	0.00140860231034967	0.00103034215184997	0.000816474081532281	0.000567642893912986	0.000666581083975081	0.000153256447474021	0.000134592434356376	0.00127649952039918	0.00044392197461911	0.00340523993035556	0.00419846970499211	0.00140505980928998	0.000299042304027251	0.000856490280915923	0.000677189896605216	0.000703713054890545	0.000551091344773323	0.00952327380767426	0.00110187212051331
QIUM02000108.1	1.65326607207889e-05	0	0	0	0	0	1.02645419880357e-07	0	0	0	2.70904255534639e-08	0	1.45918359726518e-20	0	0	0	6.46923831815575e-08	0	2.3904751058209e-06	2.05584275277527e-07	0	0	0	4.64517053618287e-09	0	0	0	0	0	0	1.55315176127704e-06	0	0	0	0	0	5.95465293035914e-06	5.93763939086678e-06	0	0	0	0	0	0	0	4.03526541926947e-06	0	0	0	0
QIUM02000128.1	5.93727582495833e-05	7.62625226808399e-07	6.91342117786134e-08	4.54103308510644e-08	0	4.19241234415889e-08	9.50513342886953e-07	0	3.83471618706875e-07	3.42387519300814e-07	1.20547085365371e-06	7.90250982226909e-08	8.06999471557002e-20	6.73834094828452e-07	9.04080312112611e-08	1.3532376451492e-07	8.6029968146672e-08	0	2.78628960508296e-05	0	0	2.24365797642769e-07	0	2.91737193459058e-07	4.82114910877433e-08	6.69835180261322e-08	3.08378963506852e-07	1.18364379884571e-06	0	2.0781795853456e-06	4.12771713048722e-06	2.81504468738263e-07	2.23974034786606e-07	8.99289432429108e-07	0	0	1.06048735578778e-05	3.5280351211227e-05	1.23582690982057e-07	0	1.01108611729239e-06	6.71541366388959e-07	8.38730262165614e-08	0	0	3.01926155621305e-06	2.71731895182944e-07	1.14109366350201e-07	2.24099656312278e-06	1.3573949624361e-06
QIUM02000172.1	8.08553373477164e-06	2.17761656479294e-07	9.772333494099e-07	1.13494308452788e-05	0	0	3.38301183472309e-06	2.36603491323527e-06	0	6.02661394780335e-07	8.25747324625219e-06	7.18236604528567e-08	2.36217135001491e-06	2.37308498591326e-06	1.11298193507733e-06	0	2.93547822590071e-07	0	8.63178605031048e-07	0	0	0	0	2.03693247593473e-05	0	0	5.20796003983688e-07	5.89487547378847e-07	0	5.92303406622195e-07	0	0	0	0	0	0	1.56520678731281e-05	5.32758367416748e-05	0	0	0	1.18114935272814e-06	2.36954835015132e-06	0	0	6.19719931186407e-06	1.43277158493713e-06	6.9755118775226e-07	7.91507872790924e-07	0
CM009938.2	0.00092105676685056	0.000278692278473272	0.00190714706046138	0.0012133424130557	0.00125721462537072	0.000673852856309999	0.00121155460840938	0.000810546933632251	0.0016233831462522	0.000676053508780353	0.00299040160152309	0.0029208898095919	0.00212937670506497	0.00978319851046529	0.00230462758058367	0.00280590270357615	0.000139972157032116	0.00868240561768533	0.00287486315821488	0.00125638461996279	0.000538030214464496	0.00116037608321318	0.00218078484467446	0.00160466272385316	0.001908853918412	0.00202682021479365	0.000561285892342706	0.00137150962927006	0.000940225988511045	0.00175939729839029	0.0023377923448437	0.00261869399873798	0.00266083969679495	0.000918149059004924	0.000953091019878063	0.00140596863651326	0.000228500028845196	0.000414103519812796	0.0013403035681663	0.000709359259912496	0.00554531826634621	0.00796700470098355	0.00142973283414799	0.00101940260054881	0.00155248662311291	0.000793790532439735	0.000790317028953573	0.000579973349299647	0.0144758118506155	0.0011024271797629
QIUM02000090.1	0.000417127471177829	6.8278286393404e-05	0.00102153710942658	0.00102519461943387	0.000243238157581898	0.000134821759597156	0.000223994655770186	0.000530765036013736	0.000823550800840183	0.000317933023082545	0.000413364619929283	0.00122964290265293	0.00149508546641753	0.00413601840709947	0.000581468319506967	0.00088866463678785	6.65948458073928e-06	0.000162522245635248	0.00111490953137019	0.000217171506769121	7.79036270424488e-05	0.000231323765185748	0.000362712220628124	0.00136855636249376	0.000681877771730634	0.000901870399172117	0.000189817466801037	0.000576862302803093	9.14310028811481e-05	0.000690893095338533	0.000744959942341908	0.00118451915530523	0.000618442357871086	0.000465843677122371	5.08720614071431e-05	0.000818321954042502	0.000125722693148571	0.000122692417834107	0.000128770107239481	0.000348488563699301	0.0022313391216204	0.000961773509872852	0.00107105617460122	8.47871908978351e-05	0.000580523004034293	0.000466773578965001	0.00155632743790203	0.00230981368644787	0.00315668710024417	0.000174583923635867
QIUM02000150.1	5.47822211931134e-05	1.12534984024492e-06	1.75316534127528e-06	1.87786038243326e-06	0	5.41405120929438e-07	1.4950821708811e-06	5.0036270865219e-06	3.71642364943269e-07	8.80380561132732e-07	2.48418409221098e-06	1.32439207671099e-06	1.7342429610409e-06	5.42020381512323e-06	9.88786385594329e-07	0	5.8154882297602e-07	7.92416528249343e-06	0.000101174252557875	3.47183624093388e-07	4.84265980222419e-07	8.38261391481369e-06	0	1.79827552297786e-06	1.12295478308358e-06	1.73324038234652e-07	1.41120965948248e-06	2.16996814234197e-07	0	2.60310739045647e-05	8.88301111904145e-06	1.59854270304292e-06	0	2.90719742439227e-07	0	1.07114772586516e-05	1.57709769182913e-05	3.13536031458756e-05	1.03900003789325e-06	3.48165951352808e-07	3.98141694253517e-06	2.59795941293484e-06	3.2507576978354e-07	0	1.25104635593288e-06	4.97030620058563e-06	8.89587759644517e-07	5.05166336103349e-07	3.58588282082449e-06	4.38353753679623e-06
QIUM02000179.1	0.0008573813481115	3.66184004442474e-06	3.28341882428153e-08	8.61164564474989e-08	0	0	1.35684485934234e-07	1.362812782808e-06	1.8141669891087e-07	0	9.53566008194628e-07	1.49147811636506e-07	7.99225602921039e-19	2.55010168126548e-06	0	0	2.20476203294531e-07	0	1.20695178129075e-05	0	0	0	0	0	2.74844825588475e-07	0	0	3.79727776835097e-07	0	5.64999612274179e-06	5.60389730851636e-05	0	4.30180789248372e-07	0	0	4.49048030814468e-07	0.000147691935646361	0.000258148363187983	0	0	0	0	0	0	0	0.000475151895044403	0	0	1.27843263542739e-06	3.89628450222849e-06
CM009939.2	0.000549229652129532	0.000135989656665815	0.00168448138726943	0.000968457564823486	0.000632747592916447	0.00034093522063162	0.00107285552486553	0.00072394582204423	0.000793537613265319	0.000284567755026663	0.00201989739475085	0.00111556722375796	0.00171259404346888	0.00561951639497695	0.0009570208681333	0.00118784531451264	7.05117509866245e-05	0.00229106261015348	0.00159166640408594	0.000716584958192819	0.000230050480603125	0.000635218996579289	0.000780235828782499	0.00142116865281357	0.000856047237347841	0.00159044854111686	0.000339236526940842	0.000643098368957571	0.000375518307907596	0.000971064107747942	0.0010777280680827	0.00114091989159355	0.00163423156087025	0.000560371089990127	0.000315293206974978	0.000932567110542347	0.00039896857819615	0.000454030462241808	0.000489854434879038	0.000465331316573268	0.00264561815076673	0.00285827648381408	0.00110526766936074	0.000375327819883359	0.00212775382286304	0.000489397937923959	0.000595500521578775	0.000466160788447216	0.00413184475460819	0.00101722512264702
QIUM02000088.1	0.000437729854867149	5.58401504071501e-06	3.10406080615943e-05	5.06317838512889e-05	3.89554300934041e-06	5.08580112492742e-05	6.73827023861259e-06	0.000204669305468038	6.79677254892019e-05	5.7958840624985e-06	3.72824258021696e-05	0.000106318573980513	0.000148005609560063	0.000100573957643774	2.68275754132933e-05	3.26489331466579e-05	1.01313899178298e-06	2.16140215938384e-05	5.16080145892405e-05	2.83939217030285e-05	2.82755421083674e-06	1.39650877069397e-05	2.84785121103759e-05	0.000304214476004552	7.26230029173919e-05	0.000102605820337838	3.27627170166805e-05	6.42937040355129e-06	1.67615957249037e-06	1.94293007601757e-05	4.73620408695082e-06	3.45529367871946e-05	1.49037034884247e-05	2.9676916258009e-05	1.07106254151359e-06	9.52640230406816e-05	7.25690394693355e-05	0.000163594001911478	3.45032433180205e-06	1.95265362358464e-05	7.15145777147202e-05	4.5597891038182e-06	0.000129950085752282	3.56879092068759e-06	2.52624477511433e-05	6.9318366351419e-05	4.05826370073183e-05	3.50868528836803e-05	0.000229948695673535	1.60403552558681e-05
QIUM02000089.1	5.52362213219118e-05	9.87297989282028e-07	3.64157519227605e-07	3.18723860427171e-08	0	2.74784134603136e-08	1.13735272844471e-07	2.09361687143649e-06	0	0	2.80617485988331e-07	2.1502728956358e-08	3.5802823302085e-07	1.09255542551524e-06	1.43434622479535e-07	0	1.2227986915141e-07	0	7.87818085041832e-08	1.75232531103274e-07	8.94102463255622e-08	0	0	7.91011421406743e-08	0	3.68117272975879e-08	2.06117864084147e-06	0	0	0	0	0	0	0	0	4.40454249833547e-07	3.0004498050439e-05	4.17907126463798e-05	0	1.43183718167612e-07	0	0	3.33310238210565e-07	1.19476816035078e-07	2.32199983769213e-07	1.00283673557083e-06	4.29607291449165e-07	1.19279827208228e-07	8.37482468979957e-13	0
QIUM02000092.1	0.000143905449239139	7.85033299274244e-07	1.69190253255358e-06	3.74938490490311e-06	5.51964609624887e-07	1.18701156231684e-06	2.55573639411802e-06	8.4259255452712e-07	1.15884370087667e-07	6.19670999257638e-07	3.02476120201265e-06	2.01562514886105e-06	3.33386891183534e-06	3.15642296378109e-06	5.18339699970835e-07	6.38430209200148e-07	7.60878561494456e-07	1.11372582006413e-06	3.95834432735815e-06	2.1515475819764e-06	0	1.84294437597469e-06	1.46167951672482e-06	3.39741252485205e-06	7.53361080150491e-07	5.91308100278842e-07	2.73238493221717e-06	5.24821163393155e-07	4.47070748102879e-07	3.21384773237418e-07	6.64854000428273e-07	6.00092485675314e-07	0	4.0360214674998e-07	0	1.52659100201595e-05	6.91178560642395e-05	0.000145345085194378	1.90528495028218e-07	2.55471294012436e-07	1.81335141822152e-06	2.64381944954796e-06	4.34947853598657e-06	5.55341829847021e-07	1.04479485101087e-07	1.06414343867706e-05	1.23680803168737e-06	1.50681038786786e-06	2.18794703928269e-06	9.86853711455447e-07
QIUM02000099.1	8.0166513550161e-06	0	0	0	0	0	1.69945298430781e-07	0	0	0	0	0	8.07130854036351e-21	0	0	0	0	0	2.92600329417619e-07	0	0	0	0	0	0	0	5.62537359664268e-07	0	0	2.1245266143477e-07	0	0	0	0	0	4.25190788297984e-07	1.45029215817927e-05	1.40829524921266e-05	0	0	0	0	0	0	0	3.96777199236469e-07	0	0	0	0
QIUM02000102.1	0.000157282203495113	4.91892234091879e-06	2.27534536303354e-05	1.49944017277008e-05	2.62782836159183e-06	6.39764447269143e-06	1.03476953715813e-05	9.87847104606751e-05	8.14005370859231e-07	0	9.17495896623278e-06	4.87642879628963e-06	9.51427361970277e-06	2.50622761465871e-06	2.2290268496141e-06	2.16738486458269e-06	3.29145038311707e-07	4.07332573786571e-06	7.23725948421434e-06	1.03243477279942e-05	7.07289607503234e-06	2.62733740250055e-06	0	3.43956578491452e-05	1.71386452313247e-07	1.66321669882713e-05	1.82805249171982e-06	3.22037809304482e-06	4.73384814313464e-07	0	2.60600426110903e-06	1.40600914648002e-05	2.54962679183906e-06	0	0	1.50886089861161e-05	4.50454628331501e-05	0.000137966124680588	3.39216651036099e-06	1.77850475811255e-06	1.53258879609968e-06	2.29817987091068e-05	1.48220275158679e-06	5.0657745198018e-07	2.59501071387335e-06	2.13297924109955e-05	5.55254466918774e-06	4.10622318490667e-06	5.50040235360434e-06	0
QIUM02000111.1	0.000201851575264373	8.81754134055957e-06	2.9851869485195e-07	1.58757646051748e-07	0	1.04773656094683e-06	2.63268287313639e-06	5.54433401368882e-07	7.88590314745876e-08	2.87085875213269e-06	5.82154565934498e-06	2.30167026092386e-07	7.07272510957341e-20	9.11661142562463e-06	4.07754937907583e-07	0	2.11354615197394e-07	1.10493642278998e-06	1.23770432412945e-05	0	1.42707759710934e-07	0	0	1.75597397860799e-07	0	1.10777658610826e-06	4.77425216709041e-07	1.43519254674395e-07	0	1.90844229294492e-06	1.73498321307255e-06	2.7774444388089e-07	0	3.73322217369085e-07	0	9.35412141689833e-07	4.26302955691017e-05	9.68560391793162e-05	2.52284542073152e-07	2.3575681303369e-06	8.33247851911639e-07	0	6.25257677969202e-07	0	5.52027436022884e-07	6.71262068054997e-06	2.21631633590163e-07	1.38752146181465e-07	9.85552126181471e-06	5.56446271416809e-07
QIUM02000114.1	7.99968908900346e-05	4.06873570367577e-06	5.41699560374815e-09	6.05173155029101e-08	0	7.65864844956414e-09	2.68863391258735e-07	0	8.37283730700869e-08	0	7.81812489660584e-08	0	1.93625124095445e-20	0	3.92485617926058e-08	0	3.59642284008478e-07	0	6.16309823810006e-07	0	0	0	0	2.36704349554144e-08	0	0	4.85496705375112e-07	2.8010350837305e-07	0	8.83647998978358e-07	2.83873377677993e-06	0	9.78413643074823e-08	0	0	5.53750614091928e-07	2.29176256033305e-05	6.49160018819653e-05	0	0	0	0	0	0	6.29613482115375e-08	2.15550671162122e-06	0	0	1.76964786191388e-06	0
QIUM02000137.1	0.000474895236973067	8.25953747665536e-07	4.60901436187336e-07	3.28010122403661e-07	7.05318435654542e-07	1.02996967079035e-06	5.26844542630705e-06	2.60674171817931e-06	3.90297978293686e-07	7.15032100290506e-07	4.71730816632949e-06	3.9469642696524e-07	9.12678000666509e-20	4.67660490543418e-06	5.96489861335578e-07	1.41338417402298e-07	4.72924666046708e-07	0	2.74093674277385e-06	1.02366541481793e-05	3.63701533069473e-07	0	0	2.59580778658902e-06	5.07000763492286e-08	7.28083629593329e-07	8.97711855234444e-07	6.59691802404885e-07	0	0	3.81798647894948e-06	4.13095342991077e-07	7.35607653869447e-07	7.13361416327897e-07	0	9.19115309934852e-06	8.47699415809401e-05	0.000168984530503563	2.57059111887859e-07	7.2476152388718e-07	1.28850741520031e-06	1.03315718843039e-06	5.87103005362431e-07	0	0	1.5850537900055e-05	1.88189555640186e-06	9.30507674586455e-07	4.72475715741091e-06	0
