GeneID	larvae	whole.adult.body	unknown	brain	royal.jelly	abdomen	antennae	pupae	fat.body	worker.jelly	hypopharyngeal.glands	Head	head	midgut	X2nd.thoracic.ganglia	malpighian.tubules	mandibular.glands	muscle	nasonov.gland	sting.gland	embryo	oocyte	ovaries	eviscerated.abdomen.and.fat.body	eviscerated.abdomen.with.attached.fat.bodies.and.inactive.ovaries	eviscerated.abdomen.with.attached.fat.bodies.and.ovaries	head.chest	mushroom.body	gut	pylori	thorax	thorax.and.abdomen	whole.adult.body.with.viral.enrichment	larval.gut	germline	queen.thorax	larval.head	hemolymph	abdominal.integument	rectum	head.and.thorax	egg	semen	spermetheca	flight.muscle.and.thoracic.exoskeleton	venom.gland	testis	virus.augmented.bee.lysate	male.gonad	antennal.lobes	wing.disc	wings.and.thoracic.dorsum	hindgut	antennal.lobes.and.subaesophageal.ganglion..al..region.of.the.brain	optic.lobes	ventriculus	thoracic.muscle	wings
CM009931.2	0.00114051824232962	0.000564633463318047	0.00132439626746214	0.00176201425709658	0.000293811658645984	0.00106551055535794	0.00116168048876918	0.00058578323892067	0.000767591959203464	3.10143254198918e-08	0.000577302302134871	0	0.000929824091342875	0.00286594663117972	0.00172474969750227	0.00431999445454333	0.00113727199013832	0.00184653413598912	0.00146541920740938	0.000974930053690819	0.00135643850544641	0.00352993419575618	0.00203979517110014	0.00070566138981407	0.000535303355126464	0.000668091794484366	0.00186661528323115	0.00170418618299495	0.00125095045652207	0.00187190808446082	0.00158909141917083	0.000846696137470799	0.00103088597935552	0.000789773527469365	0.00144370534849084	0.00164006939587417	0.000347005307560823	0.00159713980598697	0.00142636348653463	0.000871397981159638	0.000421706990445129	0.00108688512729968	0.000188247814540708	0.000281319298652434	0.00115195310952982	0.000614276434230532	0.00282310537802007	1.83830465528581e-05	0.00364391106692535	0.00115862070375277	0.00094040808988208	0.000783091083956255	0.000778289783708516	0.000544064014057882	0.000539421168193789	0.0142211833833666	0.00164803372415997	3.40857616166382e-07
CM009932.2	0.000892602540833153	0.000495839357449122	0.00142064520691069	0.00239469487067383	0.000256121794902758	0.000809125336560361	0.00146372520533487	0.000548088186379346	0.000812974026861559	1.42552581225132e-08	0.000407177032971596	0	0.00122292792008426	0.00204597590113725	0.00272614764849854	0.00385235453420782	0.00134343939850139	0.00110699110738804	0.00153141531508898	0.000792890220776915	0.00121611225486127	0.0021515461355732	0.00157063664350967	0.000882507578938126	0.000671549486391625	0.000795353146524041	0.00213635654627574	0.00240419893114444	0.000805479958640098	0.00140491401659067	0.00104674847900255	0.000640368444017221	0.000589081965478814	0.000509759378540827	0.00137954344414994	0.00205650415208555	0.000324255754230179	0.00134067284397759	0.00223069755789744	0.000905753089027565	0.000468824625901981	0.00104110756760879	0.000188051804574946	0.000214690689454839	0.000891108491755281	0.000883586056583631	0.00247657191525243	9.27425290592096e-06	0.00397275315629691	0.00178731354167895	0.00075837391992203	0.00076912467968148	0.000828796994991191	0.000960224078712725	0.000764184687369556	0.00804438668143789	0.00109991881705463	3.07024851254794e-07
QIUM02000220.1	8.51518071903088e-07	5.11484833192825e-06	1.15231103782224e-07	2.09511760314144e-06	0	9.65556289201217e-08	1.22138164479091e-06	1.05821833097743e-06	8.51159437747674e-08	0	1.04196250479964e-06	0	1.14394204146411e-06	3.45163983536206e-07	0	0	1.76761082448736e-07	0	0	0	7.49645282959333e-07	0	0.00267533665750633	0	0	1.44535159934011e-06	0	4.75897994535084e-06	2.99858489312454e-08	0	1.43481068571295e-07	4.85088194564418e-07	0	0	8.37449391282671e-05	0	0	0	0	0	0	0	8.73483415081415e-05	2.20185645739346e-05	0	0	0	0	0	0	3.27733107851578e-07	1.95066941993648e-07	1.99808242040406e-05	0	2.08425435827197e-07	0	0	0
CM009933.2	0.000986543948687069	0.000410483028811653	0.00126211143109445	0.00192472079982444	0.000202255460279502	0.000597919176871429	0.00109718422563469	0.00084650390939145	0.000636130375749746	2.79127285400947e-08	0.000394250857222903	0	0.000906987938675285	0.00107223515165828	0.00210696744078193	0.00418809320353665	0.00104068834729161	0.00142911389724783	0.00115910591299399	0.000676827639481137	0.00132426774220422	0.00223919489919124	0.00153646467121856	0.000565038305517308	0.000444659125628416	0.000588817907365557	0.00154255032578429	0.00192354528837751	0.000603426366568544	0.00159342514578518	0.0010087509161344	0.000502802639374734	0.00018336585054079	0.000285193311152083	0.00139209944661159	0.00145897604996045	0.000388462652380104	0.00159984011806523	0.00122682157177537	0.000806943109906657	0.000261159056069214	0.00131226222937427	0.000253812758853742	0.000298495388770809	0.000589256822360737	0.000619849229363086	0.00245408810118878	7.54338479137627e-06	0.00269192239756506	0.00136068004464456	0.00093678112916802	0.00104285495397649	0.000728847125223696	0.000636815816468785	0.000601637248786291	0.00404214682817913	0.00125711374769838	2.21214372035954e-07
CM009934.2	0.0011537726644861	0.000783020320045942	0.00208761818903679	0.00235027532937046	0.000403375717217958	0.00147908319867915	0.00156073597905241	0.000840776068473041	0.00138588966999576	5.79458666058856e-08	0.000396078721757651	0	0.00140075703037294	0.00195457297717275	0.00190947978916009	0.0046936752475851	0.00134284270165171	0.00130170541746951	0.0023670919481923	0.0029138562402883	0.00153906976356667	0.00496055315114307	0.00199090873346384	0.00178411911260134	0.00147366575992507	0.0015684735096507	0.00393166241786179	0.00211406538621662	0.00105230519241335	0.00204567622348505	0.0012623118320812	0.00192707320702168	0.000643371960509442	0.000642905277135054	0.00137558910054061	0.00547007554580028	0.000382986525043489	0.00171251390030178	0.00391580392089645	0.00110434823112842	0.00179613976521848	0.00109497517526747	0.000168041574768424	0.000340728311727573	0.000963138739655187	0.01158396346538	0.00296939139867747	1.66542460520421e-05	0.00331950593031392	0.00131955134165356	0.001131215694445	0.00206007280556665	0.00165104416336115	0.000590743867414802	0.00054906713342726	0.00834322355734014	0.00109027261120574	5.54333375834645e-07
CM009935.2	0.00154353984147084	0.000873285176030992	0.00155385305182978	0.00306983217678458	0.0003472069695408	0.00116664909035657	0.00219575074016995	0.000804358350864771	0.00174632844793659	1.59558210899566e-08	0.00180516835139795	0	0.00165950824732248	0.00179417495664859	0.00216847646050811	0.00472942355370479	0.00212737713692437	0.00142881759488211	0.0018036282928607	0.00108502148116176	0.00236210066191379	0.00456163885502959	0.0103706527951092	0.00116940862313595	0.000782359135764114	0.00103432025355644	0.00400859314914131	0.00283792375782133	0.00110785914706034	0.00674493261918996	0.00140426779746154	0.0026457002893931	0.000725516435581304	0.00104396110213881	0.00402410504053351	0.00701935485714151	0.000511971121061957	0.00218665115440642	0.00239497549623347	0.00114007756878409	0.000828784124232927	0.00207313483726264	0.000399281209652436	0.000305405830553653	0.00106236540897742	0.000900264455100674	0.00350958899997736	1.00717951599069e-05	0.00696142289298651	0.0015839700338598	0.00134443957451522	0.00124240374654075	0.00207868614618899	0.000809837546208549	0.000800150716128975	0.00704163015240795	0.00139903910154077	2.0238773854839e-06
QIUM02000120.1	4.11551090000995e-06	4.99907643755084e-06	0.00010742277555387	3.93739923783792e-07	4.78833529886499e-07	4.33121846015562e-06	1.10615414970737e-06	1.72636135324077e-07	5.05614746309286e-07	0	1.07377162707223e-07	0	1.1642674630921e-05	9.60004331104359e-05	0	6.29841187637479e-06	2.80790688303108e-08	0	0	0	5.16398456968789e-07	0	4.47506137276354e-05	3.09267265045562e-07	2.37648152885348e-07	3.60251386795731e-07	0	2.16155554568674e-07	5.4870673932398e-06	4.11253080093151e-08	2.20661094237186e-08	4.63649694464353e-07	5.60244715434891e-08	0	1.31407326498783e-05	2.4745868667015e-06	0	0	6.87526629146888e-08	7.7513074418969e-08	0	3.70260472997342e-06	4.08060636764731e-05	3.76526359952303e-05	0	0	8.29214565550838e-07	0	0	7.9410740502312e-07	0	0	6.54425226489637e-06	3.95633788420068e-07	8.14248150252698e-08	1.1878021228272e-05	0	0
CM009936.2	0.000824444613828252	0.000417746459898255	0.000943271141764026	0.00144232226566584	0.000234994781117022	0.000580714993759918	0.000784860669174216	0.000417875119928838	0.000531727573043539	1.7491433540213e-08	0.00308413172468645	0	0.00158410730369671	0.00138693780000782	0.00113847016821952	0.004427077717683	0.00157490066745722	0.00114002485668143	0.00105164710817327	0.000580165076096604	0.00102243551577087	0.00923507210417908	0.00166089655400547	0.000487493135633764	0.000354287324653374	0.000472231683324882	0.00172269416062604	0.00123307499487013	0.000706867584915543	0.001315461512809	0.00077019354556511	0.000547881497360235	0.000324993462707953	0.000394559736186792	0.00108670863330763	0.00123550599232346	0.000286059593563155	0.00107716497192772	0.00127738799949767	0.000591820264429869	0.000315803744710661	0.000780921726892902	0.000125919898753452	0.000158964876791752	0.000560040780026998	0.000448282886762006	0.00188019059805084	9.83608158755462e-06	0.00301714959286404	0.00080141104808432	0.000854313324789528	0.000732009327243781	0.000579738067957607	0.000339190442731834	0.000326696303151931	0.00691933381846581	0.000952982119771707	2.04482972502164e-07
QIUM02000122.1	4.51330507014125e-05	1.209359438504e-05	0.000202509209865349	1.0603982135647e-07	0	5.62070754244465e-08	2.61012952939653e-07	7.83379394039414e-06	1.33807951435673e-07	0	2.69512067462316e-08	0	3.63478581771462e-06	9.36385562516782e-08	0	8.8616943307501e-07	0	0	0	0	9.44718845211017e-09	0	5.15366606728263e-06	3.51155606708757e-08	0	0	3.21422261024286e-07	7.10091567608803e-08	1.37149358654265e-07	4.14364393295196e-08	5.99402643452459e-08	1.74251040093781e-07	0	0	1.12945992526328e-06	7.16029336761106e-07	0	0	0	0	0	0	4.1698323484569e-05	3.00750688474412e-05	3.46636789665303e-07	0	2.08489330241861e-07	0	0	0	5.20511941523058e-08	1.61337379679577e-08	8.67462274304679e-05	8.01432279425888e-08	0	1.3557177592564e-06	1.89762618500829e-06	0
CM009937.2	0.000896336839377241	0.000441826334013058	0.00111846558733488	0.00175296256093839	0.000206340795494459	0.000811328117467206	0.00101899224732725	0.000435278464637196	0.000650932381344435	9.23830101397483e-08	0.000326222450917875	0	0.000948336290675266	0.00180706414206723	0.00185878366710331	0.00360182503200589	0.00119322921859972	0.0018420975705618	0.00106188485760687	0.000827075318960644	0.00101919188935927	0.00282343466650267	0.00128555239903623	0.000776538698232618	0.000562818894704095	0.000631184856826408	0.00232464044817359	0.00178949230182228	0.000881626125229838	0.00188816684783825	0.000952581534497748	0.000693858870851362	0.000864191217465036	0.000496333293955877	0.00117638745121746	0.00155866036676996	0.000358943960085444	0.00140860231034967	0.00100973678292136	0.000845622322140263	0.000541858576356554	0.000666581083975081	0.000153256447474021	0.000226735677871634	0.00122473774424012	0.00044392197461911	0.0025373660703999	9.7512361955845e-06	0.00329364472697023	0.00139594157548431	0.000779076308826181	0.000662339026551905	0.00068961904396371	0.000584591608908209	0.000550033194270093	0.00830039300146028	0.00131256187279712	1.90720220278214e-07
