GeneID	tau	highest	order
CM009938.2	0.866721695062722	ventriculus	ventriculus|malpighian tubules|oocyte|male gonad|testis|head|midgut|ovaries|nasonov gland|abdominal integument|hemolymph|queen thorax|mandibular glands|head,chest|2nd thoracic ganglia|pylori|gut|unknown|germline|fat body|mushroom body|wings and thoracic dorsum|antennal lobes|egg|thorax and abdomen|flight muscle and thoracic exoskeleton|royal jelly|eviscerated abdomen and fat body|brain|antennae|eviscerated abdomen with attached fat bodies and ovaries|thoracic muscle|wing disc|head and thorax|whole adult body with viral enrichment|larvae|rectum|pupae|hindgut|antennal lobes and subaesophageal ganglion (al) region of the brain|venom gland|hypopharyngeal glands|abdomen|optic lobes|thorax|eviscerated abdomen with attached fat bodies and inactive ovaries|spermetheca|whole adult body|semen|embryo
QIUM02000090.1	0.835893684281521	malpighian tubules	malpighian tubules|ventriculus|optic lobes|testis|antennal lobes and subaesophageal ganglion (al) region of the brain|2nd thoracic ganglia|mushroom body|midgut|hemolymph|ovaries|antennal lobes|brain|unknown|male gonad|pylori|nasonov gland|fat body|egg|queen thorax|germline|gut|abdominal integument|mandibular glands|wings and thoracic dorsum|thorax and abdomen|pupae|hindgut|rectum|larvae|head|head,chest|venom gland|hypopharyngeal glands|royal jelly|eviscerated abdomen with attached fat bodies and ovaries|antennae|eviscerated abdomen and fat body|thorax|thoracic muscle|oocyte|abdomen|flight muscle and thoracic exoskeleton|semen|spermetheca|whole adult body with viral enrichment|wing disc|eviscerated abdomen with attached fat bodies and inactive ovaries|whole adult body|head and thorax|embryo
QIUM02000150.1	0.955474723703845	ovaries	ovaries|larvae|spermetheca|germline|semen|egg|queen thorax|eviscerated abdomen with attached fat bodies and ovaries|oocyte|malpighian tubules|pupae|hindgut|thoracic muscle|testis|ventriculus|male gonad|head|brain|mushroom body|unknown|2nd thoracic ganglia|hemolymph|antennae|thorax|midgut|wings and thoracic dorsum|whole adult body|gut|flight muscle and thoracic exoskeleton|mandibular glands|antennal lobes and subaesophageal ganglion (al) region of the brain|hypopharyngeal glands|embryo|abdomen|optic lobes|eviscerated abdomen with attached fat bodies and inactive ovaries|fat body|venom gland|eviscerated abdomen and fat body|antennal lobes|rectum|thorax and abdomen|pylori
QIUM02000179.1	0.976896552099014	larvae	larvae|hindgut|spermetheca|semen|queen thorax|ovaries|germline|thoracic muscle|whole adult body|malpighian tubules|pupae|ventriculus|head|egg|abdominal integument|thorax and abdomen|gut|embryo|fat body|midgut|antennae|brain|unknown
CM009939.2	0.818765566360442	malpighian tubules	malpighian tubules|ventriculus|male gonad|testis|oocyte|wings and thoracic dorsum|head|2nd thoracic ganglia|unknown|abdominal integument|ovaries|pylori|mushroom body|nasonov gland|hemolymph|midgut|antennal lobes|queen thorax|antennae|thoracic muscle|germline|brain|mandibular glands|egg|gut|fat body|head,chest|pupae|eviscerated abdomen and fat body|thorax and abdomen|eviscerated abdomen with attached fat bodies and ovaries|royal jelly|antennal lobes and subaesophageal ganglion (al) region of the brain|rectum|larvae|flight muscle and thoracic exoskeleton|hindgut|optic lobes|venom gland|spermetheca|semen|whole adult body with viral enrichment|wing disc|abdomen|thorax|head and thorax|hypopharyngeal glands|eviscerated abdomen with attached fat bodies and inactive ovaries|whole adult body|embryo
QIUM02000088.1	0.877318064730055	larvae	larvae|mushroom body|ventriculus|pupae|spermetheca|2nd thoracic ganglia|antennal lobes|midgut|pylori|malpighian tubules|egg|gut|semen|testis|hindgut|fat body|ovaries|abdomen|brain|antennal lobes and subaesophageal ganglion (al) region of the brain|head|optic lobes|hemolymph|thorax|nasonov gland|unknown|rectum|head,chest|eviscerated abdomen and fat body|mandibular glands|wings and thoracic dorsum|oocyte|venom gland|germline|thoracic muscle|abdominal integument|eviscerated abdomen with attached fat bodies and ovaries|antennae|thorax and abdomen|hypopharyngeal glands|whole adult body|queen thorax|male gonad|royal jelly|wing disc|flight muscle and thoracic exoskeleton|eviscerated abdomen with attached fat bodies and inactive ovaries|whole adult body with viral enrichment|head and thorax|embryo
QIUM02000089.1	0.96941817786628	larvae	larvae|spermetheca|semen|pupae|thorax|malpighian tubules|hindgut|whole adult body|egg|antennal lobes and subaesophageal ganglion (al) region of the brain|unknown|2nd thoracic ganglia|antennal lobes|head|wings and thoracic dorsum|eviscerated abdomen and fat body|mandibular glands|venom gland|embryo|wing disc|optic lobes|antennae|eviscerated abdomen with attached fat bodies and inactive ovaries|mushroom body|ovaries|pylori|brain|abdomen|midgut|ventriculus
QIUM02000092.1	0.957698504370511	spermetheca	spermetheca|larvae|semen|egg|hindgut|antennal lobes|ovaries|brain|mushroom body|2nd thoracic ganglia|malpighian tubules|head|thorax|male gonad|antennae|ventriculus|eviscerated abdomen and fat body|midgut|eviscerated abdomen with attached fat bodies and ovaries|testis|unknown|optic lobes|head,chest|antennal lobes and subaesophageal ganglion (al) region of the brain|abdomen|oocyte|thoracic muscle|pupae|whole adult body|embryo|gut|queen thorax|nasonov gland|hypopharyngeal glands|hemolymph|pylori|wing disc|royal jelly|thorax and abdomen|mandibular glands|whole adult body with viral enrichment|rectum|germline|venom gland|flight muscle and thoracic exoskeleton|fat body|wings and thoracic dorsum
QIUM02000099.1	0.966003926037849	semen	semen|spermetheca|larvae|thorax|egg|hindgut|ovaries|germline|antennae
QIUM02000102.1	0.926228113810592	larvae	larvae|spermetheca|pupae|semen|mushroom body|male gonad|unknown|hindgut|pylori|egg|brain|hemolymph|antennae|eviscerated abdomen and fat body|2nd thoracic ganglia|head|ovaries|eviscerated abdomen with attached fat bodies and inactive ovaries|abdomen|antennal lobes and subaesophageal ganglion (al) region of the brain|ventriculus|whole adult body|midgut|optic lobes|oocyte|flight muscle and thoracic exoskeleton|thorax and abdomen|royal jelly|eviscerated abdomen with attached fat bodies and ovaries|queen thorax|wings and thoracic dorsum|abdominal integument|malpighian tubules|mandibular glands|nasonov gland|thorax|venom gland|testis|antennal lobes|fat body|wing disc|whole adult body with viral enrichment|embryo|gut
