scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link	isolate	breed	host	isolation_source	collection_date	geo_loc_name	biosamplemodel	dev_stage	sample	strain	sample_type	taxid_domain	taxid_kingdom	taxid_phylum	taxid_class	taxid_order	taxid_family	taxid_genus	taxid_species	scientific_name_original
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633644	SRX30818469	SRR35769176	SRA2246430	SRS26829815	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_6_26_W		JP2011_6_26_W	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	57644340	11644156680	3698029258								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:47:31	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769176/SRR35769176.lite.1	s3://sra-pub-zq-2/SRR35769176/SRR35769176.lite.1	gs://sra-pub-zq-105/SRR35769176/SRR35769176.lite.1	Worker	Symbiotic	JP2011_6_26_W	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633626	SRX30818468	SRR35769177	SRA2246430	SRS26829814	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_6_31_L		JP2011_6_31_L	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	85112389	17192702578	5192591636								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:47:31	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769177/SRR35769177.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769177/SRR35769177	gs://sra-pub-zq-105/SRR35769177/SRR35769177.lite.1	Larvae	Aposymbiotic	JP2011_6_31_L	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633643	SRX30818467	SRR35769178	SRA2246430	SRS26829813	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_2_26_W		JP2011_2_26_W	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	106465240	21505978480	6563358638								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:47:31	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769178/SRR35769178.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769178/SRR35769178	gs://sra-pub-zq-105/SRR35769178/SRR35769178.lite.1	Worker	Symbiotic	JP2011_2_26_W	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633642	SRX30818466	SRR35769179	SRA2246430	SRS26829812	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_1_26_W		JP2011_1_26_W	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	103131456	20832554112	6358363956								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:54:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769179/SRR35769179.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769179/SRR35769179	gs://sra-pub-zq-105/SRR35769179/SRR35769179.lite.1	Worker	Symbiotic	JP2011_1_26_W	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633641	SRX30818465	SRR35769180	SRA2246430	SRS26829811	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_6_26_P		JP2011_6_26_P	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	106817673	21577169946	6633300445								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:50:57	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769180/SRR35769180.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769180/SRR35769180	gs://sra-pub-zq-105/SRR35769180/SRR35769180.lite.1	Pupae	Symbiotic	JP2011_6_26_P	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633640	SRX30818464	SRR35769181	SRA2246430	SRS26829810	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_2_26_P		JP2011_2_26_P	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	113101308	22846464216	6979681362								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:54:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769181/SRR35769181.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769181/SRR35769181	gs://sra-pub-zq-105/SRR35769181/SRR35769181.lite.1	Pupae	Symbiotic	JP2011_2_26_P	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633639	SRX30818463	SRR35769182	SRA2246430	SRS26829809	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_1_26_P		JP2011_1_26_P	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	111348516	22492400232	6826936009								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:54:50	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769182/SRR35769182.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769182/SRR35769182	gs://sra-pub-zq-105/SRR35769182/SRR35769182.lite.1	Pupae	Symbiotic	JP2011_1_26_P	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633638	SRX30818462	SRR35769183	SRA2246430	SRS26829808	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_6_26_L		JP2011_6_26_L	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	83283425	16823251850	5105457988								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:47:31	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769183/SRR35769183.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769183/SRR35769183	gs://sra-pub-zq-105/SRR35769183/SRR35769183.lite.1	Larvae	Symbiotic	JP2011_6_26_L	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633637	SRX30818461	SRR35769184	SRA2246430	SRS26829807	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_2_26_L		JP2011_2_26_L	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	65664895	13264308790	4020402157								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:46:34	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769184/SRR35769184.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769184/SRR35769184	gs://sra-pub-zq-105/SRR35769184/SRR35769184.lite.1	Larvae	Symbiotic	JP2011_2_26_L	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
Cardiocondyla obscurior	whole body	Whole body								no		PRJNA1344296	SAMN52633636	SRX30818460	SRR35769185	SRA2246430	SRS26829806	SRP631079	Dual RNA sequencing of symbiotic and aposymbiotic Cardiocondyla obscurior ants	Dual RNA-seq reads from Cardiocondyla obscurior ants	RNA was extracted from different life stages and castes (pooled separately) and sequenced using dual RNA sequencing to capture the symbiont where present	JP2011_1_26_L		JP2011_1_26_L	paired	RNA-Seq	TRANSCRIPTOMIC	DNase	Illumina NovaSeq 6000	67385821	13611935842	4102707436								Queen Mary University of London	SUB15691499		286306	2025-10-10 11:47:31	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR035/35769/SRR35769185/SRR35769185.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR35769185/SRR35769185	gs://sra-pub-zq-105/SRR35769185/SRR35769185.lite.1	Larvae	Symbiotic	JP2011_1_26_L	Not applicable	2023-09	Japan	Invertebrate					2759	33208	6656	50557	7399	36668	235541	286306	Cardiocondyla obscurior
