scientific_name	sample_group	tissue	genotype	sex	age	treatment	source_name	is_sampled	is_qualified	exclusion	protocol	bioproject	biosample	experiment	run	sra_primary	sra_sample	sra_study	study_title	exp_title	design	sample_title	sample_description	lib_name	lib_layout	lib_strategy	lib_source	lib_selection	instrument	total_spots	total_bases	size	nominal_length	nominal_sdev	spot_length	read_index	read_class	read_type	base_coord	center	submitter_id	pubmed_id	taxid	published_date	NCBI_Link	AWS_Link	GCP_Link
Polistes canadensis	whole brain	whole brain					Whole brain	yes	yes	no		PRJNA671205	SAMN16532971	SRX9350984	SRR12885167	SRA1147222	SRS7574380	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851961: Polistes_worker_1; Polistes canadensis; RNA-Seq		Polistes_worker_1			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24599066	4800116284	3203793925								GEO	GEO: GSE159973	36828829.0	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12885/SRR12885167/SRR12885167.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12885167/SRR12885167	gs://sra-pub-zq-101/SRR12885167/SRR12885167.lite.1
Polistes canadensis	whole brain	whole brain					Whole brain	yes	yes	no		PRJNA671205	SAMN16532973	SRX9350983	SRR12885166	SRA1147222	SRS7574379	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851960: Polistes_queen_3; Polistes canadensis; RNA-Seq		Polistes_queen_3			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	22620222	4445941465	2925144965								GEO	GEO: GSE159973	36828829.0	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12885/SRR12885166/SRR12885166.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12885166/SRR12885166	gs://sra-pub-zq-101/SRR12885166/SRR12885166.lite.1
Polistes canadensis	whole brain	whole brain					Whole brain	yes	yes	no		PRJNA671205	SAMN16532976	SRX9350981	SRR12885164	SRA1147222	SRS7574377	SRP288364	Genetic toolkit for sociality predicts castes across the spectrum of social complexity in wasps	GSM4851958: Polistes_queen_1; Polistes canadensis; RNA-Seq		Polistes_queen_1			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	24557891	4799645220	3200201663								GEO	GEO: GSE159973	36828829.0	91411	2021-01-31 19:33:35	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12885/SRR12885164/SRR12885164.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12885164/SRR12885164	gs://sra-pub-zq-107/SRR12885164/SRR12885164.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938101	SRX7644456	SRR10981779	SRA1033683	SRS6074312	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287650: P98_RNAseq; Polistes canadensis; RNA-Seq		P98_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	11323107	2264621400	1541315630								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981779/SRR10981779.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981779/SRR10981779	gs://sra-pub-zq-105/SRR10981779/SRR10981779.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938102	SRX7644454	SRR10981777	SRA1033683	SRS6074310	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287648: P211_RNAseq; Polistes canadensis; RNA-Seq		P211_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	5687112	1137422400	784221108								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981777/SRR10981777.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981777/SRR10981777	gs://sra-pub-zq-105/SRR10981777/SRR10981777.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938103	SRX7644453	SRR10981776	SRA1033683	SRS6074309	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287647: P210_RNAseq; Polistes canadensis; RNA-Seq		P210_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	6911584	1382316800	955425211								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981776/SRR10981776.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981776/SRR10981776	gs://sra-pub-zq-105/SRR10981776/SRR10981776.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938105	SRX7644451	SRR10981774	SRA1033683	SRS6074307	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287645: P208_RNAseq; Polistes canadensis; RNA-Seq		P208_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7385427	1477085400	1019331667								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981774/SRR10981774.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981774/SRR10981774	gs://sra-pub-zq-105/SRR10981774/SRR10981774.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938106	SRX7644450	SRR10981773	SRA1033683	SRS6074306	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287644: P206_RNAseq; Polistes canadensis; RNA-Seq		P206_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	5349144	1069828800	739092873								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:19	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981773/SRR10981773.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981773/SRR10981773	gs://sra-pub-zq-105/SRR10981773/SRR10981773.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938107	SRX7644449	SRR10981772	SRA1033683	SRS6074305	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287643: P205_RNAseq; Polistes canadensis; RNA-Seq		P205_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	9127713	1825542600	1258325010								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981772/SRR10981772.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981772/SRR10981772	gs://sra-pub-zq-105/SRR10981772/SRR10981772.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938108	SRX7644448	SRR10981771	SRA1033683	SRS6074304	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287642: P204_RNAseq; Polistes canadensis; RNA-Seq		P204_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	9237125	1847425000	1276362609								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981771/SRR10981771.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981771/SRR10981771	gs://sra-pub-zq-105/SRR10981771/SRR10981771.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938109	SRX7644447	SRR10981770	SRA1033683	SRS6074303	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287641: P203_RNAseq; Polistes canadensis; RNA-Seq		P203_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	8612903	1722580600	1189630992								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981770/SRR10981770.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981770/SRR10981770	gs://sra-pub-zq-105/SRR10981770/SRR10981770.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938110	SRX7644446	SRR10981769	SRA1033683	SRS6074302	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287640: P202_RNAseq; Polistes canadensis; RNA-Seq		P202_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	9562343	1912468600	1326286129								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981769/SRR10981769.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981769/SRR10981769	gs://sra-pub-zq-105/SRR10981769/SRR10981769.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938111	SRX7644445	SRR10981768	SRA1033683	SRS6074301	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287639: P201_RNAseq; Polistes canadensis; RNA-Seq		P201_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	7896900	1579380000	1094779217								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981768/SRR10981768.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981768/SRR10981768	gs://sra-pub-zq-105/SRR10981768/SRR10981768.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938112	SRX7644444	SRR10981767	SRA1033683	SRS6074300	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287638: P198_RNAseq; Polistes canadensis; RNA-Seq		P198_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	6874084	1374816800	946364519								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981767/SRR10981767.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981767/SRR10981767	gs://sra-pub-zq-105/SRR10981767/SRR10981767.lite.1
Polistes canadensis	brain	Brain					Brain	yes	yes	no		PRJNA603571	SAMN13938113	SRX7644443	SRR10981766	SRA1033683	SRS6074299	SRP245645	Specialisation and plasticity in a primitive social insect (RNA-seq)	GSM4287637: P197_RNAseq; Polistes canadensis; RNA-Seq		P197_RNAseq			paired	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2500	6822760	1364552000	940303721								GEO	GEO: GSE144408	36044898.0	91411	2021-06-17 14:56:18	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10981/SRR10981766/SRR10981766.lite.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10981766/SRR10981766	gs://sra-pub-zq-105/SRR10981766/SRR10981766.lite.1
